,영화명,before,after
234,캐롤,"57,364건",264건
235,위대한 소원,"8,204건",220건
236,스포트라이트,"131,181건",901건
237,구스범스,"1,027건",88건
238,포인트 브레이크,647건,41건
239,앨빈과 슈퍼밴드: 악동 어드벤처,345건,123건
240,극장판 안녕 자두야,406건,102건
241,굿바이 싱글,"13,501건",652건
242,비밀은 없다,"305,777건",834건
243,사냥,"492,117건","1,529건"
244,닌자터틀 : 어둠의 히어로,578건,84건
245,순정,"174,760건",934건
246,독수리 에디,"3,291건",112건
247,남과 여,"13,651건",269건
248,짱구는 못말려 극장판: 나의 이사 이야기 선인장 대습격,83건,20건
249,글로리데이,"9,864건",436건
250,부활,"753,326건","1,684건"
251,조이,"685,637건",926건
252,대배우,"14,412건",345건
253,매직브러시,"1,194건",72건
254,미스컨덕트,"1,301건",142건
255,레전드 오브 타잔,"1,683건",265건
256,13시간,"29,951건",100건
257,극장판 아이엠스타 : 꿈의 오디션!,71건,43건
258,제 5침공,968건,37건
259,대니쉬 걸,"1,767건",83건
260,극장판 꼬마버스 타요의 에이스 구출작전,113건,18건
261,헤이트풀8,"1,196건",156건
262,최강전사 미니특공대: 영웅의 탄생,109건,42건
263,다이노소어 어드벤처 : 백악기 공룡대백과,110건,35건
264,다이버전트 시리즈: 얼리전트,272건,55건
265,무서운 이야기 3 : 화성에서 온 소녀,"2,209건",89건
266,일사각오,654건,20건
267,크리미널,"13,569건",59건
268,유스,"133,550건",458건
269,오베라는 남자,"1,906건",54건
270,다이노X 탐험대,171건,46건
271,오 마이 그랜파,264건,86건
272,룸,"1,188,018건","3,036건"
273,엽기적인 그녀 2,"12,505건",223건
274,본 투 비 블루,"1,229건",51건
275,번개맨,"6,293건",57건
276,스티브 잡스,"71,901건",196건
277,레터스 투 갓,216건,20건
278,바다 탐험대 옥토넛 시즌4: 빙하탐험선S,10건,1건
279,트럼보,"6,783건",167건
280,바다 탐험대 옥토넛 시즌4: 아슬아슬 구조대작전,11건,8건
281,극장판 프랭키와 친구들: 생명의 나무,31건,11건
282,더 보이,"178,313건",370건
283,드레스메이커,"4,796건",69건
284,파라노말 액티비티: 더 고스트 디멘션,66건,24건
285,잡아야 산다,"5,797건",313건
286,부산행,"57,236건","2,547건"
287,밀정,"28,818건","1,210건"
288,터널,"482,225건","2,026건"
289,인천상륙작전,"43,167건","2,029건"
290,럭키,"142,797건",982건
291,덕혜옹주,"22,226건","1,722건"
292,닥터 스트레인지,"11,182건",553건
293,마스터,"478,431건","1,784건"
294,신비한 동물사전,"6,825건",608건
295,판도라,"68,642건","1,129건"
296,나우 유 씨 미 2,"2,942건",381건
297,형,"1,858,239건","6,306건"
298,미스 페레그린과 이상한 아이들의 집,"2,132건",288건
299,제이슨 본,"14,993건",726건
300,도리를 찾아서,"4,919건",416건
301,아수라,"94,764건","1,734건"
302,마이펫의 이중생활,"3,412건",190건
303,라라랜드,"26,287건",407건
304,봉이 김선달,"10,087건",593건
305,수어사이드 스쿼드,"5,594건",617건
306,벤허,"9,374건",266건
307,스타트렉 비욘드,"3,335건",470건
308,미씽: 사라진 여자,"8,052건",538건
309,"당신, 거기 있어줄래요","7,758건",613건
310,라이트 아웃,"1,329건",160건
311,씽,"14,617건",218건
312,맨 인 더 다크,"1,954건",197건
313,"고산자, 대동여지도","7,379건",888건
314,매그니피센트 7,"3,980건",328건
315,브리짓 존스의 베이비,"1,310건",198건
316,스플릿,"69,450건",470건
317,국가대표 2,"532,296건","2,728건"
318,인페르노,"3,081건",214건
319,설리: 허드슨강의 기적,"1,016건",173건
320,잭 리처: 네버 고 백,"2,731건",183건
