,title,director,distributor,distributor_group,release_date,release_season,nation,screen,genre,rate,expert_rating,starring_actors,running_times,audience_rating,rating_audiences,director_power,sequel,original,actor_power,before_news,after_news
491,도어락,이권,메가박스중앙(주)플러스엠,A,12/5/2018,winter,한국,954,스릴러,15세이상관람가,6.11,"공효진,김예원,김성오",102,7.958402662,601,1543800.0,0,1,56778007,19864.0,749.0
492,검은 사제들,장재현,씨제이이앤엠(주),A,11/5/2015,autumn,한국,1088,미스터리,15세이상관람가,6.23,"김윤석,강동원",108,8.584792396000001,1999,7838312.0,1,0,363748687,26079.0,1638.0
493,장난감이 살아있다,후안 호세 캄파넬라,"㈜코리아스크린,와이드 릴리즈(주)",D,9/7/2016,autumn,기타,294,애니메이션,전체관람가,5.0,"남도형,김채하,김태균A",91,8.088607595,79,142577.0,1,0,9350428,4819.0,122.0
494,매직브러시,쯔씽 쫑,(주)영화사 빅,D,5/4/2016,spring,기타,460,애니메이션,전체관람가,5.0,"김서영,김경희,박상훈",80,7.788732394,284,169257.0,1,0,5465146,1194.0,72.0
495,트롤,"마이크 미첼,월트 도른",씨제이이앤엠(주),A,2/16/2017,winter,미국,622,애니메이션,전체관람가,5.5,"안나 켄드릭,저스틴 팀버레이크,주이 디샤넬",92,8.820702403,541,2791969.0,0,0,10353328,16456.0,165.0
496,보통사람,김봉한,오퍼스픽쳐스(유),D,3/23/2017,spring,한국,621,드라마,15세이상관람가,5.86,"손현주,장혁",121,8.617391304,460,383336.0,0,0,46851513,120859.0,808.0
497,탐정 홍길동: 사라진 마을,조성희,씨제이이앤엠(주),A,5/4/2016,spring,한국,764,드라마,15세이상관람가,6.8,"이제훈,김성균",125,8.370217166,967,1426873.0,0,0,143186223,5118.0,688.0
498,김복동,송원근,(주)엣나인필름,D,8/8/2019,summer,한국,366,다큐멘터리,12세이상관람가,6.6,"김복동,한지민",101,9.9,50,87029.0,0,1,16423960,21591.0,843.0
499,어느 가족,고레에다 히로카즈,(주)티캐스트,B,7/26/2018,summer,일본,126,드라마,15세이상관람가,8.13,"릴리 프랭키,안도 사쿠라,마츠오카 마유",121,9.263691684,493,1027046.0,0,0,1033734,467169.0,1598.0
500,와일드,장 마크 발레,이십세기폭스코리아(주),B,1/22/2015,winter,미국,58,드라마,청소년관람불가,7.25,"리즈 위더스푼,로라 던,토머스 새도스키",119,8.906976744,43,374270.0,1,0,3180396,194492.0,296.0
501,그것,안드레스 무시에티,워너브러더스 코리아(주),B,9/6/2017,autumn,미국,837,공포,15세이상관람가,6.6,"빌 스카스가드,제이든 리버허",135,7.609907121,323,2367815.0,1,0,25058,2579849.0,6084.0
502,사자,김주환,롯데컬처웍스(주)롯데엔터테인먼트,A,7/31/2019,summer,한국,1405,미스터리,15세이상관람가,4.78,"박서준,안성기,우도환",129,8.244784422999999,719,12882255.0,0,0,43530784,398113.0,3202.0
503,바람 바람 바람,이병헌,(주)넥스트엔터테인먼트월드(NEW),C,4/5/2018,spring,한국,985,코미디,청소년관람불가,4.6,"이성민,신하균,송지효",100,7.064593301,836,11501537.0,0,1,287357766,9632.0,793.0
