,영화명,개봉일,매출액,매출액점유율,누적매출액,관객수,누적관객수,스크린수,상영횟수,대표국적,국적,제작사,배급사,등급,장르,감독,배우,main_actors,개봉일_int,director_involved,전국관객수
1128,선생님!... 좋아해도 될까요?,2018-04-06,4903000,0.0,4903000,604,604,6,22,일본,일본,,(주)스마일이엔티,12세이상관람가,"드라마,멜로/로맨스",미키 타카히로,"히로세 스즈,이쿠타 토마",,2018,True,604
1129,그녀의 인생은 잘못이 없어,2018-04-19,1629000,0.0,1629000,213,213,4,15,일본,일본,,(주)엔케이컨텐츠,청소년관람불가,드라마,히로키 류이치,"타키우치 쿠미,코라 켄고,미츠이시 켄,에모토 토키오","타키우치 쿠미, 코라 켄고, 미츠이시 켄",2018,True,213
1130,아이언 자이언트,2019-10-09,807000,0.0,807000,117,117,1,3,미국,미국,,(주)삼백상회,전체관람가,"애니메이션,SF,가족",브래드 버드,"제니퍼 애니스턴,빈 디젤,정미숙,유동현,한호웅,문선희","제니퍼 애니스턴, 빈 디젤, 정미숙",2019,True,9802
1131,완전범죄: 키드냅,2018-03-29,55000,0.0,55000,38,38,5,38,캐나다,캐나다,,(주)케이알씨지,15세이상관람가,스릴러,아론 우들리,"케빈 지거스,레이 리오타,로라 밴더부트,빅터 가버","케빈 지거스, 레이 리오타, 로라 밴더부트",2018,True,38
1132,신과함께-인과 연,2018-08-01,102666146909,0.102,102666146909,12274996,12274996,2235,179981,한국,한국,"리얼라이즈픽쳐스(주),(주)덱스터스튜디오",롯데컬처웍스(주)롯데엔터테인먼트,12세이상관람가,"판타지,드라마",김용화,"하정우,주지훈,김향기,마동석,김동욱,이정재,김기태,오희준,도경수,이준혁,이수봉,이용희,이우주,이우주,이준혁,이지향,이지향,이지혜,김지안,김철구,김태준,안용우,김학충,노남석,장재욱,전종석,박지선,박찬영,정진영,정지훈,권훈,권수정,김대근,김대현,김동욱,김민석,안지호,강민,조한철,임철수,민무제,강신철,홍기준,장광,정아미,김민종,홍인,류제승,최현종,김그림,양지수","하정우, 주지훈, 김향기",2018,True,12253247
1133,보헤미안 랩소디,2018-10-31,80010440345,0.079,80010440345,9224582,9224582,1179,204537,미국,미국,,이십세기폭스코리아(주),12세이상관람가,드라마,브라이언 싱어,"라미 말렉,조셉 마젤로,마이크 마이어스,루시 보인턴","라미 말렉, 조셉 마젤로, 마이크 마이어스",2018,True,9224582
1134,미션 임파서블: 폴아웃,2018-07-25,55888375112,0.055,55888375112,6584915,6584915,1957,101374,미국,미국,파라마운트 픽쳐스,롯데컬처웍스(주)롯데엔터테인먼트,15세이상관람가,"액션,스릴러",크리스토퍼 맥쿼리,"톰 크루즈,레베카 퍼거슨,바네사 커비,미셸 모나한,헨리 카빌,안젤라 바셋,사이먼 페그,알렉 볼드윈","톰 크루즈, 레베카 퍼거슨, 바네사 커비",2018,True,6584915
1135,앤트맨과 와스프,2018-07-04,47468053685,0.047,47468053685,5448134,5448134,1775,148244,미국,미국,,월트디즈니컴퍼니코리아 유한책임회사,12세이상관람가,"액션,어드벤처,SF",페이튼 리드,"폴 러드,에반젤린 릴리,마이클 더글라스,미셀 파이퍼,로렌스 피쉬번,해나 존-케이먼,마이클 페나,월튼 고긴스","폴 러드, 에반젤린 릴리, 마이클 더글라스",2018,True,5447826
1136,안시성,2018-09-19,46335334026,0.046,46335334026,5440186,5440186,1540,110439,한국,한국,"(주)영화사수작,(주)스튜디오앤뉴,모티브픽쳐스(주)",(주)넥스트엔터테인먼트월드(NEW),12세이상관람가,"사극,액션",김광식,"이태진,조인성,신현숙,남주혁,박성웅,김경희,배성우,엄태구,설현,박병은,오대환,성동일,정은채,유오성,김미지,여윤호,박인수,이승일,이현,이경재,이낙준,이동민,이상혁,이상호,이성욱,이세민,이승석,배유리,이승환,배준수,이원재,이은희,이은희,이인규,이정민,이정선,김종호,이준우,이진용,이태진,이호준,임동영,임상현,김현우,김현창,나대한,오진석,유병주,윤정열,문창준,박경관,임용순,박세준,정미경,정지훈,김한솔,정태영,조석현,조형래,조혜인,조혜인,김욱,김대현,김동민,김동진,김명준,김민혁,최희열,한명환,한아름,한정환,김이현,김원중,김세홍,강희중,주석태,손영순,장광,옥자연,여이레,정인겸,신유람,박태산","이태진, 조인성, 신현숙",2018,True,5440186
1137,완벽한 타인,2018-10-31,44350807074,0.044000000000000004,44350807074,5293435,5293435,1325,143055,한국,한국,"(주)필름몬스터,드라마하우스(주)",롯데컬처웍스(주)롯데엔터테인먼트,15세이상관람가,"드라마,코미디",이재규,"유해진,조진웅,이서진,염정아,김지수,송하윤,윤경호,지우,정민규,정지훈,조용진,최유화,조달환","유해진, 조진웅, 이서진",2018,True,5293435
