,영화명,개봉일,매출액,매출액점유율,누적매출액,관객수,누적관객수,스크린수,상영횟수,대표국적,국적,제작사,배급사,등급,장르,감독,배우,main_actors,개봉일_int,director_involved,전국관객수
853,석조저택 살인사건,2017-05-09,2811738886,0.004,2811738886,351342,351342,539,17913,한국,한국,주식회사 영화사다,씨네그루(주)키다리이엔티,15세이상관람가,스릴러,"정식,김휘","황인아,고수,김주혁,문성근,박성웅,임화영,임태훈,전민,신영진,신영진,정우식,정유빈,조원진,조유찬,조한별,이대영,이유진,이유진,이자은,이정섭,이주연,이주연,이주현,홍의정,황재욱,고민우,한지은,고우림,이신성,배유리,김시우,정종우","황인아, 고수, 김주혁",2017,True,350129
854,싱글라이더,2017-02-22,2685519021,0.003,2685519021,351276,351276,576,16744,한국,한국,(주)퍼펙트스톰필름,워너브러더스 코리아(주),15세이상관람가,드라마,이주영,"진남수,이병헌,공효진,안소희,장요한,최병구,이상원,연송하,백수장,김수진,최준영,강신철,양지수","진남수, 이병헌, 공효진",2017,True,351276
855,존 윅 - 리로드,2017-02-22,2205582600,0.003,2205582600,276379,276379,250,11569,미국,미국,,(주)제이앤씨미디어그룹,청소년관람불가,"액션,범죄,스릴러",채드 스타헬스키,"키아누 리브스,이안 맥쉐인,루비 로즈,브리짓 모나핸,피터 스토메어,존 레귀자모,로렌스 피쉬번,데이비드 패트릭 켈리,커먼,랜스 레딕,리카르도 스카마르치오","키아누 리브스, 이안 맥쉐인, 루비 로즈",2017,True,276379
856,목소리의 형태,2017-05-09,2169090214,0.003,2169090214,275842,275842,466,11026,일본,일본,,(주)디스테이션,전체관람가,"애니메이션,멜로/로맨스",야마다 나오코,"이리노 미유,하야미 사오리,유키 아오이,오노 켄쇼,카네코 유키,이시카와 유이,토요나가 토시유키","이리노 미유, 하야미 사오리, 유키 아오이",2017,True,272736
857,리얼,2017-06-28,1717338874,0.002,1717338874,255180,255180,970,11389,한국,한국,(주)코브픽쳐스,씨제이이앤엠(주),청소년관람불가,액션,이사랑,"김수현,성동일,이성민,최진리,조우진,이경영,김홍파,정인겸,최권,한지은,문광무,박서준,장현도,전누리,최안나,이경민,이상훈,이선민,이선민,이성민,이세원,이수연,이정현,이태형,황수진,이형주,임지혜,고규필,황성준,배수지,안소희,현봉식,이정현,남경,윤경호,장태영","김수현, 성동일, 이성민",2017,True,255180
858,어느날,2017-04-05,1845841582,0.002,1845841582,234681,234681,532,17747,한국,한국,(주)인벤트스톤,"오퍼스픽쳐스(유),CGV아트하우스",15세이상관람가,멜로/로맨스,이윤기,"김남길,천우희,박윤호,박태영,배유리,전유림,신영진,정태인,유경훈,이미소,이상원,이승연,황혜인,남영선,남영선,이승연,민무제,강신철,이수인,박희본,김현수,정순원,배은우","김남길, 천우희, 박윤호",2017,True,232016
859,발레리나,2017-02-09,1518582400,0.002,1518582400,202693,202693,434,5992,프랑스,"프랑스,캐나다",,판씨네마(주),전체관람가,"애니메이션,어드벤처,가족,뮤지컬","에릭 섬머,에릭 와린","엘르 패닝,데인 드한",,2017,True,201365
860,50가지 그림자: 심연,2017-02-09,1589180900,0.002,1589180900,189620,189620,435,8960,미국,미국,,유니버설픽쳐스인터내셔널 코리아(유),청소년관람불가,"드라마,멜로/로맨스",제임스 폴리,"제이미 도넌,다코타 존슨",,2017,True,189620
861,핵소 고지,2017-02-22,1342081900,0.002,1342081900,177601,177601,442,8946,미국,"미국,호주",,판씨네마(주),15세이상관람가,"드라마,전쟁",멜 깁슨,"앤드류 가필드,샘 워싱턴,휴고 위빙","앤드류 가필드, 샘 워싱턴, 휴고 위빙",2017,True,177601
862,문라이트,2017-02-22,1403639195,0.002,1403639195,177483,177483,191,8202,미국,미국,,CGV아트하우스,15세이상관람가,드라마,배리 젠킨스,"트레반트 로즈,앙드레 홀랜드,나오미 해리스","트레반트 로즈, 앙드레 홀랜드, 나오미 해리스",2017,True,177483
863,더 큐어,2017-02-15,1331883200,0.002,1331883200,159948,159948,419,8298,미국,"미국,독일",,이십세기폭스코리아(주),청소년관람불가,"미스터리,스릴러",고어 버빈스키,"데인 드한,제이슨 아이삭스,미아 고스,셀리아 아임리","데인 드한, 제이슨 아이삭스, 미아 고스",2017,True,159948
864,비정규직 특수요원,2017-03-16,1150732700,0.001,1150732700,149719,149719,497,11132,한국,한국,"(주)스톰픽쳐스코리아,컴퍼니에이이엔티(주)","(주)이수C&E,(주)스톰픽쳐스코리아",15세이상관람가,"코미디,액션",김덕수,"강예원,한채아,조재윤,김민교,김성은,남성진,동현배,남궁민,신영훈,심은주,유연수,윤석진,채환,최효정,한승환,한용환,이예림,이정민,이정민,김동철,김용진,김용훈,박성훈,현봉식,주예지,신세휘,곽자형,류성현,최정현","강예원, 한채아, 조재윤",2017,True,149719
865,레고 배트맨 무비,2017-02-09,1175424305,0.001,1175424305,148760,148760,427,5949,미국,미국,,워너브러더스 코리아(주),전체관람가,"애니메이션,액션,코미디",크리스 맥케이,"윌 아넷,로자리오 도슨,랄프 파인즈,마이클 세라","윌 아넷, 로자리오 도슨, 랄프 파인즈",2017,True,148760
866,극장판 또봇: 로봇군단의 습격,2017-04-27,1089135300,0.001,1089135300,141592,141592,231,3854,한국,한국,레트로봇 주식회사,씨제이이앤엠(주),전체관람가,애니메이션,"이달,고동우","하룡이,신경선,이현,박연미,이혜림,이호승,임은경,박지연,박지훈,신준하,정재준,안효민,원지수,윤민영,이경진,최빛나라,최은지,김신영,김신영,김영선","하룡이, 신경선, 이현",2017,True,141592
867,시간위의 집,2017-04-05,1020724600,0.001,1020724600,128975,128975,454,10971,한국,한국,"리드미컬그린(주),자이온 이엔티(주),브릿지웍스 엔터테인먼트(주),라이브(주)","(주)리틀빅픽쳐스,(주)페퍼민트앤컴퍼니",15세이상관람가,"미스터리,스릴러",임대웅,"김윤진,옥택연,조재윤,이한위,박준면,백도빈,유인영,서민수,정용욱,이동규,이재우,고우림,이양희,박상훈,김현","김윤진, 옥택연, 조재윤",2017,True,124601
868,명탐정 코난: 에피소드 원-작아진 명탐정,2017-02-08,999362100,0.001,999362100,128472,128472,215,4172,일본,일본,,씨제이이앤엠(주),12세이상관람가,애니메이션,야마모토 야스이치로,,,2017,True,128472
869,마이펫 오지,2017-02-16,913514950,0.001,913514950,124318,124318,393,5325,스페인,"스페인,캐나다",,롯데쇼핑㈜롯데엔터테인먼트,전체관람가,"애니메이션,어드벤처",알베르토 로드리게즈,,,2017,True,124112
870,짱구는 못말려 극장판: 폭풍수면! 꿈꾸는 세계 대돌격,2017-01-25,905611600,0.001,905611600,119197,119197,334,4442,일본,일본,,(주)넥스트엔터테인먼트월드(NEW),전체관람가,애니메이션,타카하시 와타루,"박영남,김환진,강희선,여민정,장경희,정혜옥,송하림,김연우,박영화,장미,윤은서,이기성,장예나,김민주,현경수","박영남, 김환진, 강희선",2017,True,119197
871,극장판 소드 아트 온라인 -오디널 스케일-,2017-02-23,897598000,0.001,897598000,117401,117401,124,3786,일본,일본,,(주)박수엔터테인먼트,12세이상관람가,"애니메이션,SF,액션",이토 토모히코,"마츠오카 요시츠구,토마츠 하루카,이토 카나에","마츠오카 요시츠구, 토마츠 하루카, 이토 카나에",2017,True,117401
872,"서서평, 천천히 평온하게",2017-04-26,835150900,0.001,835150900,115731,115731,234,4225,한국,한국,재단법인 온누리선교재단(CGNTV),커넥트픽쳐스(주),전체관람가,다큐멘터리,"홍주연,홍현정","윤안나,안은새,강다연,도세진,민주홍,박사라,이상운,진미혜,최용수,최진","윤안나, 안은새, 강다연",2017,True,115561
873,베이블레이드 버스트 갓 : 갓 발키리의 탄생,2017-06-01,826226000,0.001,826226000,109192,109192,198,2676,일본,일본,,씨제이이앤엠(주),전체관람가,애니메이션,야마구치 켄타로,"김현지,한신,김보영,이호산,김영은","김현지, 한신, 김보영",2017,True,108730
874,루시드 드림,2017-02-22,759481000,0.001,759481000,102170,102170,461,8534,한국,한국,(주)로드픽쳐스,(주)넥스트엔터테인먼트월드(NEW),15세이상관람가,"SF,스릴러",김준성,"고수,설경구,박유천,강혜정,박인환,천호진,정성호,신중혁,조성미,우영택,이석,이석,이승호,홍의정,황비긴,황인준,김유선,김택규,전석호,최대훈,전신환,이시아,김강훈,신유람","고수, 설경구, 박유천",2017,True,102170
875,딥워터 호라이즌,2017-01-25,775791543,0.001,775791543,100051,100051,433,7024,미국,미국,,메가박스중앙(주)플러스엠,12세이상관람가,"액션,드라마",피터 버그,"마크 월버그,딜런 오브라이언,케이트 허드슨,커트 러셀,지나 로드리게즈,존 말코비치,에단 서플리,조 크레스트,제임스 더몬트,크리스 애쉬워스","마크 월버그, 딜런 오브라이언, 케이트 허드슨",2017,True,100021
876,슈퍼 빼꼼: 스파이 대작전,2017-05-03,708419900,0.001,708419900,98937,98937,358,3306,한국,한국,(합)알지애니메이션스튜디오,메가박스중앙(주)플러스엠,전체관람가,"애니메이션,코미디",임아론,"김태균,최정현,최낙윤,남도형,윤용식,김성연,박상호,장현주","김태균, 최정현, 최낙윤",2017,True,96462
877,사일런스,2017-02-28,700818300,0.001,700818300,94750,94750,342,5853,미국,"미국,대만,멕시코",,씨네그루(주)키다리이엔티,15세이상관람가,드라마,마틴 스코세이지,"앤드류 가필드,리암 니슨,아담 드라이버,시아란 힌즈,아사노 타다노부,고마츠 나나,츠카모토 신야,카세 료,사부,이세이 오가타","앤드류 가필드, 리암 니슨, 아담 드라이버",2017,True,94750
878,파도가 지나간 자리,2017-03-08,638371200,0.001,638371200,82717,82717,276,5751,미국,"미국,뉴질랜드,영국",,CGV아트하우스,15세이상관람가,"드라마,멜로/로맨스",데릭 시엔프랜스,"마이클 패스벤더,알리시아 비칸데르,레이첼 와이즈,에밀리 바클레이,리온 포드","마이클 패스벤더, 알리시아 비칸데르, 레이첼 와이즈",2017,True,82177
879,너와 100번째 사랑,2017-05-25,632544500,0.001,632544500,80415,80415,140,3888,일본,일본,,(주)디스테이션,12세이상관람가,"드라마,멜로/로맨스",츠키카와 쇼,"사카구치 켄타로,미와,류세이 료","사카구치 켄타로, 미와, 류세이 료",2017,True,78930
880,패트리어트 데이,2017-04-06,593983618,0.001,593983618,74827,74827,375,6326,미국,미국,,(주)이수C&E,15세이상관람가,"드라마,스릴러",피터 버그,"마크 월버그,존 굿맨,케빈 베이컨,J.K. 시몬스,미셸 모나한","마크 월버그, 존 굿맨, 케빈 베이컨",2017,True,66074
881,파워레인져스: 더 비기닝,2017-04-20,576103561,0.001,576103561,73675,73675,479,7860,미국,미국,,(주)넥스트엔터테인먼트월드(NEW),12세이상관람가,"액션,어드벤처,판타지,SF",딘 이스라엘리트,"데이커 몽고메리,나오미 스콧,RJ 사일러,베키 지,루디 린,빌 헤이더,브라이언 크랜스톤,엘리자베스 뱅크스,데이빗 덴맨,안잘리 자이,캐롤라인 케이브","데이커 몽고메리, 나오미 스콧, RJ 사일러",2017,True,72495
882,바다 탐험대 옥토넛 시즌4: 더 파이널,2017-06-01,478083000,0.001,478083000,73306,73306,167,2831,영국,영국,,와이드 릴리즈(주),전체관람가,"애니메이션,어드벤처",다라 오코넬,"하성용,정재헌,엄상현,윤승희,김정은","하성용, 정재헌, 엄상현",2017,True,72926
883,오두막,2017-04-20,559079300,0.001,559079300,72849,72849,396,5486,미국,미국,,판씨네마(주),12세이상관람가,드라마,스튜어트 하젤딘,"샘 워싱턴,옥타비아 스펜서,라다 미첼,라이언 로빈스,그레이엄 그린,데릭 해밀턴,에밀리 홈즈","샘 워싱턴, 옥타비아 스펜서, 라다 미첼",2017,True,72849
884,더 서클,2017-06-22,536591400,0.001,536591400,65910,65910,169,4909,미국,미국,,씨네그루(주)키다리이엔티,12세이상관람가,"드라마,SF,스릴러",제임스 폰솔트,"엠마 왓슨,톰 행크스",,2017,True,65910
885,극장판 쿠로코의 농구 라스트 게임,2017-04-27,460086500,0.001,460086500,62033,62033,96,3065,일본,일본,,(주)박수엔터테인먼트,12세이상관람가,애니메이션,타다 슌스케,오노 켄쇼,,2017,True,62033
886,바다 탐험대 옥토넛 시즌4: 바다 괴물 대소동,2017-01-25,404982500,0.001,404982500,60944,60944,145,2646,영국,영국,,와이드 릴리즈(주),전체관람가,"애니메이션,어드벤처",다라 오코넬,"하성용,정재헌,엄상현,윤승희,김정은,김율","하성용, 정재헌, 엄상현",2017,True,60935
887,꼬마참새 리차드: 아프리카 원정대,2017-06-15,434251400,0.001,434251400,58384,58384,319,2471,독일,"독일,벨기에,룩셈부르크,노르웨이",,씨네그루(주)키다리이엔티,전체관람가,애니메이션,"토비 젠켈,레자 메마리","김서영,구민선,변영희,사문영,임채헌,황창영,이현","김서영, 구민선, 변영희",2017,True,58384
888,나의 붉은고래,2017-06-15,440118000,0.001,440118000,57169,57169,390,5596,중국,중국,,(주)영화사 빅,전체관람가,"애니메이션,판타지","양선,장춘",,,2017,True,56108
889,밤의 해변에서 혼자,2017-03-23,438124100,0.001,438124100,56907,56907,133,4272,한국,한국,(주)영화제작전원사,"(주)영화제작전원사 ,(주)콘텐츠판다",청소년관람불가,드라마,홍상수,"김민희,정재영,서영화,권해효,송선미,문성근,안재홍,박예주,박홍열,신선,공민정,안선영,강태우","김민희, 정재영, 서영화",2017,True,56907
890,맨체스터 바이 더 씨,2017-02-15,446621000,0.001,446621000,55658,55658,109,2922,미국,미국,,THE 픽쳐스,15세이상관람가,드라마,케네스 로너건,"케이시 애플렉,미쉘 윌리엄스,카일 챈들러,테이트 도노반,조쉬 해밀톤,매튜 브로데릭,그레첸 몰,톰 켐프,카라 헤이워드","케이시 애플렉, 미쉘 윌리엄스, 카일 챈들러",2017,True,53779
891,옥자,2017-06-29,372557400,0.0,372557400,49479,49479,96,684,미국,미국,"플랜 비 엔터테인먼트,(주)루이스 픽쳐스",(주)넥스트엔터테인먼트월드(NEW),12세이상관람가,"어드벤처,액션,드라마",봉준호,"틸다 스윈튼,제이크 질렌할,폴 다노,안서현,변희봉,스티븐 연,릴리 콜린스,셜리 헨더슨,다니엘 헨셜,데본 보스틱,최우식,지안카를로 에스포지토,켈리 맥도날드,윤제문,최희서,이정은,이봉련,박근록,윤경호,안성봉,한이진,곽진석","틸다 스윈튼, 제이크 질렌할, 폴 다노",2017,True,49479
892,미스 슬로운,2017-03-29,381394300,0.0,381394300,48051,48051,104,3066,미국,"미국,프랑스",,(주)메인타이틀픽쳐스,15세이상관람가,"드라마,스릴러",존 매든,"제시카 차스테인,구구 바샤-로,알리슨 필,마크 스트롱,제이크 레이시,마이클 스털버그,더글라스 스미스,존 리스고,샘 워터스톤","제시카 차스테인, 구구 바샤-로, 알리슨 필",2017,True,48051
893,매기스 플랜,2017-01-25,382361800,0.0,382361800,47668,47668,94,2215,미국,미국,,오드,15세이상관람가,"코미디,멜로/로맨스",레베카 밀러,"에단 호크,줄리안 무어,그레타 거윅,트래비스 핌멜,빌 헤이더,마야 루돌프","에단 호크, 줄리안 무어, 그레타 거윅",2017,True,47668
894,심야식당 2,2017-06-08,358005400,0.0,358005400,45593,45593,235,3757,일본,일본,,(주)디스테이션,12세이상관람가,드라마,마츠오카 조지,"코바야시 카오루,오다기리 죠",,2017,True,45379
895,리틀 프린세스 소피아: 엘레나와 비밀의 아발로 왕국,2017-04-13,317454000,0.0,317454000,45484,45484,164,2208,미국,미국,,월트디즈니컴퍼니코리아 유한책임회사,전체관람가,"애니메이션,어드벤처,가족,판타지,뮤지컬",제이미 미첼,"아리엘 윈터,아이미 카레로,제인 폰다,사라 라미레즈,다시 로즈 번즈,타일러 머나,트래비스 윌링엄,바바라 디릭슨,제나 오르테가,크리스티앙 란스,김미랑,이재현,안경진,윤소라,서지연,연정흠,박조호,홍수정,여민정,이장원","아리엘 윈터, 아이미 카레로, 제인 폰다",2017,True,45484
896,킹 오브 프리즘 - 프라이드 더 히어로,2017-06-10,305724000,0.0,305724000,36272,36272,92,1987,일본,일본,,"동우에이앤이(주),(주)박수엔터테인먼트",15세이상관람가,애니메이션,히시다 마사카즈,"남도형,엄상현,이원찬,정주원,이정민,한신,황창영,김현욱,탁원정,이경태,심승한,사성웅,이규창","남도형, 엄상현, 이원찬",2017,True,36272
897,반지의 제왕 : 반지원정대 (확장판),2017-01-11,470027900,0.001,470027900,35758,35758,74,1112,뉴질랜드,"뉴질랜드,미국",,(주)디스테이션,12세이상관람가,"판타지,어드벤처,액션",피터 잭슨,"일라이저 우드,이안 맥켈런,리브 타일러,비고 모텐슨,숀 애스틴,케이트 블란쳇,존 라이스 데이비스,빌리 보이드,도미니크 모나한,올랜도 블룸,크리스토퍼 리,휴고 위빙,숀 빈,이안 홈,앤디 서키스","일라이저 우드, 이안 맥켈런, 리브 타일러",2017,True,35758
898,더 플랜,2017-04-20,263526895,0.0,263526895,34225,34225,156,2916,한국,한국,프로젝트 부,(주)엣나인필름,15세이상관람가,다큐멘터리,최진성,김어준,,2017,True,34225
899,반지의 제왕 : 왕의 귀환 (확장판),2017-01-25,370268000,0.0,370268000,30349,30349,56,869,뉴질랜드,"뉴질랜드,미국",,(주)디스테이션,12세이상관람가,"판타지,어드벤처,액션",피터 잭슨,"일라이저 우드,이안 맥켈런,리브 타일러,비고 모텐슨,숀 애스틴,케이트 블란쳇,존 라이스 데이비스,빌리 보이드,도미니크 모나한,올랜도 블룸,크리스토퍼 리,휴고 위빙,숀 빈,이안 홈,앤디 서키스","일라이저 우드, 이안 맥켈런, 리브 타일러",2017,True,30349
900,데스노트: 더 뉴 월드,2017-03-29,220886363,0.0,220886363,28723,28723,309,3372,일본,일본,,(주)디스테이션,15세이상관람가,"범죄,드라마,스릴러",사토 신스케,"히가시데 마사히로,이케마츠 소스케,토다 에리카,스다 마사키,카와에이 리나","히가시데 마사히로, 이케마츠 소스케, 토다 에리카",2017,True,28723
901,반지의 제왕 : 두개의 탑 (확장판),2017-01-18,350183800,0.0,350183800,27440,27440,58,683,뉴질랜드,"뉴질랜드,미국",,(주)디스테이션,12세이상관람가,"판타지,어드벤처,액션",피터 잭슨,"일라이저 우드,이안 맥켈런,리브 타일러,비고 모텐슨,숀 애스틴,케이트 블란쳇,존 라이스 데이비스,빌리 보이드,도미니크 모나한,올랜도 블룸,크리스토퍼 리,휴고 위빙,숀 빈,이안 홈,앤디 서키스","일라이저 우드, 이안 맥켈런, 리브 타일러",2017,True,27440
902,파워배틀 와치카: 와치가면의 역습,2017-06-01,164805000,0.0,164805000,23294,23294,246,1728,한국,한국,(주)삼지애니메이션,(주)삼지애니메이션,전체관람가,애니메이션,"이영준,김래경","엄상현,전태열,정혜원","엄상현, 전태열, 정혜원",2017,True,21893
903,지랄발광 17세,2017-06-28,147909600,0.0,147909600,20000,20000,81,1118,미국,미국,,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,15세이상관람가,"코미디,드라마",켈리 프레몬,"헤일리 스테인펠드,우디 해럴슨,카이라 세드윅,블레이크 제너,헤일리 루 리차드슨","헤일리 스테인펠드, 우디 해럴슨, 카이라 세드윅",2017,True,20000
904,인카네이트,2017-05-25,142090200,0.0,142090200,18028,18028,229,2095,미국,미국,,판씨네마(주),15세이상관람가,스릴러,브래드 페이튼,"아론 에크하트,데이비드 매주즈",,2017,True,18028
905,내 사랑,2017-07-12,23096000,0.0,23096000,2759,2759,5,22,아일랜드,"아일랜드,캐나다",,오드,12세이상관람가,"드라마,멜로/로맨스",에이슬링 월쉬,"샐리 호킨스,에단 호크",,2017,True,333347
906,예수는 역사다,2017-07-13,12426000,0.0,12426000,1618,1618,3,14,미국,미국,,(재)CBS,전체관람가,드라마,존 건,"마이크 보겔,에리카 크리스틴슨,페이 더너웨이,로버트 포스터","마이크 보겔, 에리카 크리스틴슨, 페이 더너웨이",2017,True,170796
907,장기왕 : 가락시장 레볼루션,2017-02-02,9889000,0.0,9889000,1250,1250,17,208,한국,한국,오락가락픽쳐스,하준사,15세이상관람가,코미디,정다원,"정두원,최시온,박예영,정다원,송치영,송치영,정지형,정진재,주용,최요셉,이서하,이승철,이윤형,홍지석,홍지석,김재록,김태양,안선영,배유람,이정민,이장유,임영우","정두원, 최시온, 박예영",2017,True,1087
908,스파이더맨: 홈 커밍,2017-07-05,5640000,0.0,5640000,705,705,2,2,미국,미국,,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,12세이상관람가,"액션,어드벤처,SF",존 왓츠,"제이콥 배덜런,톰 홀랜드,로버트 다우니 주니어,마이클 키튼,마리사 토메이,젠다야 콜맨,존 파브로,마틴 스타,로건 마샬-그린,가르셀라 보베,스탠 리,보킴 우드바인,케네스 최,토니 레볼로리,타인 달리","제이콥 배덜런, 톰 홀랜드, 로버트 다우니 주니어",2017,True,7257973
909,내가 죽기 전에 가장 듣고 싶은 말,2017-07-19,4064000,0.0,4064000,508,508,1,2,미국,미국,,"(주)메인타이틀픽쳐스,주식회사 키위컴퍼니",12세이상관람가,코미디,마크 펠링톤,"셜리 맥클레인,아만다 사이프리드,앤 헤이시","셜리 맥클레인, 아만다 사이프리드, 앤 헤이시",2017,True,44839
910,장산범,2017-08-17,1692000,0.0,1692000,282,282,1,1,한국,한국,(주)드림캡쳐,(주)넥스트엔터테인먼트월드(NEW),15세이상관람가,"미스터리,스릴러",허정,"염정아,박혁권,허진,신린아,방유설,이준혁,이달,이주원,장리우,정지훈,노수산나,김수안","염정아, 박혁권, 허진",2017,True,1305145
911,그 후,2017-07-06,1664000,0.0,1664000,208,208,1,1,한국,한국,(주)영화제작전원사,"(주)영화제작전원사 ,(주)콘텐츠판다",청소년관람불가,드라마,홍상수,"권해효,김민희,김새벽,강태우","권해효, 김민희, 김새벽",2017,True,18440
912,나인스 라이프,2017-09-07,379500,0.0,379500,76,76,1,1,영국,영국,,(주)라이크 콘텐츠,15세이상관람가,"미스터리,스릴러",알렉산더 아야,"제이미 도넌,사라 가돈,아론 폴","제이미 도넌, 사라 가돈, 아론 폴",2017,True,2964
913,실종 : 택시 납치 사건,2017-02-23,181000,0.0,181000,62,62,5,58,중국,중국,,(주)케이알씨지,15세이상관람가,"범죄,스릴러",임대웅,"여명,한채영,경악","여명, 한채영, 경악",2017,True,62
914,더 건맨 : 테이큰 감독 뉴프로젝트,2017-03-22,92000,0.0,92000,34,34,5,34,프랑스,"프랑스,스페인,영국",,(유)조이앤컨텐츠그룹,15세이상관람가,"액션,스릴러",피에르 모렐,"숀 펜,하비에르 바르뎀,이드리스 엘바","숀 펜, 하비에르 바르뎀, 이드리스 엘바",2017,True,34
915,존 윅: 특별판,2017-03-30,30000,0.0,30000,10,10,5,5,미국,미국,,(유)조이앤시네마,청소년관람불가,"액션,드라마","데이빗 레이치,채드 스타헬스키",키아누 리브스,,2017,True,10
916,도묘필기: 미이라의 부활,2017-06-30,11000,0.0,11000,5,5,5,5,중국,중국,,(주)케이알씨지,15세이상관람가,"미스터리,어드벤처",이인항,"루한,정백연",,2017,True,5
917,택시운전사,2017-08-02,95853645649,0.099,95853645649,12186327,12186327,1906,184075,한국,한국,더램프(주),(주)쇼박스,15세이상관람가,드라마,장훈,"이수민,송강호,토마스 크레취만,유해진,류준열,박혁권,최귀화,이창섭,이호균,서정우,송병철,안용우,오석규,윤석진,이새별,이성호,이정은,이주영,황민형,김신웅,김진상,김화목,차순배,김대현,서현우,이봉련,홍완표,문광식,류성현,백인권,허정도,손경원,한사명,한이진","이수민, 송강호, 토마스 크레취만",2017,True,12099614
918,신과함께-죄와 벌,2017-12-20,68350496432,0.07,68350496432,8539495,8539495,1912,91301,한국,한국,"리얼라이즈픽쳐스(주),(주)덱스터스튜디오",롯데쇼핑㈜롯데엔터테인먼트,12세이상관람가,"판타지,드라마",김용화,"하정우,차태현,주지훈,김향기,마동석,김동욱,도경수,오달수,임원희,장광,정해균,김수안,이정재,김해숙,이경영,김하늘,최용훈,강소백,정수윤,이수봉,이승준,이지향,김태준,정지훈,예수정,김기태,성유빈,오희준,이준혁,유수빈,윤지온,임철수,나철,강길우,김민종,홍인,정순원,김그림,박윤호,양지수,김지나","하정우, 차태현, 주지훈",2017,True,8539495
919,군함도,2017-07-26,50510565168,0.052000000000000005,50510565168,6592151,6592151,2027,108775,한국,한국,"(주)외유내강,(주)필름케이",씨제이이앤엠(주),15세이상관람가,"액션,드라마",류승완,"황정민,김규백,명인호,소지섭,송중기,이정현,김수안,지웅배,손용범,박상호,박선,박선주,박영준,박정민,박준서,박준서,박혜민,성정훈,오정현,오형근,전창현,정규호,정부용,지재우,이다영,이동준,이상협,이선민,이세형,이윤2,최호영,이재민,이정민,이정은,이정현,이제훈,허승준,이준희,이지은,이지환,이태영,이하은,이하준,이경영,장성범,백승철,김준한,김고은,박성일,설준수,조경현,여윤호,이준혁,신희철,김동영,이정현,전배수,윤경호,강덕중,김정원,이문석,정병두,김예은,김인우,정만식","황정민, 김규백, 명인호",2017,True,6592151
920,청년경찰,2017-08-09,44381150516,0.046,44381150516,5653270,5653270,1102,118544,한국,한국,"(주)무비락,(주)도서관옆스튜디오,베리굿스튜디오(주)",롯데쇼핑㈜롯데엔터테인먼트,15세이상관람가,액션,김주환,"박서준,강하늘,박승호,성동일,한도진,박하선,정다은,김규백,이하준,이현일,임대현,박재홍,박정훈,장석진,서은지,서정우,서지원,신정화,조윤주,우상기,이강재,이다영,최광원,최지민,이도현,이상민,이세희,이수진,한재욱,이은비,이재웅,이정수,이주원,서정연,고준,전준영,이호정,배유람,이승희,류경수,정원중,이수인,김강현,최홍일,정동훈,안성봉,양현진,서도빈,지찬","박서준, 강하늘, 박승호",2017,True,5636259
921,킹스맨: 골든 서클,2017-09-27,40987484736,0.042,40987484736,4945484,4945484,1687,95922,미국,"미국,영국",,이십세기폭스코리아(주),청소년관람불가,"액션,어드벤처,코미디",매튜 본,"콜린 퍼스,줄리안 무어,태런 에저튼,마크 스트롱,할리 베리,엘튼 존,채닝 테이텀,제프 브리지스","콜린 퍼스, 줄리안 무어, 태런 에저튼",2017,True,4945484
922,토르: 라그나로크,2017-10-25,39227691395,0.04,39227691395,4853778,4853778,1640,137423,미국,미국,,월트디즈니컴퍼니코리아 유한책임회사,12세이상관람가,"액션,어드벤처,판타지,SF",타이카 와이티티,"크리스 헴스워스,톰 히들스턴,케이트 블란쳇,이드리스 엘바,제프 골드블럼,테사 톰슨,칼 어번,마크 러팔로,안소니 홉킨스","크리스 헴스워스, 톰 히들스턴, 케이트 블란쳇",2017,True,4853778
923,강철비,2017-12-14,31994897566,0.033,31994897566,4014293,4014293,1426,66760,한국,한국,"(주)와이웍스엔터테인먼트,(주)모팩",(주)넥스트엔터테인먼트월드(NEW),15세이상관람가,"액션,드라마",양우석,"정우성,곽도원,김갑수,김의성,이경영,조우진,정원중,김명곤,박은혜,김지호,안미나,원진아,정유나,이상민,이정호,정환,한승헌,박민희,한창현,이양희,현봉식,손성찬,이지원,강덕중,최현종,권범택,천재홍,정종우","정우성, 곽도원, 김갑수",2017,True,4012889
924,남한산성,2017-10-03,31225083792,0.032,31225083792,3849087,3849087,1229,71101,한국,한국,(주)싸이런픽쳐스,씨제이이앤엠(주),15세이상관람가,"사극,드라마",황동혁,"이병헌,김윤석,박해일,고수,박희순,조우진,박주운,박지원,백동현,서병철,장정국,이정호,이호중,권효민,신희철,한창현,허성태,이장유,곽자형,강덕중,박지일,최희도,엄지만","이병헌, 김윤석, 박해일",2017,True,3829891
925,슈퍼배드 3,2017-07-26,24217091019,0.025,24217091019,3324874,3324874,1057,59388,미국,미국,,유니버설픽쳐스인터내셔널 코리아(유),전체관람가,애니메이션,"피에르 꼬팽,카일 발다","스티브 카렐,크리스틴 위그,트레이 파커","스티브 카렐, 크리스틴 위그, 트레이 파커",2017,True,3324861
