,id,영화명,감독,제작사,수입사,배급사,개봉일,영화유형,영화형태,국적,전국스크린수,전국매출액,전국관객수,서울매출액,서울관객수,장르,등급,영화구분,expert_rating,starring_actors,running_times,audience_rating,rating_audiences,개봉일_int
28,28,기술자들,김홍선,(주)트리니티엔터테인먼트,,롯데쇼핑㈜롯데엔터테인먼트,2014-12-24,개봉영화,장편,한국,641,6241817635,786257,1295768435,156201,범죄,15세이상관람가,일반영화,4.75,"김우빈(지혁), 김영철(조사장), 고창석(구인)",116분,7.925486875529213,1181,2014
29,29,신데렐라,케네스 브래너,,월트디즈니컴퍼니코리아(주),월트디즈니컴퍼니코리아(주),2015-03-19,개봉영화,장편,미국,531,5499767900,716386,1654573800,205943,멜로/로맨스,전체관람가,일반영화,6.5,"릴리 제임스, 리차드 매든, 케이트 블란쳇",113분,8.40327868852459,305,2015
30,30,채피,닐 블롬캠프,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2015-03-12,개봉영화,장편,미국,536,4620348654,573657,1430685654,167768,액션,15세이상관람가,일반영화,5.78,"휴 잭맨(빈센트), 샬토 코플리(채피), 시고니 위버(미셸 브래들리)",120분,7.703703703703703,216,2015
31,31,헬머니,신한솔,"(주)전망좋은 영화사,TCO(주)더콘텐츠온",,(주)넥스트엔터테인먼트월드(NEW),2015-03-05,개봉영화,장편,한국,422,4096141972,519983,799976772,98593,코미디,청소년관람불가,일반영화,4.13,"김수미(헬머니), 정만식(승현), 김정태(주현)",108분,7.5646258503401365,147,2015
32,32,도라에몽 : 스탠 바이 미,"야마자키 타카시,야기 류이치",,(주)넥스트엔터테인먼트월드(NEW),(주)넥스트엔터테인먼트월드(NEW),2015-02-12,개봉영화,장편,일본,432,3681140429,503516,681756129,88689,애니메이션,전체관람가,일반영화,7.0,"미즈타, 와사비, 오오하라 메구미, 카카즈 유미",95분,8.51792828685259,251,2015
33,33,위험한 상견례 2,김진영,"(주)전망좋은 영화사,TCO(주)더콘텐츠온,(주)마음에드는영화사",,"롯데쇼핑㈜롯데엔터테인먼트,(주)마인스 엔터테인먼트",2015-04-29,개봉영화,장편,한국,429,3575384754,472693,738570754,93940,멜로/로맨스,15세이상관람가,일반영화,4.0,"진세연, 홍종현, 신정근",119분,8.396039603960396,202,2015
34,34,순수의 시대,안상훈,"(주)화인웍스,(주)키메이커",,씨제이이앤엠(주),2015-03-05,개봉영화,장편,한국,546,3702353828,465492,1047948228,125716,사극,청소년관람불가,일반영화,4.57,"신하균(김민재), 장혁(이방원), 강한나(가희)",113분,6.721153846153846,208,2015
35,35,무뢰한,오승욱,(주)사나이픽처스,,CGV아트하우스,2015-05-27,개봉영화,장편,한국,482,3253854931,413577,1111717431,136411,멜로/로맨스,청소년관람불가,일반영화,7.21,"전도연(김혜경), 김남길(정재곤), 박성웅(박준길)",118분,7.502283105022831,219,2015
36,36,내 심장을 쏴라,문제용,(주)주피터필름,,"(주)리틀빅픽쳐스,(주)이수C&E",2015-01-28,개봉영화,장편,한국,452,2856859132,387409,602511932,79237,드라마,15세이상관람가,일반영화,4.55,"이민기(류승민), 여진구(이수명)",102분,8.256544502617801,191,2015
37,37,그레이의 50가지 그림자,샘 테일러-존슨,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2015-02-26,개봉영화,장편,미국,512,2918598796,364415,1201564996,145292,드라마,청소년관람불가,일반영화,3.07,"제이미 도넌(크리스찬 그레이), 다코타 존슨(아나스타샤 스틸), 루크 그림즈(엘리엇 그레이)",125분,5.575187969924812,266,2015
38,38,홈,팀 존슨,,씨제이이앤엠(주),씨제이이앤엠(주),2015-05-21,개봉영화,장편,미국,532,2691338791,360445,649663691,83379,애니메이션,전체관람가,일반영화,6.56,"짐 파슨스, 리아나, 제니퍼 로페즈",94분,8.26086956521739,207,2015
39,39,경성학교: 사라진 소녀들,이해영,"청년필름(주),비밀의화원",,롯데쇼핑㈜롯데엔터테인먼트,2015-06-18,개봉영화,장편,한국,489,2710740700,351208,715075900,88741,미스터리,15세이상관람가,일반영화,6.75,"박보영(주란), 엄지원(교장), 박소담(연덕)",99분,6.72108843537415,294,2015
40,40,아메리칸 스나이퍼,클린트 이스트우드,,워너브러더스 코리아(주),워너브러더스 코리아(주),2015-01-14,개봉영화,장편,미국,308,2800001438,344766,1052863738,126890,액션,청소년관람불가,일반영화,7.25,"브래들리 쿠퍼(크리스 카일), 시에나 밀러(타야), 제이크 맥더맨",132분,8.669902912621358,206,2015
41,41,호빗: 다섯 군대 전투,피터 잭슨,,워너브러더스 코리아(주),워너브러더스 코리아(주),2014-12-17,개봉영화,장편,미국,926,2840004341,326887,1007967441,104765,어드벤처,12세이상관람가,일반영화,6.42,"마틴 프리먼(빌보 배긴스), 이안 맥켈런(간달프), 리처드 아미티지(소린 오큰실드)",144분,8.620253164556962,1185,2014
42,42,스폰지밥 3D,폴 티비트,,씨제이이앤엠(주),씨제이이앤엠(주),2015-02-18,개봉영화,장편,미국,357,2458946200,325016,512218000,65131,애니메이션,전체관람가,일반영화,5.50,"전태열(스폰지밥), 이인성(뚱이), 안토니오 반데라스",92분,7.947826086956522,345,2015
43,43,주피터 어센딩,"라나 워쇼스키,릴리 워쇼스키",,워너브러더스 코리아(주),워너브러더스 코리아(주),2015-02-05,개봉영화,장편,미국,561,2685741879,309729,832233679,89787,SF,12세이상관람가,일반영화,4.75,"밀라 쿠니스(주피터 존스), 채닝 테이텀(케인), 숀 빈(스팅어)",127분,6.739495798319328,119,2015
44,44,패딩턴,폴 킹,,(주)누리픽쳐스,롯데쇼핑㈜롯데엔터테인먼트,2015-01-07,개봉영화,장편,영국,408,2246424729,305100,646094129,84276,코미디,전체관람가,일반영화,6.64,"벤 위쇼, 니콜 키드먼, 휴 보네빌",95분,8.754716981132075,265,2015
45,45,오즈의 마법사: 돌아온 도로시,"윌 핀,댄 세인트 피에르",,㈜코리아스크린,(주)박수엔터테인먼트,2015-02-12,개봉영화,장편,미국,330,2175321000,298298,518209900,68014,애니메이션,전체관람가,독립/예술영화,6.00,"박지윤(도로시 한국어 목소리), 김하영(공주 한국어 목소리), 신용우(제스터 한국어 목소리)",91분,8.049382716049383,162,2015
46,46,런 올 나이트,자움 콜렛 세라,,워너브러더스 코리아(주),워너브러더스 코리아(주),2015-03-19,개봉영화,장편,미국,411,2293671495,289534,623115595,76106,액션,청소년관람불가,일반영화,5.94,"리암 니슨(지미), 조엘 킨나만(마이클), 에드 해리스(숀)",114분,8.02608695652174,115,2015
47,47,다이노 타임,"최윤석,존 카프카",주식회사 토이온,,씨제이이앤엠(주),2015-04-30,개봉영화,장편,한국,430,2099627100,283292,405724600,52818,애니메이션,전체관람가,일반영화,-,"멜라니 그리피스(타이라(다이노맘) 목소리), 제인 린치(수(엄마) 목소리), 윌리암 볼드윈(사르코형제 목소리)",85분,8.539370078740157,254,2015
48,48,인서전트,로베르트 슈벤트케,,(유)조이앤컨텐츠그룹,롯데쇼핑㈜롯데엔터테인먼트,2015-03-25,개봉영화,장편,미국,480,2158449889,282662,650066489,81654,SF,15세이상관람가,일반영화,5.00,"쉐일린 우들리(트리스), 테오 제임스(포), 케이트 윈슬렛(제닌)",119분,7.433962264150943,159,2015
49,49,소수의견,김성제,(주)하리마오픽쳐스,,(주)시네마서비스,2015-06-24,개봉영화,장편,한국,398,2015282936,268255,692212236,90111,드라마,15세이상관람가,일반영화,7.18,"윤계상(진원), 유해진(대석), 김옥빈(수경)",126분,9.085,200,2015
50,50,백 투 더 비기닝,딘 이스라엘리트,,롯데쇼핑㈜롯데엔터테인먼트,롯데쇼핑㈜롯데엔터테인먼트,2015-02-26,개봉영화,장편,미국,423,2016298400,266389,586021800,74127,SF,15세이상관람가,일반영화,4.00,"조니 웨스턴(데이비드), 소피아 블랙 디엘리아(제시), 샘 러너(퀸 골드버그)",106분,7.689075630252101,119,2015
51,51,투모로우랜드,브래드 버드,월트 디즈니 픽쳐스,월트디즈니컴퍼니코리아(주),월트디즈니컴퍼니코리아(주),2015-05-27,개봉영화,장편,미국,435,2082869000,265744,682335600,83016,액션,12세이상관람가,일반영화,5.50,"조지 클루니(프랭크 워커), 휴 로리(데이비드 닉스), 브릿 로버트슨(케이시 뉴튼)",129분,7.915384615384616,130,2015
52,52,개를 훔치는 완벽한 방법,김성호,(주)삼거리픽쳐스,,"(주)리틀빅픽쳐스,(주)대명문화공장",2014-12-31,개봉영화,장편,한국,205,2018597565,262943,667976565,84221,드라마,전체관람가,독립/예술영화,7.04,"이레(지소), 이지원(채랑), 홍은택(지석)",109분,8.664556962025317,158,2014
53,53,명탐정 코난 : 코난 실종사건 - 사상 최악의 이틀,야마모토 야스이치로,,씨제이이앤엠(주),씨제이이앤엠(주),2015-02-12,개봉영화,장편,일본,187,1885543600,257381,356320500,48679,애니메이션,12세이상관람가,일반영화,5.00,"김선혜(코난), 강수진(남도일), 이현진(유미란)",92분,8.571428571428571,7,2015
54,54,언브로큰,안젤리나 졸리,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2015-01-07,개봉영화,장편,미국,401,1997947292,256475,605776392,75489,액션,15세이상관람가,일반영화,5.33,"잭 오코넬(루이 잠페리니), 도널 글리슨(필), 가렛 헤드룬드(존 피츠제럴드)",137분,8.067164179104477,134,2015
55,55,소셜포비아,홍석재,한국영화아카데미,,CGV아트하우스,2015-03-12,개봉영화,장편,한국,368,1950635763,248215,551485163,67072,스릴러,15세이상관람가,독립/예술영화,7.18,"변요한(지웅), 이주승(용민), 류준열(양게)",102분,7.655555555555556,90,2015
56,56,극장판 포켓몬스터 XY : 파괴의 포켓몬과 디안시,유야마 쿠니히코,,(주)포켓몬코리아,롯데쇼핑㈜롯데엔터테인먼트,2015-01-14,개봉영화,장편,일본,360,1653084000,233347,385135900,52427,애니메이션,전체관람가,일반영화,6.00,"조현정(디안시 목소리), 이선호(지우 목소리), 마츠모토 리카",98분,8.552301255230125,239,2015
57,57,언프렌디드: 친구삭제,레오 가브리아제,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2015-05-07,개봉영화,장편,미국,386,1643911941,219678,347479141,45233,공포(호러),15세이상관람가,일반영화,6.00,"헤더 소서맨(로라 반스), 쉘리 헨닝(블래어 릴리), 모세 제이콥 스톰(미치 러셀)",83분,5.173333333333333,75,2015
58,58,노아의 방주: 남겨진 녀석들,토비 젠켈,,(주)스마일이엔티,씨네그루(주)다우기술,2015-04-30,개봉영화,장편,독일,436,1586417300,219621,362928700,48437,애니메이션,전체관람가,일반영화,6.16,"김하영(피니), 배진홍(리아), 윤세웅(데이브)",85분,8.408866995073891,203,2015
59,59,연애의 맛,김아론,(주)청우필름,,"(주)와우픽쳐스,(주)쇼박스",2015-05-07,개봉영화,장편,한국,398,1706805153,212154,382376253,45698,멜로/로맨스,청소년관람불가,일반영화,5.00,"오지호(왕성기), 강예원(길신설)",101분,8.149532710280374,107,2015
60,60,버드맨,알레한드로 곤잘레스 이냐리투,,이십세기폭스코리아(주),이십세기폭스코리아(주),2015-03-05,개봉영화,장편,미국,380,1653103800,204742,855370200,103328,코미디,청소년관람불가,일반영화,8.10,"마이클 키튼(리건), 에드워드 노튼(마이크), 엠마 스톤(샘)",119분,8.532051282051283,156,2015
61,61,기생수 파트1,야마자키 타카시,,판씨네마(주),판씨네마(주),2015-02-26,개봉영화,장편,일본,247,1534923185,186184,438111585,51401,스릴러,청소년관람불가,일반영화,5.50,"소메타니 쇼타(이즈미 신이치), 아베 사다오(오른쪽이), 후카츠 에리(타미야 료코)",110분,8.26206896551724,145,2015
62,62,인터스텔라,크리스토퍼 놀란,,워너브러더스 코리아(주),워너브러더스 코리아(주),2014-11-06,개봉영화,장편,미국,1342,1619640900,170235,884774800,92474,SF,12세이상관람가,일반영화,7.90,"매튜 맥커너히(쿠퍼), 앤 해서웨이(브랜드), 마이클 케인(브랜드 교수)",169분,9.280903328050712,2524,2014
63,63,최강전사 미니특공대 : 새로운 악당의 습격,이영준,(주)삼지애니메이션,,에이원엔터테인먼트,2015-02-05,개봉영화,장편,한국,318,1163431200,154342,220766300,27906,애니메이션,전체관람가,일반영화,-,"엄상현, 전태열, 신용우",60분,7.558252427184466,206,2015
64,64,아메리칸 셰프,존 파브로,,(주)누리픽쳐스,(주)영화사 진진,2015-01-07,개봉영화,장편,미국,111,1240660929,151833,787266129,95079,코미디,15세이상관람가,독립/예술영화,6.25,"존 파브로, 엠제이 안소니, 소피아 베르가라",114분,8.851063829787234,94,2015
65,65,짱구는 못말려 극장판 : 정면승부! 로봇아빠의 역습,타카하시 와타루,,대원미디어(주),(주)이수C&E,2015-04-23,개봉영화,장편,일본,372,1085388600,150226,171433200,22562,애니메이션,전체관람가,일반영화,7.00,"야지마 아키코(노하라 신노스케), 나라하시 미키(노하라 미사에), 후지와라 케이지(노하라 히로시)",97분,8.573333333333334,75,2015
66,66,워킹걸,정범식,"(주)홍필름,(주)수필름",,메가박스중앙(주)플러스엠,2015-01-07,개봉영화,장편,한국,308,1183887479,149181,389163479,49874,코미디,청소년관람불가,일반영화,3.75,"조여정(백보희), 클라라(오난희), 김태우(구강성)",112분,7.203703703703703,108,2015
67,67,은밀한 유혹,윤재구,"(주)영화사비단길,(주)수필름",,씨제이이앤엠(주),2015-06-04,개봉영화,장편,한국,394,1112273247,142375,353352647,43475,멜로/로맨스,15세이상관람가,일반영화,3.71,"임수정(지연), 유연석(성열)",110분,7.275,80,2015
68,68,화장,임권택,(주)명필름,,(주)리틀빅픽쳐스,2015-04-09,개봉영화,장편,한국,327,1059405100,140616,338077900,43757,드라마,청소년관람불가,독립/예술영화,6.78,"안성기, 김규리, 김호정",94분,7.636363636363637,44,2015
69,69,워터 디바이너,러셀 크로우,,(주)더블앤조이픽쳐스,롯데쇼핑㈜롯데엔터테인먼트,2015-01-28,개봉영화,장편,미국,326,1008818235,136134,315480635,42375,드라마,15세이상관람가,일반영화,5.90,"러셀 크로우(조슈아 코너), 올가 쿠릴렌코(아이셰), 제이 코트니(시릴 휴즈)",111분,8.166666666666666,42,2015
70,70,눈의 여왕 2: 트롤의 마법거울,알렉세이 트시칠린,,(주)시네마리퍼블릭,씨네그루(주)다우기술,2014-12-24,개봉영화,장편,러시아,479,859030900,120278,171264600,22406,애니메이션,전체관람가,독립/예술영화,-,"벨라 손(겔다 목소리), 샬토 코플리(올름 목소리)",78분,7.260797342192691,602,2014
71,71,19곰 테드 2,세스 맥팔레인,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2015-06-25,개봉영화,장편,미국,297,961888700,119518,378111600,45161,코미디,청소년관람불가,일반영화,5.00,"마크 월버그(존 베넷), 아만다 사이프리드(사만다 잭슨), 세스 맥팔레인(테드 목소리)",115분,8.293233082706767,133,2015
72,72,나의 절친 악당들,임상수,"휠므빠말주식회사,이십세기폭스 인터내셔널 프로덕션",,이십세기폭스코리아(주),2015-06-25,개봉영화,장편,한국,384,921337864,116444,298390064,35949,범죄,청소년관람불가,일반영화,5.50,"류승범(지누), 고준희(나미), 류현경(정숙)",110분,5.9,80,2015
