,영화명,개봉일,매출액,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,대표국적,국적,제작사,배급사,등급,장르,감독,배우
215,박서방,1960-10-05,"294,000",0.0%,"13,445,000",147,"6,562",1,11,한국,한국,,,12세이상관람가,"가족,드라마",강대진,"김진규,김혜정,황정순,엄앵란,윤정란"
216,나의 특별한 형제,2019-05-01,"1,008,000",0.0%,"12,082,626,074",144,"1,478,300",1,1,한국,한국,"(주)명필름,(주)조이래빗",(주)넥스트엔터테인먼트월드(NEW),12세이상관람가,"드라마,코미디",육상효,"신하균,이광수,이솜,박철민,권해효,길해연,양소민,배명진,김자영,김한나,양조아,김기천,고봉구,김경남,송철호,박정훈,서지원,김동훈,신안진,신안진,김민석,안지호,우지현,우지현,오세은,김서원,김현빈,이선주,김희창,윤정로,김승태,강은아,김중기,고현준,이채은,이호원,목규리,김태완,정유민,최광일,이도엽,김윤호,연승빈,전채원,서희,선종남,한경원,한별"
217,이타미 준의 바다,2019-08-15,"865,000",0.0%,"190,028,160",144,"23,446",1,1,한국,한국,기린그림,(주)영화사 진진,전체관람가,다큐멘터리,정다운,"쿠마 켄고,반 시게루,유이화,양방언,유지태,김석윤,고토 사라,조순란,최윤호,유홍재,정다영,김홍주,김두율,김용관,정지우,조문현,우경국,유순자,정영선,최문규,박제봉,전봉희,손영도,신탁근,손경호,박길룡,이성주"
218,호흡,2019-12-19,"1,007,000",0.0%,"10,441,160",136,"1,308",6,53,한국,한국,한국영화아카데미,(주)영화사 그램,15세이상관람가,드라마,권만기,"윤지혜,김대건,곽자형,김가영,김수현,이선주,안민영,유정호"
219,예스터데이,2019-09-18,"1,081,000",0.0%,"2,581,294,100",135,"306,467",4,10,미국,"미국,영국",,유니버설픽쳐스인터내셔널 코리아(유),12세이상관람가,드라마,대니 보일,"히메쉬 파텔,릴리 제임스,케이트 맥키넌,에드 시런,제임스 코든,아나 디 아르마스"
220,대결,1971-01-20,"628,000",0.0%,"3,456,000",133,606,1,4,프랑스,"프랑스,이탈리아",,,,드라마,장 피에르 멜빌,"알랑 드롱,부르빌,지안 마리아 볼론테"
221,폼페이 최후의 날,1976-01-31,"266,000",0.0%,"13,155,000",133,"6,532",1,7,이탈리아,"이탈리아,스페인,서독",,,,드라마,마리오 보나드,"크리스틴 카우프먼,스티브 리브스"
222,나바론 요새,1974-07-20,"264,000",0.0%,"22,574,104",132,"11,590",1,10,미국,"미국,영국",콜럼비아 픽쳐스 코포레이션,,12세이상관람가,"드라마,액션,어드벤처,전쟁",J. 리 톰슨,"그레고리 펙,안소니 퀸,데이빗 니븐"
223,거상의 길,,"258,000",0.0%,"9,334,000",129,"4,371",1,7,미국,미국,,,미정,"드라마,어드벤처",윌리엄 디터리,"엘리자베스 테일러,피터 핀치,다나 앤드류스"
224,너는 내 운명,2005-09-23,"1,590,500",0.0%,"17,656,835,000",123,"2,701,974",1,1,한국,한국,(주)영화사봄,씨제이엔터테인먼트,18세관람가,멜로/로맨스,박진표,"전도연,황정민,나문희,서주희,윤제문,김상호,이민아,임종윤,신수현,정광재,박명규,정영헌,김수연,이경아,이규복,한지원,이미소,고수희,박진우,김학선,오정세,김광규,김부선,정유석,유지연,류승수,김정영,손경원"
225,판소리 복서,2019-10-09,"739,000",0.0%,"203,067,680",123,"26,881",1,2,한국,한국,(주)바른손,CGV아트하우스,12세이상관람가,"코미디,드라마",정혁기,"엄태구,이혜리,김희원,최준영,이설,최덕문,임한빈,손석배,손영순,임성미,이홍내,원근희,신유람"
226,무영탑,,"210,000",0.0%,"2,974,000",122,"1,504",1,3,한국,한국,,,,드라마,김수용,"신영균,김지미,윤연경"
227,국제시장,2014-12-17,"606,000",0.0%,"110,943,057,730",121,"14,263,699",1,2,한국,한국,"(주)제이케이필름,씨제이이앤엠(주)",씨제이이앤엠(주),12세이상관람가,드라마,윤제균,"황정민,김윤진,오달수,정진영,장영남,라미란,김슬기,정영기,맹세창,김동원,김현중,김지영,황창기,박재우,박찬희,김예빈,김재철,김하연,김재현,이소영,류경현,황인준,이종석,이진희,전희경,박재언,유재상,김선영,정윤호,박길수,박영수,김근영,허동원,현봉식,강신철,손영순,박혜진,유정호,남진복"
228,세레나데,,"242,000",0.0%,"2,860,000",121,"1,420",1,6,미국,미국,워너 브러더스 픽쳐스,,,드라마,안소니 만,"마리오 란자,사라 몬티엘,조안 폰테인,마리오 란자,Leonora Amar"
229,"집에 돌아오면, 언제나 아내가 죽은 척을 하고있다",2020-02-20,"605,000",0.0%,"1,354,000",121,228,3,3,일본,일본,,(주)영화사 그램,12세이상관람가,"멜로/로맨스,코미디,드라마",리 토시오,"에이쿠라 나나,야스다 켄,오타니 료헤이"
230,걸즈 앤 판처 극장판,2016-08-25,"1,320,000",0.0%,"303,454,100",120,"33,468",1,1,일본,일본,,"(주)머스트씨무비릴리징컴퍼니,주식회사 온 피크",12세이상관람가,애니메이션,미즈시마 츠토무,세토 아사미
231,인 더 하우스,2013-07-04,"917,000",0.0%,"131,192,700",117,"18,001",1,3,프랑스,프랑스,,찬란,15세이상관람가,"스릴러,드라마",프랑수아 오종,"파브리스 루치니,크리스틴 스콧 토마스,에른스트 움하우어,엠마누엘 자이그너"
232,하녀,1960-11-03,"234,000",0.0%,"39,055,500",117,"8,826",1,15,한국,한국,김기영프로덕션,,"청소년관람불가,15세이상관람가","멜로/로맨스,스릴러",김기영,"김진규,이은심,주증녀,엄앵란,안성기"
233,욕망,,"232,000",0.0%,"1,337,000",116,620,1,6,미국,미국,,,,"코미디,멜로/로맨스,범죄",프랭크 보제이즈,"마를렌 디트리히,게리 쿠퍼"
234,위대한 카루소,,"230,000",0.0%,"5,314,000",115,"2,622",1,7,미국,미국,,,,드라마,리처드 소프,"마리오 란자,앤 블리스"
235,뷰티풀 보이,2019-09-19,"685,000",0.0%,"113,673,198",114,"14,546",1,1,미국,미국,,(주)이수C&E,15세이상관람가,드라마,펠릭스 반 그뢰닝엔,"스티브 카렐,티모시 샬라메"
236,추억,,"228,000",0.0%,"1,962,000",114,981,1,8,미국,미국,워너 브러더스 픽쳐스,,15세이상관람가,드라마,마이클 커티즈,"앤 블리스,폴 뉴먼,리차드 칼슨"
237,문신을 한 신부님,2020-02-13,"904,000",0.0%,"904,000",112,112,1,1,폴란드,"폴란드,프랑스",,알토미디어(주),15세이상관람가,드라마,얀 코마사,바르토스 비엘레니아
238,셰인,,"224,000",0.0%,"26,954,000",112,"12,766",1,8,미국,미국,파라마운트 픽쳐스,,,"드라마,서부극(웨스턴)",조지 스티븐스,
239,김복동,2019-08-08,"770,000",0.0%,"712,717,060",110,"89,121",1,1,한국,한국,한국탐사저널리즘센터,(주)엣나인필름,12세이상관람가,다큐멘터리,송원근,한지민
240,수상한동거,2020-01-09,"639,000",0.0%,"639,000",110,110,20,20,한국,한국,스마일컨텐츠,스마일컨텐츠,청소년관람불가,멜로/로맨스,원명준,
241,나무없는 산,2009-08-27,"327,000",0.0%,"58,353,500",109,"9,024",1,1,한국,한국,위드시네마,씨제이엔터테인먼트,전체관람가,드라마,김소영,"이수아,김희연,채길병,최도균,최도균,김성국,김성희,이강민,김종욱,이혁,이정재"
242,동년왕사,,"530,000",0.0%,"3,307,500",109,564,1,4,대만,대만,,,,드라마,허우 샤오시엔,티엔 펭
243,산상수훈,2017-12-07,"1,130,000",0.0%,"413,958,790",109,"54,858",1,4,한국,한국,(주)그란,"이언픽쳐스,(주)그란",전체관람가,드라마,유영의,"백서빈,최이선,정준영,오경원,탁우석,박창준,최현우,설준수,안순동"
244,연애센터,,"218,000",0.0%,"4,492,000",109,"2,231",1,8,미국,미국,,,,"드라마,멜로/로맨스",델머 데이브스,"트로이 도나휴,수잔 플레쉐트,로사노 브랏지"
245,대폭군,,"216,000",0.0%,"1,434,000",108,717,1,8,한국,한국,신필름,,,"전쟁,드라마",임원식,"최은희,김승호,남궁원"
246,더 킹: 헨리 5세,2019-10-23,"650,000",0.0%,"150,538,820",107,"19,610",1,3,네덜란드,네덜란드,,판씨네마(주),청소년관람불가,드라마,데이비드 미쇼,"티모시 샬라메,조엘 에저튼,숀 해리스"
247,카운트다운,2019-12-12,"512,000",0.0%,"611,133,000",107,"73,412",11,65,미국,미국,,"(주)제이앤씨미디어그룹,TCO(주)더콘텐츠온",15세이상관람가,"공포(호러),스릴러",,
248,바람과 함께 사라지다,1972-12-23,"212,000",0.0%,"62,187,000",106,"23,766",1,2,미국,미국,메트로-골드윈-마이어,(주)피터팬픽쳐스,"12세이상관람가,국민학생관람불가","드라마,사극,전쟁",빅터 플레밍,"클라크 게이블,비비안 리,레슬리 하워드"
249,쿠엔틴 타란티노 8,2019-10-30,"618,000",0.0%,"23,380,500",103,"3,196",1,1,미국,미국,,(주)누리픽쳐스,청소년관람불가,다큐멘터리,타라 우드,"사무엘 L. 잭슨,크리스토프 왈츠,제이미 폭스,다이앤 크루거,팀 로스,조 벨,커트 러셀,제니퍼 제이슨 리,일라이 로스"
250,백두 번째 구름,,"857,000",0.0%,"1,321,500",102,172,2,32,한국,한국,,,,다큐멘터리,정성일,임권택
251,어메이징 그레이스,2019-11-28,"811,000",0.0%,"42,447,700",101,"5,463",2,8,미국,미국,,(주)영화사 진진,전체관람가,다큐멘터리,시드니 폴락,
252,오두막,2017-04-20,"500,000",0.0%,"595,165,000",100,"77,549",1,1,미국,미국,,판씨네마(주),12세이상관람가,드라마,스튜어트 하젤딘,"샘 워싱턴,옥타비아 스펜서,라다 미첼,라이언 로빈스,그레이엄 그린,데릭 해밀턴,에밀리 홈즈"
253,나의 사적인 여자친구,2015-01-08,"788,000",0.0%,"78,911,355",99,"9,959",1,3,프랑스,프랑스,,찬란,청소년관람불가,"코미디,드라마",프랑수아 오종,"로맹 뒤리스,아나이스 드무스티에,라파엘 페르소나즈"
254,애심,1973-03-10,"198,000",0.0%,"20,428,000",99,"10,035",1,5,미국,미국,콜럼비아 픽쳐스 코포레이션,,12세이상관람가,"드라마,뮤지컬",조지 시드니,"타이론 파워,킴 노박"
255,극장판 타오르지마 버스터-블랙어썰트의 귀환,2019-12-05,"588,000",0.0%,"107,867,920",98,"15,220",1,1,한국,한국,(주)시너지미디어,(주)이수C&E,전체관람가,"코미디,애니메이션,액션,어드벤처",조영광,"홍범기,안영미,안효민,최낙윤"
256,동경의 황혼,,"681,000",0.0%,"4,845,000",97,801,1,1,일본,일본,,,15세이상관람가,,오즈 야스지로,"후지와라 카마타리,아리마 이네코"
257,케스,,"474,000",0.0%,"1,421,000",97,239,1,3,영국,영국,,,,드라마,켄 로치,"데이비드 브래들리,프레디 프레처"
258,순간에서 영원으로,,"192,000",0.0%,"3,660,000",96,"1,830",1,7,영국,영국,,,,전쟁,,
259,지하실의 멜로디,2008-07-01,"448,000",0.0%,"1,085,000",95,216,1,3,프랑스,프랑스,,,,드라마,,
260,로마여 안녕,,"188,000",0.0%,"188,000",94,94,1,6,미국,"미국,이탈리아",,,,"드라마,멜로/로맨스,뮤지컬",로이 롤랜드,"마리오 란자,페기 캐슬"
261,시실리안,,"450,000",0.0%,"1,058,000",93,216,1,3,프랑스,"프랑스,미국",,,,"드라마,범죄",앙리 베르누이,"장 가뱅,알랑 드롱"
262,만춘,,"667,000",0.0%,"4,313,000",92,704,1,2,일본,일본,,,15세이상관람가,,오즈 야스지로,"미시마 마사오,하라 세츠코,아오키 호히"
263,동경의 여인,,"628,000",0.0%,"628,000",90,90,1,2,일본,일본,,,,드라마,오즈 야스지로,
264,와일드 인 더 컨츄리,,"180,000",0.0%,"2,703,000",90,"1,349",1,9,,,,,,,,
265,러브 액츄얼리,2003-12-05,"480,500",0.0%,"2,200,121,688",89,"313,486",2,12,미국,"미국,영국",,"와이드 릴리즈(주),(주)제이앤씨미디어그룹,UIP코리아,(유)조이앤시네마","15세관람가,15세이상관람가","멜로/로맨스,드라마,코미디",리차드 커티스,"휴 그랜트,콜린 퍼스,알란 릭맨,엠마 톰슨,리암 니슨,로라 린니,키이라 나이틀리,마틴 맥커천,빌 나이히"
266,여섯번째의 행복,,"178,000",0.0%,"6,397,000",89,"3,186",1,6,미국,미국,,,,"드라마,전쟁",마크 로브슨,"잉그리드 버그만,커드 저진스"
267,거미의 계략,1996-03-30,"577,000",0.0%,"2,168,000",87,287,1,2,이탈리아,이탈리아,,,연소자관람불가,"드라마,미스터리",베르나르도 베르톨루치,지울리오 브로지
268,남쪽,,"402,000",0.0%,"402,000",86,86,1,4,스페인,"스페인,프랑스",,,,"드라마,멜로/로맨스",빅토르 에리세,
269,사랑을 합시다,,"172,000",0.0%,"11,454,000",86,"5,327",1,9,미국,미국,,,,"코미디,뮤지컬,멜로/로맨스",조지 쿠커,"마릴린 몬로,이브 몽땅,토니 랜달,윌프리드 하이드 화이트"
270,타이탄,2010-04-01,"172,000",0.0%,"21,799,968,500",86,"2,643,969",1,6,미국,미국,워너 브러더스 픽쳐스,워너브러더스 코리아(주),12세이상관람가,"액션,어드벤처,판타지",루이스 리테리어,"랄프 파인즈,샘 워싱턴,리암 니슨,알렉사 다바로스,젬마 아터튼"
271,바람의 언덕,,"615,000",0.0%,"3,908,500",83,523,1,3,한국,한국,,,전체관람가,드라마,박석영,"정은경,장선,김태희,김준배,장해금,박소이"
272,애수의 이별,,"162,000",0.0%,"4,232,000",81,"2,111",1,9,미국,미국,유니버셜 픽쳐스,,,"드라마,전쟁",,
273,더 컨덕터,2019-11-14,"400,000",0.0%,"92,551,420",80,"11,057",1,1,네덜란드,네덜란드,,(주)라이크 콘텐츠,12세이상관람가,드라마,마리아 피터즈,"크리스탄 드 브루인,벤자민 웨인라이트,스캇 터너 스코필드"
274,엄마 바람피게하기,2020-01-16,"211,000",0.0%,"211,000",79,79,5,63,한국,한국,주식회사 마운틴픽쳐스,주식회사 마운틴픽쳐스,12세이상관람가,"코미디,드라마",윤원규,
275,스타탄생,,"360,000",0.0%,"986,000",78,391,1,3,미국,미국,,,,"뮤지컬,멜로/로맨스",조지 쿠커,"주디 갈란드,제임스 메이슨,잭 카슨"
276,이별,1973-09-11,"156,000",0.0%,"10,146,000",78,"5,050",1,6,한국,한국,안양영화,,청소년관람불가,멜로/로맨스,신상옥,"신성일,김지미,오수미"
277,캉캉,,"171,000",0.0%,"3,127,000",78,"1,551",1,9,미국,미국,,,,"코미디,뮤지컬",월터 랭,"프랭크 시내트라,셜리 맥클레인"
278,이브의 모든 것,,"366,000",0.0%,"8,500,000",77,"3,822",1,3,미국,미국,,,,드라마,,
279,백인 추장,,"510,000",0.0%,"510,000",76,76,1,2,이탈리아,이탈리아,,,,기타,페데리코 펠리니,
280,영광의 탈출,,"152,000",0.0%,"13,056,016",76,"8,557",1,2,미국,미국,,,,"드라마,전쟁",오토 프레밍거,"폴 뉴먼,에바 마리 세인트"
281,태어나기는 했지만,,"549,000",0.0%,"1,292,000",76,184,1,2,일본,일본,,,15세이상관람가,,오즈 야스지로,"요시카와 미츠코,아오키 토미오"
282,잊지 않았어요,2020-01-01,"260,000",0.0%,"260,000",75,75,1,55,한국,한국,청개구리필름,주식회사 씨엠닉스,15세이상관람가,기타,박용철,"박용철,노율,백지훈,송지운"
283,자매의 화원,,"148,000",0.0%,"4,656,000",74,"2,328",1,6,한국,한국,,,,"드라마,멜로/로맨스",신상옥,
284,교회오빠,2019-05-16,"708,000",0.0%,"897,255,710",71,"112,783",1,15,한국,한국,"KBS,커넥트픽쳐스(주)",커넥트픽쳐스(주),전체관람가,다큐멘터리,이호경,"이관희,오은주,이소연,박준오,안효빈,김석진,김은숙,이소연,김희철,이진희,황인경,권동진,김관옥,김문숙,김삼화,김양재,김양진,김지숙,김창복,이현희,주성길,유정임,정정희,이봉순,이승민,최원준,오은천,최한중,전제충,오명기,백승혁,백용현,석미진,신승윤,황성주,허현숙,이상윤"
285,뽀로로 극장판 보물섬 대모험,2019-04-25,"345,000",0.0%,"5,886,728,900",69,"766,912",1,1,한국,한국,(주)오콘,(주)넥스트엔터테인먼트월드(NEW),전체관람가,"애니메이션,가족","김현호,윤창섭,김현호","이선,이미자,김현지,홍소영,정미숙,김서영,김환진,남도형,정승욱,이장원,황창영,김환진,남도형,황창영"
286,동경의 합창,,"447,000",0.0%,"447,000",68,68,1,2,일본,일본,,,,"코미디,드라마",오즈 야스지로,
287,"센베노,평창",2020-01-01,"261,000",0.0%,"261,000",68,68,1,38,한국,한국,더슛미디어,주식회사 씨엠닉스,12세이상관람가,다큐멘터리,곽동철,바트뭉크 아치바드라흐
288,시벨의 일요일,,"332,000",0.0%,"2,096,000",68,355,1,3,프랑스,프랑스,,,,기타,세르지 부르가뇽,
289,녹차의 중력,2019-11-28,"623,000",0.0%,"2,063,500",67,280,2,15,한국,한국,영화사 키노(주),주식회사 마운틴픽쳐스,전체관람가,다큐멘터리,정성일,임권택
290,동경 여관,,"431,000",0.0%,"431,000",67,67,1,2,일본,일본,,,,드라마,오즈 야스지로,
291,애꾸눈 잭,,"134,000",0.0%,"16,601,000",67,"8,384",1,6,미국,미국,,,,기타,,
292,자유 결혼,1958-10-14,"134,000",0.0%,"6,187,000",67,"2,979",1,5,한국,한국,동아영화사,,12세이상관람가,코미디,이병일,"최은희,이민자"
293,파도,,"134,000",0.0%,"6,772,000",67,"3,316",1,5,미국,미국,,,,멜로/로맨스,빅터 사빌,"라나 터너,반 헤플린"
294,꽁치의 맛,,"486,000",0.0%,"7,819,000",66,"1,204",1,1,일본,일본,,,,드라마,오즈 야스지로,"치슈 류,이와시타 시마"
295,올리버,1971-08-01,"298,000",0.0%,"1,343,000",65,241,1,2,영국,영국,콜럼비아,,12세관람가,"드라마,뮤지컬,가족,범죄",캐럴 리드,"론 무디,올리버 리드,샤니 월리스"
296,인 올드 시카고,,"128,000",0.0%,"5,227,000",64,"2,611",1,6,미국,미국,,,,"뮤지컬,드라마,액션",헨리 킹,"타이론 파워,앨리스 파예"
297,원더,2017-12-27,"486,000",0.0%,"2,025,198,189",63,"265,833",1,6,미국,미국,,CGV아트하우스,전체관람가,드라마,스티븐 크보스키,"줄리아 로버츠,오웬 윌슨,제이콥 트렘블레이"
298,고독한 영혼,,"286,000",0.0%,"2,653,000",62,580,1,2,미국,미국,,,,"드라마,미스터리",니콜라스 레이,"험프리 보가트,글로리아 그래햄"
299,라스트 씬,2019-12-12,"395,000",0.0%,"2,834,000",62,436,4,27,한국,한국,오지필름,(주)시네마달,전체관람가,다큐멘터리,박배일,
300,블랙 스완,2011-02-24,"620,000",0.0%,"12,556,806,160",62,"1,631,574",1,1,미국,미국,,"(주)영화사 그램,이십세기폭스코리아(주)",청소년관람불가,"드라마,스릴러",대런 아로노프스키,"나탈리 포트만,뱅상 카셀,밀라 쿠니스,위노나 라이더,세바스찬 스탠"
301,냉혹한 학살자,,"396,000",0.0%,"396,000",61,61,1,2,이탈리아,이탈리아,,,,"범죄,미스터리",베르나르도 베르톨루치,"프란체스코 뤼우,지안카를로 데 로사"
302,두 개의 사랑,2017-12-28,"518,500",0.0%,"92,221,900",61,"11,684",1,2,프랑스,프랑스,,(주)팝엔터테인먼트,청소년관람불가,스릴러,프랑수아 오종,"마린 백트,제레미 레니에"
303,본 투 드라이브,2019-12-12,"149,000",0.0%,"2,192,000",61,344,1,5,노르웨이,노르웨이,,썬택엔터테인먼트 주식회사,전체관람가,다큐멘터리,다니엘 파레,
304,쥬발,,"122,000",0.0%,"2,061,000",61,"1,062",1,6,미국,미국,,,,서부극(웨스턴),델머 데이비스,"글렌 포드,어네스트 보그나인"
305,딥워터 서바이벌,2020-01-16,"300,000",0.0%,"300,000",60,60,1,1,영국,"영국,미국",,찬란,12세이상관람가,"공포(호러),스릴러",,"요하네스 쿤케,샬롯 솔트"
306,겁탈당한 유부녀,2020-01-13,"300,000",0.0%,"300,000",60,60,1,1,일본,일본,,(주)라온컴퍼니플러스,청소년관람불가,"드라마,멜로/로맨스",,
307,더러운 아내,2020-01-17,"300,000",0.0%,"300,000",60,60,1,1,한국,한국,(주)가온콘텐츠,(주)가온콘텐츠,청소년관람불가,"드라마,멜로/로맨스",최정자,
308,사촌동생들,2020-01-29,"300,000",0.0%,"300,000",60,60,1,1,한국,한국,(주)가온콘텐츠,(주)가온콘텐츠,청소년관람불가,"드라마,멜로/로맨스",한동연,
309,위로해준 시동생,2020-01-22,"300,000",0.0%,"300,000",60,60,1,1,일본,일본,,(주)라온컴퍼니플러스,청소년관람불가,"드라마,멜로/로맨스",나기라 겐조,
310,자매의 정사,2020-01-29,"300,000",0.0%,"300,000",60,60,1,1,한국,한국,그리드 필름,(주)나우콘텐츠,청소년관람불가,"멜로/로맨스,드라마",김진호,이은미
311,택배기사의 참교육,2020-01-29,"300,000",0.0%,"300,000",60,60,1,1,일본,일본,,(주)라온컴퍼니플러스,청소년관람불가,"드라마,멜로/로맨스",,
312,팔려버린 아내,2020-01-13,"300,000",0.0%,"300,000",60,60,1,1,일본,일본,,(주)라온컴퍼니플러스,청소년관람불가,"드라마,멜로/로맨스",사다오카 사다오,
313,네버엔딩 펠리니,,"416,000",0.0%,"416,000",58,58,1,2,이탈리아,이탈리아,,,,다큐멘터리,,
314,반고호,1992-10-03,"292,000",0.0%,"4,532,000",58,785,1,2,프랑스,프랑스,고몽,,고등학생이상관람가,드라마,모리스 피알라,"알렉산드라 런던,자크 뒤트롱"
315,라라미에서 온 사나이,,"114,000",0.0%,"5,716,000",57,"3,003",1,6,미국,미국,콜럼비아 픽쳐스 코포레이션,,,"액션,서부극(웨스턴),미스터리",안소니 만,"제임스 스튜어트,아서 케네디,도날드 크리스프,캐시 오도넬,알렉스 니콜,알린 맥마흔,월러스 포드,잭 엘램"
316,맥추,,"403,000",0.0%,"4,948,000",57,803,1,2,일본,일본,,,15세이상관람가,,오즈 야스지로,하라 세츠코
317,코끼리는 그곳에 있어,2019-11-21,"475,000",0.0%,"20,636,400",57,"1,618",2,6,중국,중국,,아이 엠,12세이상관람가,드라마,후 보,"펑유창,왕위원,장위,리총시"
318,오렌지필름 기획전 - 미움(ㅁ)을 굴려보았더니,,"476,000",0.0%,"476,000",55,55,2,5,한국,한국,,,,드라마,,
319,플레이어,1993-02-06,"250,000",0.0%,"1,184,000",55,223,1,3,미국,미국,"에비뉴 픽처 프로덕션,아디스-웨체슬러 프로덕션",,고등학생이상관람가,스릴러,로버트 알트만,팀 로빈스
320,비브르 사 비,1997-05-03,"536,000",0.0%,"24,116,000",54,"3,164",1,1,프랑스,프랑스,,"알토미디어(주),㈜영화사 백두대간","연소자관람불가,15세이상관람가",드라마,장 뤽 고다르,"안나 카리나,사디 레보트,안드레 S. 라바르트,폴 파벨"
321,여사장,,"108,000",0.0%,"4,513,000",54,"2,264",1,2,한국,한국,,,,"코미디,멜로/로맨스",한형모,"조미령,이수련"
322,감쪽같은 그녀,2019-12-04,"384,000",0.0%,"3,595,246,790",52,"469,348",1,3,한국,한국,(주)지오필름,메가박스중앙(주)플러스엠,전체관람가,드라마,허인무,"나문희,김수안,천우희,정유진,최수영"
323,북간도의 십자가,2019-10-17,"385,000",0.0%,"72,963,160",52,"9,911",1,4,한국,한국,(재)CBS,"(재)CBS,주식회사 마운틴픽쳐스",전체관람가,다큐멘터리,반태경,"문동환,심용환,문성근"
324,선셋 대로,,"240,000",0.0%,"7,281,000",52,"2,925",1,2,미국,미국,파라마운트 픽쳐스,,,드라마,빌리 와일더,
325,에드 우드,,"260,000",0.0%,"598,000",52,120,1,2,,,,,,,,
326,사이더 하우스,2000-06-03,"234,000",0.0%,"234,000",51,51,1,3,미국,미국,미라맥스 필름즈,,15세관람가,드라마,라세 할스트롬,"토비 맥과이어,샤를리즈 테론"
327,굿바이 마이 라이프,,"240,000",0.0%,"2,416,000",50,"1,134",1,2,미국,미국,,,,드라마,빅터 플레밍,"스펜서 트레이시,라이오넬 배리모어"
328,북을 울려라,,"100,000",0.0%,"3,803,000",50,"1,900",1,5,미국,미국,,,12세관람가,"액션,서부극(웨스턴)",라울 월쉬,"게리 쿠퍼,마리 앨든"
329,일 포스티노,1996-03-09,"500,000",0.0%,"112,646,100",50,"14,984",1,1,이탈리아,"이탈리아,프랑스",체키고리그룹 타이거키네마토그라피카,(주)영화사 진진,"고등학생이상관람가,15세이상관람가","드라마,코미디,멜로/로맨스",마이클 래드포드,"필립 느와레,마시모 트로이시"
330,오케스트라의 소녀,,"98,000",0.0%,"8,883,000",49,"4,424",1,4,미국,미국,,,,코미디,헨리 코스터,"디나 더빈,아돌프 멘주"
331,더 킹,2017-01-18,"480,000",0.0%,"43,492,782,535",48,"5,318,007",1,1,한국,한국,(주)우주필름,(주)넥스트엔터테인먼트월드(NEW),15세이상관람가,"범죄,드라마",한재림,"조인성,정우성,배성우,김아중,류준열,김의성,김민재,정성모,정은채,김소진,황승언,이주연,정준용,박시영,임승묵,박정민,박지홍,박진영,장승연,손영진,안용우,유현종,이나경,이석호,한미진,이승민,이윤희,김원진,김규선,남명렬,이가경,차지원,차엽,오대환,이세랑,정원중,곽순우,금새록,김해나,정인기,박성근,윤부진,조대희,임용순,이열음,염석무,박기만"
332,사랑의 슬픔 애수,2000-04-22,"144,000",0.0%,"1,730,000",48,496,1,1,미국,미국,콜럼비아 트라이스타,콜럼비아 트라이스타,18세관람가,"멜로/로맨스,전쟁",닐 조단,"랄프 파인즈,줄리안 무어"
333,영 앤 뷰티풀,2013-12-05,"393,000",0.0%,"50,821,600",48,"6,692",1,2,프랑스,프랑스,,찬란,청소년관람불가,드라마,프랑수아 오종,"마린 백트,제랄딘 페라스,샬롯 램플링"
334,리오 그란데,,"94,000",0.0%,"12,752,000",47,"4,721",1,3,미국,미국,,,15세관람가,"멜로/로맨스,서부극(웨스턴)",존 포드,"존 웨인,모린 오하라"
335,증인,2019-02-13,"360,000",0.0%,"20,483,149,331",45,"2,534,793",5,10,한국,한국,"(주)무비락,(주)도서관옆스튜디오",롯데컬처웍스(주)롯데엔터테인먼트,12세이상관람가,드라마,이한,"정우성,김향기,이규형,염혜란,장영남,정원중,김종수,박근형,송윤아,이준혁,이레,김승욱,오재세,이채은,이서준,이서환,강민지,강지현,박세정,권혁준,김경훈,박재환,박주은,박준호,박찬영,송우용,김미진,안성봉,신치영,신혜정,김범석,오창경,김소연,김수경,이준형,장효석,김정연,김호연,조성재,김홍식,최은영,최종률,이슬이,정도원,정명훈,조한나,이승헌,강은수,고민지,곽나현,권정은,김규인,김난영,표예리,김바비,이동훈,김학선,이영아,김승윤,이민정,조복휘,김인규,김준원,정승욱,도현,김형묵,정영록,남혜진,김태현,정우성,문승배,정경현,이은샘,채치웅,윤정환,박미정,이종익,최문익,심은정,이석환,박윤근,박은우,엄주원,박창화,엄혜란,배내희,손제형,추귀정,염지영,장부익,장선아,서광재,한윤지,한재경"
336,집 이야기,2019-11-28,"304,500",0.0%,"67,454,580",45,"9,946",2,13,한국,한국,(주)영화사지음,CGV아트하우스,12세이상관람가,드라마,박제범,"이유영,강신일,조현식"
337,예전의 마피아가 아니다,,"306,000",0.0%,"306,000",44,44,1,2,이탈리아,이탈리아,,,,기타,프랑코 마레스코,
338,순정,2016-02-24,"430,000",0.0%,"1,739,966,633",43,"240,704",1,1,한국,한국,(주)주피터필름,(주)리틀빅픽쳐스,12세이상관람가,드라마,이은희,"도경수,김소현,연준석,이다윗,주다영,박용우,박해준,김지호,이범수,이대연,황석정,박정민,김권,오유진,박충선,조우람,최민석,임철수,황영희,임성재,김현"
339,주전장,2019-07-25,"252,000",0.0%,"309,752,090",42,"40,022",1,4,미국,미국,,(주)시네마달,전체관람가,다큐멘터리,미키 데자키,
