,영화명,개봉일,매출액,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,대표국적,국적,배급사
69,밤길,,"3,093,000",0.0%,"3,239,000","1,539","1,598",1,20,미국,미국,
70,컨트롤 그룹,2019-12-09,"2,664,000",0.0%,"2,665,000","1,530","1,531",1,9,미국,미국,(주)영화사 안다미로
71,존과 맥의 요상한 우주여행,2019-12-24,"2,944,000",0.0%,"2,945,000","1,514","1,515",1,11,미국,미국,(주)영화사 안다미로
72,디어스킨,2020-01-01,"13,055,280",0.0%,"14,540,280","1,484","1,673",15,181,프랑스,프랑스,M&M 인터내셔널
73,루프홀,2019-12-16,"2,659,000",0.0%,"2,660,000","1,465","1,466",1,10,미국,미국,(주)영화사 안다미로
74,작은 빛,2020-01-23,"11,907,960",0.0%,"13,554,960","1,454","1,693",21,147,한국,한국,(주)시네마달
75,누구를 위한 반역인가,,"2,916,000",0.0%,"2,916,000","1,453","1,453",1,16,미국,미국,
76,델리리움,2019-12-09,"2,214,000",0.0%,"2,215,000","1,440","1,441",1,9,미국,미국,(주)영화사 안다미로
77,브라 이야기,2020-01-16,"10,724,440",0.0%,"10,724,440","1,343","1,343",12,144,독일,독일,알토미디어(주)
78,두번할까요,2019-10-17,"13,310,000",0.0%,"1,470,966,120","1,331","177,351",5,5,한국,한국,(주)리틀빅픽쳐스
79,바이킹족의 혈투,,"2,664,000",0.0%,"2,664,000","1,327","1,327",1,20,이탈리아,"이탈리아,유고슬라비아",
80,마리오 보타 : 영혼을 위한 건축,2020-01-23,"9,948,880",0.0%,"9,948,880","1,290","1,290",10,78,스위스,스위스,하준사
81,주디,2020-03-25,"10,204,800",0.0%,"10,204,800","1,237","1,237",6,24,영국,영국,TCO(주)더콘텐츠온
82,대함정,,"2,416,000",0.0%,"2,416,000","1,203","1,203",1,20,프랑스,"프랑스,이탈리아",
83,어제 일은 모두 괜찮아,2019-11-21,"4,439,000",0.0%,"134,969,280","1,095","18,851",2,9,한국,한국,(주)삼백상회
84,청춘빌라 살인사건,2020-01-02,"6,714,500",0.0%,"7,332,500","1,068","1,171",6,81,한국,한국,(주)미로스페이스
85,일 트로바토레,2020-01-12,"25,068,000",0.0%,"25,068,000","1,065","1,065",5,33,독일,독일,(주)케빈앤컴퍼니
86,라스트 크리스마스,2019-12-05,"5,695,300",0.0%,"2,064,086,430","1,060","250,383",6,31,미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
87,아담스 패밀리,2019-11-07,"10,480,000",0.0%,"2,647,371,140","1,048","331,003",5,5,미국,"미국,영국,캐나다",유니버설픽쳐스인터내셔널 코리아(유)
88,전장이여 영원히,,"2,088,000",0.0%,"4,010,000","1,044","2,005",1,20,미국,미국,
89,플레이보이,,"2,086,000",0.0%,"2,086,000","1,043","1,043",1,16,미국,미국,
90,트레져 헌터: 비밀의 책,2020-01-14,"4,657,000",0.0%,"4,657,000",990,990,5,31,중국,중국,(주)소나무픽쳐스
91,리틀 큐,2020-01-09,"7,222,460",0.0%,"12,020,460",947,"1,494",37,240,홍콩,홍콩,(주)미로스페이스
92,4인의 무뢰한,1971-05-28,"1,762,000",0.0%,"2,628,000",881,"1,309",1,10,미국,미국,
93,터미네이터: 다크 페이트,2019-10-30,"10,590,000",0.0%,"20,164,485,830",876,"2,409,938",2,6,미국,미국,월트디즈니컴퍼니코리아 유한책임회사
94,디아스포라의 노래 : 아리랑 로드,2019-12-12,"4,325,000",0.0%,"12,674,500",863,"2,250",4,27,한국,한국,(주)드림팩트엔터테인먼트
95,사냥의 시간,,"7,388,000",0.0%,"7,388,000",850,850,2,5,한국,한국,(주)리틀빅픽쳐스
96,극장판 미니특공대: 공룡왕 디노,2020-02-06,"7,587,000",0.0%,"7,587,000",843,843,4,4,한국,한국,(주)리틀빅픽쳐스
97,제미니 맨,2019-10-09,"8,430,000",0.0%,"3,304,399,230",843,"388,185",5,5,미국,미국,롯데컬처웍스(주)롯데엔터테인먼트
98,소림쿵푸: 마지막 대결,2019-12-30,"3,963,000",0.0%,"4,681,000",841,998,2,24,중국,중국,(주)소나무픽쳐스
99,헤로니모,2019-11-21,"5,696,000",0.0%,"117,251,720",840,"15,980",4,35,한국,"한국,미국",커넥트픽쳐스(주)
100,철가면,,"1,662,000",0.0%,"1,662,000",831,831,1,12,프랑스,"프랑스,이탈리아",
