,영화명,개봉일,매출액,매출액점유율,누적매출액,관객수,누적관객수,스크린수,상영횟수,대표국적,국적,제작사,배급사,등급,장르,감독,배우,main_actors,개봉일_int,actor_involved,전국관객수
481,나의 사랑 나의 신부,2014-10-08,16636404305,0.018000000000000002,16636404305,2141155,2141155,629,69681,한국,한국,필름모멘텀,씨네그루(주)다우기술,15세이상관람가,"멜로/로맨스,코미디",임찬상,"조정석,신민아,윤정희,이상희,전예원,조아라,김광수,김보미,김선하,김은비,박주운,신영일,배성우,라미란,윤문식,황정민,서강준,김형욱,김근영,고규필,강신철,박지연,이장유,조현식,손병욱","조정석, 신민아, 윤정희",2014,True,2135614
482,루시,2014-09-03,16468076039,0.018000000000000002,16468076039,1974893,1974893,641,44585,미국,"미국,프랑스",,유니버설픽쳐스인터내셔널 코리아(유),청소년관람불가,액션,뤽 베송,"스칼렛 요한슨,모건 프리먼,최민식,신유람","스칼렛 요한슨, 모건 프리먼, 최민식",2014,True,1971837
483,기술자들,2014-12-24,13652480148,0.015,13652480148,1778083,1778083,641,24416,한국,한국,(주)트리니티엔터테인먼트,롯데쇼핑㈜롯데엔터테인먼트,15세이상관람가,"범죄,액션",김홍선,"김우빈,김영철,고창석,이현우,조윤희,임주환,조달환,권지훈,김원진,노선식,박갑진,유원선,윤대원,윤주환,이상민,이수민,채성원,천준호,최현우,최춘범,한지은,지승현,장지건,허준석,허지원,이장유,김사희,최다니엘,최정현,정성일","김우빈, 김영철, 고창석",2014,True,1778083
484,나를 찾아줘,2014-10-23,14017716731,0.015,14017716731,1764233,1764233,689,50846,미국,미국,,이십세기폭스코리아(주),청소년관람불가,스릴러,데이빗 핀처,"벤 애플렉,로자먼드 파이크,닐 패트릭 해리스,미시 파일","벤 애플렉, 로자먼드 파이크, 닐 패트릭 해리스",2014,True,1764233
485,제보자,2014-10-02,13515762802,0.015,13515762802,1755181,1755181,676,58358,한국,한국,(주)영화사수박,메가박스중앙(주)플러스엠,12세이상관람가,드라마,임순례,"박해일,유연석,이경영,박원상,류현경,송하윤,김강현,김수안,김중기,이봉규,이승준,박세정,서지원,안수정,양대성,정보현,조남호,최성진,황현태,김경란,김도윤,김유민,김지은,유재명,장문규,김새벽,정훈석,최희진,김원해,장광,김영재,황정민,한기중,이미도,최용민,권해효,남명렬,이화룡,박성근,최교식,전수지,오창경,권범택,남진복,김태훈","박해일, 유연석, 이경영",2014,True,1735640
486,엑소더스: 신들과 왕들,2014-12-03,12442681926,0.013,12442681926,1511195,1511195,865,43742,미국,"미국,영국,스페인",,이십세기폭스코리아(주),12세이상관람가,드라마,리들리 스콧,"크리스찬 베일,조엘 에저튼,시고니 위버,벤 킹슬리,아론 폴","크리스찬 베일, 조엘 에저튼, 시고니 위버",2014,True,1510495
487,해무(海霧),2014-08-13,11706782519,0.013,11706782519,1475507,1475507,584,33490,한국,한국,"(주)해무,(주)루이스 픽쳐스",(주)넥스트엔터테인먼트월드(NEW),청소년관람불가,드라마,심성보,"김윤석,박유천,한예리,이희준,문성근,김상호,유승목,이승태,이재성,김기태,김태엽,김태엽,윤제문,조덕제,기주봉,정대용,권병길,예수정,염혜란,허성태,정인기,김영웅,백인권","김윤석, 박유천, 한예리",2014,True,1466830
488,퓨리,2014-11-20,10367640686,0.011,10367640686,1362114,1362114,590,37155,미국,"미국,영국",,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),15세이상관람가,"액션,드라마,전쟁",데이비드 에이어,"브래드 피트,로건 레먼,샤이아 라보프,마이클 페나,존 번탈","브래드 피트, 로건 레먼, 샤이아 라보프",2014,True,1362114
489,가디언즈 오브 갤럭시,2014-07-31,11098239184,0.012,11098239184,1311190,1311190,539,22417,미국,미국,,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),12세이상관람가,"액션,어드벤처,SF",제임스 건,"크리스 프랫,조 샐다나,데이브 바티스타,빈 디젤,브래들리 쿠퍼","크리스 프랫, 조 샐다나, 데이브 바티스타",2014,True,1311190
490,빅매치,2014-11-27,8952096578,0.01,8952096578,1177438,1177438,627,38527,한국,한국,(주)보경사,(주)넥스트엔터테인먼트월드(NEW),15세이상관람가,액션,최호,"이정재,신하균,이성민,보아,김의성,손호준,강정원,김근배,김재철,김종선,남성호,박상현,안병래,이상헌,이재남,이재훈,이종현,이진민,정현진,배성우,맹상훈,최우식,조덕제,김윤성,박지환,박경혜","이정재, 신하균, 이성민",2014,True,1177438
491,슬로우 비디오,2014-10-02,8913092219,0.01,8913092219,1169562,1169562,618,40665,한국,한국,"이십세기폭스 인터내셔널 프로덕션,(주)영화사AK기쁜우리젊은날",이십세기폭스코리아(주),12세이상관람가,"드라마,코미디",김영탁,"차태현,남상미,오달수,고창석,진경,유영,김강현,최성원,이준혁,이용감,이윤수,정다이,정지연,현창조,김상철,김용구,류혜영,조덕제,안길강,장성범,황승언,박명신,이화겸,곽진무,이상이,하성광,김현,한사명,조혜선","차태현, 남상미, 오달수",2014,True,1159787
492,우리는 형제입니다,2014-10-23,7263255399,0.008,7263255399,970373,970373,566,41638,한국,한국,필름있수다,(주)쇼박스,12세이상관람가,"코미디,드라마",장진,"김성균,조진웅,윤진이,김원,김지경,이효제,김병옥,이철민,김원해,이상수,이한위,이해영,배제기,조복래,차은재","김성균, 조진웅, 윤진이",2014,True,970373
