,영화명,개봉일,매출액,매출액점유율,누적매출액,관객수,누적관객수,스크린수,상영횟수,대표국적,국적,제작사,배급사,등급,장르,감독,배우,main_actors,개봉일_int,actor_involved,전국관객수
795,아메리칸 하이스트,2015-07-30,35000,0.0,35000,7,7,1,7,미국,미국,,(주)에이블엔터테인먼트,청소년관람불가,"범죄,액션",사릭 안드레아시안,"애드리언 브로디,헤이든 크리스텐슨,조다나 브루스터","애드리언 브로디, 헤이든 크리스텐슨, 조다나 브루스터",2015,True,7
796,아웃캐스트: 절명도망 무삭제판,2015-07-09,10000,0.0,10000,2,2,1,2,미국,"미국,캐나다,중국",,스크린조이,청소년관람불가,"액션,전쟁,어드벤처",닉 포웰,"니콜라스 케이지,헤이든 크리스텐슨,유역비","니콜라스 케이지, 헤이든 크리스텐슨, 유역비",2015,True,2
797,에코스 오브 워,2015-09-11,14000,0.0,14000,2,2,1,1,미국,미국,,(주)이놀미디어,청소년관람불가,"드라마,스릴러,서부극(웨스턴)",케인 세네스,"제임스 뱃지 데일,에단 엠브리,윌리엄 포사이스","제임스 뱃지 데일, 에단 엠브리, 윌리엄 포사이스",2015,True,2
798,루팡 3세 무삭제판,2015-09-17,4000,0.0,4000,1,1,1,1,일본,일본,,(주)드림팩트엔터테인먼트,15세이상관람가,"액션,범죄,어드벤처",기타무라 류헤이,"오구리 슌,김준,아야노 고,타마야마 테츠지,쿠로키 메이사","오구리 슌, 김준, 아야노 고",2015,True,1
799,짐작보다 따뜻하게,2016-05-19,0,0.0,0,0,0,1,1,한국,한국,아베크엠 엔터테인먼트,(주)맑은시네마,12세이상관람가,드라마,이상민,"이선,임학순,이훈,임오정,임종화,박정희,이인수,전지원,박혜선,백수장,부은주,조상원,엄기성,조유빈,주정애,최용운,이영일,이영일,이용범,이유리,홍영택,김혁래,김혁래,어성욱","이선, 임학순, 이훈",2016,True,904
800,검사외전,2016-02-03,77319445264,0.102,77319445264,9707158,9707158,1812,153520,한국,한국,"(주)영화사 월광,(주)사나이픽처스",(주)쇼박스,15세이상관람가,"범죄,코미디",이일형,"황정민,강동원,이성민,박성웅,김응수,신소율,주진모,김원해,김홍파,김병옥,박종환,전배수,박지환,손종학,신혜선,김시은,김종수,한재영,박지환,박종우,박지홍,송승현,윤석민,이규호,이석준,이선주,이승민,이승우,이승준,이승훈,이승훈,최현준,김영,이정은,장지건,한창현,정기섭,민무제,손성찬,윤경호,최교식,류성현,백익남,백인권,전광진,임용순,박윤호,최정현,남진복,염석무","황정민, 강동원, 이성민",2016,True,9699092
801,캡틴 아메리카: 시빌 워,2016-04-27,72670260827,0.096,72670260827,8677032,8677032,1991,161682,미국,미국,,월트디즈니컴퍼니코리아(주),12세이상관람가,"액션,SF,스릴러","안소니 루소,조 루소","크리스 에반스,로버트 다우니 주니어,스칼렛 요한슨,세바스찬 스탠,안소니 마키,돈 치들,제레미 레너,톰 홀랜드","크리스 에반스, 로버트 다우니 주니어, 스칼렛 요한슨",2016,True,8677032
802,곡성,2016-05-12,55729450782,0.07400000000000001,55729450782,6864082,6864082,1485,129539,한국,"한국,미국","(주)사이드미러,이십세기폭스 인터내셔널 프로덕션",이십세기폭스코리아(주),15세이상관람가,"미스터리,스릴러,드라마",나홍진,"곽도원,황정민,쿠니무라 준,천우희,김환희,허진,장소연,김도윤,손강국,전배수,황석정,배용근,배용근,이인철,이용녀,선호삼,송민석,신재현,안수연,이선희,이수빈,이수진,권귀덕,이연,이연경,이연경,백승철,이정은,박성연,최교식,김기천,송훈","곽도원, 황정민, 쿠니무라 준",2016,True,6862438
803,주토피아,2016-02-17,37077444042,0.049,37077444042,4703245,4703245,735,130916,미국,미국,,월트디즈니컴퍼니코리아(주),전체관람가,"애니메이션,액션,어드벤처","바이론 하워드,리치 무어","지니퍼 굿윈,제이슨 베이트먼,샤키라","지니퍼 굿윈, 제이슨 베이트먼, 샤키라",2016,True,4703245
804,쿵푸팬더3,2016-01-28,31340798156,0.041,31340798156,3984812,3984812,1365,97404,미국,미국,드림웍스 애니메이션,씨제이이앤엠(주),전체관람가,"애니메이션,액션,어드벤처","여인영,알레산드로 칼로니","잭 블랙,안젤리나 졸리,더스틴 호프만,성룡,세스 로건,루시 리우,데이빗 크로스,J.K. 시몬스","잭 블랙, 안젤리나 졸리, 더스틴 호프만",2016,True,3984812
805,귀향,2016-02-24,27247661990,0.036000000000000004,27247661990,3586752,3586752,876,90273,한국,한국,주식회사 제이오엔터테인먼트코리아,(주)와우픽쳐스,15세이상관람가,드라마,조정래,"손숙,강하나,서미지,최리,정인기,오지혜,김시은,이채현,임성철,임혜영,박주현,박지희,박진경,장현익,정광윤,정부경,정승현,안재성,이경훈,이민영,이선희,이수현,이승현,이여원,김완기,김은나,정무성,류신","손숙, 강하나, 서미지",2016,True,3586346
806,데드풀,2016-02-17,27595618651,0.036000000000000004,27595618651,3317196,3317196,1036,82521,미국,미국,,이십세기폭스코리아(주),청소년관람불가,"액션,SF",팀 밀러,"라이언 레이놀즈,모레나 바카린,에드 스크레인,지나 카라노,T.J. 밀러,브리아나 힐데브란드","라이언 레이놀즈, 모레나 바카린, 에드 스크레인",2016,True,3317196
807,엑스맨: 아포칼립스,2016-05-25,24460838450,0.032,24460838450,2937941,2937941,1262,66425,미국,미국,,이십세기폭스코리아(주),12세이상관람가,"액션,어드벤처,판타지,SF",브라이언 싱어,"제임스 맥어보이,마이클 패스벤더,제니퍼 로렌스,오스카 아이삭,니콜라스 홀트,로즈 번,타이 쉐리던,소피 터너,올리비아 문,루카스 틸","제임스 맥어보이, 마이클 패스벤더, 제니퍼 로렌스",2016,True,2937941
808,정글북,2016-06-09,19555861566,0.026,19555861566,2298297,2298297,924,51778,미국,미국,,월트디즈니컴퍼니코리아(주),12세이상관람가,"어드벤처,드라마",존 파브로,"닐 세티,빌 머레이,스칼렛 요한슨,벤 킹슬리,이드리스 엘바,루피타 뇽,크리스토퍼 월켄,지안카를로 에스포지토","닐 세티, 빌 머레이, 스칼렛 요한슨",2016,True,2292929
809,배트맨 대 슈퍼맨: 저스티스의 시작,2016-03-24,18906246428,0.025,18906246428,2256913,2256913,1709,95669,미국,미국,,워너브러더스 코리아(주),12세이상관람가,"액션,어드벤처,판타지",잭 스나이더,"헨리 카빌,벤 애플렉,에이미 아담스,로렌스 피쉬번,제시 아이젠버그,제레미 아이언스,홀리 헌터,갤 가돗","헨리 카빌, 벤 애플렉, 에이미 아담스",2016,True,2256913
810,컨저링 2,2016-06-09,14095548129,0.019,14095548129,1727331,1727331,640,39080,미국,미국,,워너브러더스 코리아(주),15세이상관람가,공포(호러),제임스 완,"베라 파미가,패트릭 윌슨,프란카 포텐테,프란시스 오코너,스털링 제린스","베라 파미가, 패트릭 윌슨, 프란카 포텐테",2016,True,1724927
811,탐정 홍길동: 사라진 마을,2016-05-04,11514389845,0.015,11514389845,1430666,1430666,764,41072,한국,한국,(주)영화사비단길,씨제이이앤엠(주),15세이상관람가,"드라마,액션",조성희,"이제훈,김성균,박근형,정성화,고아라,노정의,김하나,유승목,박정원,박지훈,오현암,유정래,윤상훈,이민아,이민지,이상희,정준용,김하나,고우림,이민웅,김영성,김동휘,강덕중,남정희","이제훈, 김성균, 박근형",2016,True,1426873
812,인디펜던스 데이 : 리써전스,2016-06-22,10254582240,0.014,10254582240,1202842,1202842,926,35617,미국,미국,,이십세기폭스코리아(주),12세이상관람가,"액션,어드벤처,SF",롤랜드 에머리히,"빌 풀만,리암 헴스워스,제프 골드블럼,비비카 A. 폭스,제시 어셔","빌 풀만, 리암 헴스워스, 제프 골드블럼",2016,True,1202842
813,시간이탈자,2016-04-13,9731838195,0.013,9731838195,1202384,1202384,733,55075,한국,한국,"씨제이이앤엠(주),상상필름(주)",씨제이이앤엠(주),15세이상관람가,스릴러,곽재용,"임수정,조정석,이진욱,정진영,이기우,온주완,전신환,이태리,김보라,임예진,정웅인,박준규,남태부,차은재,박지원,박소영,백준혁,조민영,신지수,이동희,이성준,이영민,김수영,이봄,이장유,허정도,임영우","임수정, 조정석, 이진욱",2016,True,1202058
814,동주,2016-02-17,8869184089,0.012,8869184089,1169176,1169176,543,39880,한국,한국,(주) 루스이소니도스,메가박스중앙(주)플러스엠,12세이상관람가,드라마,이준익,"강하늘,박정민,김인우,최홍일,김정팔,최희서,신윤주,문성근,최종률,전재형,정운봉,이선주,허욱진,최정헌,윤정일,박명신,한창현,민진웅,정준원,이빛나,박태산","강하늘, 박정민, 김인우",2016,True,1168268
815,워크래프트: 전쟁의 서막,2016-06-09,10089720005,0.013,10089720005,1156881,1156881,736,33814,미국,미국,,유니버설픽쳐스인터내셔널 코리아(유),12세이상관람가,"액션,어드벤처,판타지",던칸 존스,"트래비스 핌멜,벤 포스터,폴라 패튼,도미닉 쿠퍼,클랜시 브라운,토비 켑벨","트래비스 핌멜, 벤 포스터, 폴라 패튼",2016,True,1156727
816,특별수사: 사형수의 편지,2016-06-16,8912553865,0.012,8912553865,1116877,1116877,691,32774,한국,한국,(주)콘텐츠케이,(주)넥스트엔터테인먼트월드(NEW),15세이상관람가,"범죄,드라마",권종관,"김명민,김상호,성동일,김영애,김향기,김뢰하,박수영,박혁권,최병모,오민석,이지훈,박지환,신구,이한위,이문식,김명국,정택호,차상민,이성욱,이승훈,민진웅,홍기준,곽자형","김명민, 김상호, 성동일",2016,True,1100120
817,"날, 보러와요",2016-04-07,8836039063,0.012,8836039063,1063421,1063421,683,49235,한국,한국,"영화사올(주),(주)발렌타인필름",메가박스중앙(주)플러스엠,청소년관람불가,"미스터리,스릴러",이철하,"강예원,이상윤,최진호,지대한,김종수,이학주,장태성,유건,길해연,조재윤,이형석,박송해,정경일,안용우,안지혜,안지혜,최낙영,이규호,이상백,이승진,김호원,황성준,전광진,김현,임용순","강예원, 이상윤, 최진호",2016,True,1061412
818,갓 오브 이집트,2016-03-03,7621291624,0.01,7621291624,919834,919834,618,35323,미국,미국,,"(주)시네마서비스,(주)나이너스엔터테인먼트",12세이상관람가,"어드벤처,판타지",알렉스 프로야스,"제라드 버틀러,니콜라이 코스터 왈도,코트니 이튼,브렌튼 스웨이츠,애비 리","제라드 버틀러, 니콜라이 코스터 왈도, 코트니 이튼",2016,True,918678
819,좋아해줘,2016-02-17,6572774337,0.009000000000000001,6572774337,848148,848148,637,27125,한국,한국,"리양필름(주),(주)제이케이필름",씨제이이앤엠(주),12세이상관람가,"멜로/로맨스,코미디",박현진,"이미연,최지우,김주혁,유아인,강하늘,이솜,하석진,지윤호,한재영,선주아,이춘우,이한승,이현서,장원진,전호성,송창현,이서연,이성진,이승연,이정은,박명신,이승연,김승훈,박희본,조대희,허정도,정유진,최정현","이미연, 최지우, 김주혁",2016,True,848148
820,미 비포 유,2016-06-01,6683686682,0.009000000000000001,6683686682,826123,826123,481,24268,미국,미국,,워너브러더스 코리아(주),12세이상관람가,"멜로/로맨스,드라마",테아 샤록,"에밀리아 클라크,샘 클라플린,매튜 루이스","에밀리아 클라크, 샘 클라플린, 매튜 루이스",2016,True,820800
821,런던 해즈 폴른,2016-03-10,5908203979,0.008,5908203979,731551,731551,526,37565,미국,"미국,영국",,메가박스중앙(주)플러스엠,15세이상관람가,"액션,범죄,스릴러",바박 나자피,"제라드 버틀러,아론 에크하트,모건 프리먼,안젤라 바셋","제라드 버틀러, 아론 에크하트, 모건 프리먼",2016,True,731551
822,해어화,2016-04-13,3768200759,0.005,3768200759,485695,485695,572,32321,한국,한국,더램프(주),롯데쇼핑㈜롯데엔터테인먼트,15세이상관람가,"사극,드라마",박흥식,"한효주,유연석,천우희,박성웅,장영남,이한위,류혜영,김수안,차지연,장인섭,박찬미,장희선,박효빈,송동규,송승환,양재준,천영암,이규정,이민준,이서연,이성우,이은주,최혁준,오하늬,김고은,금새록,김영민,백현진,이다영,신유람","한효주, 유연석, 천우희",2016,True,485083
823,계춘할망,2016-05-19,3575370348,0.005,3575370348,479120,479120,526,19617,한국,한국,"지오엔터테인먼트,(주)퍼플켓츠필름,(주)빅스토리픽쳐스",(주)콘텐츠 난다긴다,15세이상관람가,"가족,드라마",창,"윤여정,김고은,김희원,신은정,최민호,류준열,양익준,박민지,남태부,강경탁,안소요,이상화,이슬비,이윤혁,신문성,오희준,김영철,주가영","윤여정, 김고은, 김희원",2016,True,477848
824,"로봇, 소리",2016-01-27,3519595560,0.005,3519595560,476665,476665,609,25500,한국,한국,"(주)영화사 좋은날,(주)디씨지플러스",롯데쇼핑㈜롯데엔터테인먼트,12세이상관람가,드라마,이호재,"이성민,이희준,이하늬,김원해,채수빈,심은경,곽시양,이영진,이무생,남연우,전국환,류준열,박영수,이현석,박정민,박지훈,안광복,유민상,이상우,이승준,노소영,차순배","이성민, 이희준, 이하늬",2016,True,476665
825,빅쇼트,2016-01-21,3622652707,0.005,3622652707,446712,446712,489,17316,미국,미국,,롯데쇼핑㈜롯데엔터테인먼트,청소년관람불가,드라마,아담 맥케이,"크리스찬 베일,스티브 카렐,라이언 고슬링,브래드 피트","크리스찬 베일, 스티브 카렐, 라이언 고슬링",2016,True,446664
826,헌츠맨: 윈터스 워,2016-04-13,3544262706,0.005,3544262706,445009,445009,557,25789,미국,미국,,유니버설픽쳐스인터내셔널 코리아(유),12세이상관람가,"액션,어드벤처",세딕 니콜라스 트로얀,"크리스 헴스워스,샤를리즈 테론,에밀리 블런트,제시카 차스테인","크리스 헴스워스, 샤를리즈 테론, 에밀리 블런트",2016,True,445009
827,클로버필드 10번지,2016-04-07,2928428655,0.004,2928428655,357736,357736,575,24679,미국,미국,,롯데쇼핑㈜롯데엔터테인먼트,15세이상관람가,"미스터리,스릴러",댄 트라첸버그,"메리 엘리자베스 윈스티드,존 굿맨,존 갤러거 주니어","메리 엘리자베스 윈스티드, 존 굿맨, 존 갤러거 주니어",2016,True,356976
828,캐롤,2016-02-04,2627559616,0.003,2627559616,317250,317250,288,11019,미국,"미국,영국",,CGV아트하우스,청소년관람불가,드라마,토드 헤인즈,"케이트 블란쳇,루니 마라,카일 챈들러,제이크 레이시,사라 폴슨","케이트 블란쳇, 루니 마라, 카일 챈들러",2016,True,313164
829,위대한 소원,2016-04-21,2440004213,0.003,2440004213,308398,308398,524,22769,한국,한국,주식회사 브레인샤워,(주)넥스트엔터테인먼트월드(NEW),15세이상관람가,"코미디,드라마",남대중,"류덕환,김동영,안재홍,전노민,전미선,장원식,양정인,조우진,우지원,유정래,윤도영,이상민,이소정,이소정,이원희,한기업,한민석,황슬빛나,황용,박정헌,이홍내","류덕환, 김동영, 안재홍",2016,True,308180
830,스포트라이트,2016-02-24,2388867755,0.003,2388867755,297726,297726,320,13433,미국,미국,,(주)팝엔터테인먼트,15세이상관람가,"드라마,스릴러",토마스 맥카시,"마이클 키튼,마크 러팔로,레이첼 맥아담스","마이클 키튼, 마크 러팔로, 레이첼 맥아담스",2016,True,297726
831,앨빈과 슈퍼밴드: 악동 어드벤처,2016-02-04,2125772200,0.003,2125772200,292495,292495,380,8917,미국,미국,,이십세기폭스코리아(주),전체관람가,"애니메이션,어드벤처,코미디",월트 벡커,"저스틴 롱,제이슨 리,매튜 그레이 구블러,제시 맥카트니","저스틴 롱, 제이슨 리, 매튜 그레이 구블러",2016,True,289645
832,극장판 안녕 자두야,2016-05-04,2135155300,0.003,2135155300,279993,279993,523,7711,한국,한국,"아툰즈,씨제이이앤엠(주)",씨제이이앤엠(주),전체관람가,애니메이션,손석우,"여민정,양정화,이수진","여민정, 양정화, 이수진",2016,True,278914
833,굿바이 싱글,2016-06-29,1755649500,0.002,1755649500,256035,256035,676,6253,한국,한국,"호두앤유 엔터테인먼트(주),(주)영화사람",(주)쇼박스,15세이상관람가,"코미디,드라마",김태곤,"김혜수,마동석,김현수,김용건,서현진,곽시양,전석호,이미도,이성민,황미영,이형미,박지영,정준화,유성진,윤환,이수경,최문석,홍민희,김근영,안재홍,황승언,김고은,목규리,이선빈,배유람,정원중,강찬희,송철호,임영우","김혜수, 마동석, 김현수",2016,True,256035
834,비밀은 없다,2016-06-23,1919317539,0.003,1919317539,236971,236971,502,13451,한국,한국,"(주)영화사거미,필름트레인",씨제이이앤엠(주),청소년관람불가,스릴러,이경미,"손예진,김주혁,장재우,장한승,신지훈,이민아,이상희,김소희,예수정,최유화,손성찬,유재명,강덕중,설창희","손예진, 김주혁, 장재우",2016,True,236971
835,닌자터틀 : 어둠의 히어로,2016-06-16,1928455000,0.003,1928455000,234539,234539,517,13906,미국,미국,,롯데쇼핑㈜롯데엔터테인먼트,12세이상관람가,"액션,어드벤처",데이브 그린,"메간 폭스,스티븐 아멜,로라 린니","메간 폭스, 스티븐 아멜, 로라 린니",2016,True,234539
836,독수리 에디,2016-04-07,1799381120,0.002,1799381120,226341,226341,528,17411,미국,미국,,이십세기폭스코리아(주),12세이상관람가,드라마,덱스터 플레처,"태런 에저튼,폴 레이놀즈,휴 잭맨","태런 에저튼, 폴 레이놀즈, 휴 잭맨",2016,True,214003
837,조이,2016-03-10,1378007200,0.002,1378007200,172253,172253,405,12860,미국,미국,,이십세기폭스코리아(주),12세이상관람가,"코미디,드라마",데이빗 O. 러셀,"제니퍼 로렌스,브래들리 쿠퍼,로버트 드 니로","제니퍼 로렌스, 브래들리 쿠퍼, 로버트 드 니로",2016,True,171577
838,매직브러시,2016-05-04,1292868800,0.002,1292868800,172107,172107,460,5390,중국,중국,,(주)영화사 빅,전체관람가,애니메이션,쯔씽 쫑,"김서영,김경희,박상훈,홍진욱","김서영, 김경희, 박상훈",2016,True,169257
839,대배우,2016-03-30,1245426228,0.002,1245426228,169855,169855,474,16516,한국,한국,주식회사 영화사다,"(주)대명문화공장,(주)리틀빅픽쳐스",12세이상관람가,코미디,석민우,"오달수,윤제문,이경영,진경,강신일,유지태,김명민,김새론,이준익,최병모,최희진,권용덕,박지환,임태훈,임호,정성호,신동필,이영미,한대룡,김문학,김윤주,박호산,고준,강민,엄채영,고우림,김수진,정승길,장원형","오달수, 윤제문, 이경영",2016,True,169855
840,미스컨덕트,2016-03-30,1138175038,0.002,1138175038,149095,149095,470,12017,미국,미국,,"(주)박수엔터테인먼트,㈜코리아스크린",15세이상관람가,"범죄,스릴러",시모사와 신타로,"알 파치노,안소니 홉킨스,조쉬 더하멜,이병헌","알 파치노, 안소니 홉킨스, 조쉬 더하멜",2016,True,148512
841,레전드 오브 타잔,2016-06-29,1057174400,0.001,1057174400,146338,146338,540,5188,미국,미국,,워너브러더스 코리아(주),12세이상관람가,"액션,어드벤처",데이빗 예이츠,"알렉산더 스카스가드,마고 로비,크리스토프 왈츠,사무엘 L. 잭슨,디몬 하운수,존 허트,짐 브로드벤트","알렉산더 스카스가드, 마고 로비, 크리스토프 왈츠",2016,True,146338
842,극장판 아이엠스타 : 꿈의 오디션!,2016-02-11,1048246100,0.001,1048246100,141351,141351,254,3903,일본,일본,,씨제이이앤엠(주),전체관람가,애니메이션,키무라 류이치,"정혜원,이용신,소연,이선,신용우,유인나","정혜원, 이용신, 소연",2016,True,141025
843,제 5침공,2016-02-25,1041049900,0.001,1041049900,135874,135874,312,5195,미국,미국,,유니버설픽쳐스인터내셔널 코리아(유),12세이상관람가,"액션,어드벤처,SF",J 블레이크슨,"클로이 모레츠,닉 로빈슨,알렉스 로","클로이 모레츠, 닉 로빈슨, 알렉스 로",2016,True,135874
844,대니쉬 걸,2016-02-17,1074763884,0.001,1074763884,134029,134029,246,5682,미국,"미국,영국",,유니버설픽쳐스인터내셔널 코리아(유),청소년관람불가,드라마,톰 후퍼,"에디 레드메인,알리시아 비칸데르,앰버 허드,벤 위쇼","에디 레드메인, 알리시아 비칸데르, 앰버 허드",2016,True,134029
845,최강전사 미니특공대: 영웅의 탄생,2016-02-04,873320200,0.001,873320200,116531,116531,349,4780,한국,한국,(주)삼지애니메이션,(주)삼지애니메이션,전체관람가,애니메이션,이영준,"엄상현,양정화,전태열","엄상현, 양정화, 전태열",2016,True,115704
846,다이버전트 시리즈: 얼리전트,2016-05-12,818837545,0.001,818837545,103544,103544,393,7599,미국,미국,,씨네그루(주)키다리이엔티,12세이상관람가,"액션,어드벤처,SF",로베르트 슈벤트케,"쉐일린 우들리,테오 제임스,마일즈 텔러,나오미 왓츠,매기 큐","쉐일린 우들리, 테오 제임스, 마일즈 텔러",2016,True,103542
847,무서운 이야기 3 : 화성에서 온 소녀,2016-06-01,779911500,0.001,779911500,97315,97315,317,6397,한국,한국,(주)수필름,롯데쇼핑㈜롯데엔터테인먼트,15세이상관람가,공포(호러),"백승빈,김선,김곡,민규동","임슬옹,경수진,박정민,홍은희,차지연,김수안,정용진,이재인,민무제,이대연","임슬옹, 경수진, 박정민",2016,True,94926
848,일사각오,2016-03-17,670010000,0.001,670010000,92821,92821,66,2577,한국,한국,KBS,파이오니아21,12세이상관람가,드라마,"권혁만,고문안","이지형,설지윤,서광재","이지형, 설지윤, 서광재",2016,True,92821
849,크리미널,2016-06-22,723939881,0.001,723939881,90577,90577,351,6866,영국,"영국,미국",,(주)영화사 빅,15세이상관람가,"액션,범죄",아리엘 브로멘,"라이언 레이놀즈,케빈 코스트너,게리 올드만,토미 리 존스,갤 가돗","라이언 레이놀즈, 케빈 코스트너, 게리 올드만",2016,True,90577
850,오베라는 남자,2016-05-25,676927888,0.001,676927888,85446,85446,255,4279,스웨덴,스웨덴,,"(주)싸이더스,(주)디스테이션",12세이상관람가,드라마,하네스 홀름,"롤프 라스가드,바하르 파르스,필립 버그,이다 엥볼","롤프 라스가드, 바하르 파르스, 필립 버그",2016,True,82210
851,다이노X 탐험대,2016-05-04,641289900,0.001,641289900,83086,83086,348,3108,한국,한국,(주)MBC,(주)이수C&E,전체관람가,"애니메이션,다큐멘터리",이동희,"정준하,하동훈,송지우","정준하, 하동훈, 송지우",2016,True,82148
852,엽기적인 그녀 2,2016-05-12,594260900,0.001,594260900,77124,77124,387,6132,한국,한국,(주)신씨네,(주)리틀빅픽쳐스,15세이상관람가,"멜로/로맨스,코미디",조근식,"차태현,빅토리아,후지이 미나,배성우,최진호,송옥숙,박재민,장봉영,정수련,정종준,양원석,조예경,윤서영,이상진,이성국,이은경,황창기,김병용,김우주,김근영,목규리,손영순,강덕중,전운종","차태현, 빅토리아, 후지이 미나",2016,True,76321
853,번개맨,2016-02-11,516736500,0.001,516736500,69303,69303,393,4626,한국,한국,"(주)드림써치C&C,한국교육방송공사 EBS",씨네그루(주)키다리이엔티,전체관람가,"판타지,가족",조근현,"정현진,루나,박중금","정현진, 루나, 박중금",2016,True,69303
854,스티브 잡스,2016-01-21,535351276,0.001,535351276,68815,68815,384,6396,미국,미국,,유니버설픽쳐스인터내셔널 코리아(유),12세이상관람가,드라마,대니 보일,"마이클 패스벤더,케이트 윈슬렛,세스 로건","마이클 패스벤더, 케이트 윈슬렛, 세스 로건",2016,True,68815
855,트럼보,2016-04-07,486936100,0.001,486936100,61955,61955,310,5061,미국,미국,,"그린나래미디어(주),(주)프레인글로벌",15세이상관람가,드라마,제이 로치,"브라이언 크랜스톤,다이안 레인,헬렌 미렌,엘르 패닝,루이스 C.K.,존 굿맨","브라이언 크랜스톤, 다이안 레인, 헬렌 미렌",2016,True,58784
856,바다 탐험대 옥토넛 시즌4: 빙하탐험선S,2016-02-25,361596000,0.0,361596000,60977,60977,155,2090,영국,영국,,와이드 릴리즈(주),전체관람가,애니메이션,다라 오코넬,"하성용,정재헌,엄상현,윤승희,김정은","하성용, 정재헌, 엄상현",2016,True,60977
857,바다 탐험대 옥토넛 시즌4: 아슬아슬 구조대작전,2016-06-02,341943000,0.0,341943000,57140,57140,162,2236,영국,영국,,와이드 릴리즈(주),전체관람가,"애니메이션,어드벤처",다라 오코넬,"하성용,정재헌,엄상현,윤승희,김정은,김율","하성용, 정재헌, 엄상현",2016,True,56866
858,드레스메이커,2016-02-11,447353000,0.001,447353000,56316,56316,176,3058,호주,호주,,(주)리틀빅픽쳐스,15세이상관람가,드라마,조셀린 무어하우스,"케이트 윈슬렛,주디 데이비스,리암 헴스워스,휴고 위빙,사라 스누크","케이트 윈슬렛, 주디 데이비스, 리암 헴스워스",2016,True,55330
859,파라노말 액티비티: 더 고스트 디멘션,2016-04-21,454055200,0.001,454055200,54972,54972,353,5654,미국,미국,,(주)박수엔터테인먼트,15세이상관람가,"미스터리,공포(호러)",그레고리 플로킨,"크리스 J. 머레이,브릿 쇼,아이비 조지","크리스 J. 머레이, 브릿 쇼, 아이비 조지",2016,True,54972
860,하드코어 헨리,2016-05-19,399211211,0.001,399211211,46373,46373,239,3060,미국,"미국,러시아",,"㈜코리아스크린,와이드 릴리즈(주)",청소년관람불가,"액션,어드벤처,SF",일리야 나이슐러,"샬토 코플리,해일리 베넷,팀 로스","샬토 코플리, 해일리 베넷, 팀 로스",2016,True,46373
861,33,2016-04-07,318282400,0.0,318282400,41269,41269,320,4299,미국,"미국,칠레",,(주)나이너스엔터테인먼트,12세이상관람가,드라마,패트리시아 리건,"안토니오 반데라스,로드리고 산토로,줄리엣 비노쉬","안토니오 반데라스, 로드리고 산토로, 줄리엣 비노쉬",2016,True,29728
862,동급생,2016-05-19,280668500,0.0,280668500,38700,38700,100,2153,일본,일본,,(주)박수엔터테인먼트,15세이상관람가,"애니메이션,드라마",나카무라 쇼코,"카미야 히로시,노지마 켄지,이시카와 히데오","카미야 히로시, 노지마 켄지, 이시카와 히데오",2016,True,38700
863,4등,2016-04-13,281059700,0.0,281059700,37721,37721,213,4691,한국,한국,"국가인권위원회,정지우 필름","(주)프레인글로벌,CGV아트하우스",15세이상관람가,드라마,정지우,"박해준,이항나,유재상,최무성,정가람,유재명,남문철,이혁찬,임유진,이상혁,이승준,최은미,권세정,오대환,권은수,강애심,이중옥,곽자형","박해준, 이항나, 유재상",2016,True,37420
864,"헤일, 시저!",2016-03-24,271122300,0.0,271122300,34295,34295,253,3892,미국,미국,,유니버설픽쳐스인터내셔널 코리아(유),12세이상관람가,"코미디,드라마","에단 코엔,조엘 코엔","조지 클루니,조슈 브롤린,스칼렛 요한슨,랄프 파인즈,채닝 테이텀,틸다 스윈튼,엘든 이렌리치,조나 힐","조지 클루니, 조슈 브롤린, 스칼렛 요한슨",2016,True,34295
865,극장판 유희왕 더 다크 사이드 오브 디멘션즈,2016-06-09,253214200,0.0,253214200,31805,31805,210,1498,일본,일본,,(주)넥스트엔터테인먼트월드(NEW),전체관람가,애니메이션,쿠와바라 사토시,"엄상현,장성호,강수진","엄상현, 장성호, 강수진",2016,True,31805
866,하이-라이즈,2016-03-30,192162100,0.0,192162100,24600,24600,108,2129,영국,영국,,찬란,청소년관람불가,스릴러,벤 휘틀리,"톰 히들스턴,제레미 아이언스,시에나 밀러,루크 에반스","톰 히들스턴, 제레미 아이언스, 시에나 밀러",2016,True,24600
867,버스 657,2016-01-14,143676000,0.0,143676000,18042,18042,161,1785,미국,미국,,(주)스톰픽쳐스코리아,15세이상관람가,"액션,스릴러",스콧 만,"로버트 드 니로,제프리 딘 모건,데이브 바티스타,케이트 보스워스","로버트 드 니로, 제프리 딘 모건, 데이브 바티스타",2016,True,18042
868,미라클 프롬 헤븐,2016-05-25,117834500,0.0,117834500,17327,17327,92,1753,미국,미국,,유니버설픽쳐스인터내셔널 코리아(유),전체관람가,드라마,패트리시아 리건,"제니퍼 가너,마틴 헨더슨,카일리 로저스","제니퍼 가너, 마틴 헨더슨, 카일리 로저스",2016,True,17327
869,라스트 홈,2016-04-07,118479000,0.0,118479000,15258,15258,163,1916,미국,미국,,(주)브리즈픽처스,15세이상관람가,드라마,라민 바흐러니,"앤드류 가필드,마이클 섀넌,로라 던","앤드류 가필드, 마이클 섀넌, 로라 던",2016,True,14241
