,전국스크린수,expert_rating,running_times,audience_rating,rating_audiences,director_power
108,1132,7.91,144,8.774937343358395,1995,21424146.0
429,466,7.6,129,8.811145510835914,646,279898.0
559,330,7.33,111,8.368421052631579,38,54241.0
181,352,6.25,91,8.25925925925926,27,69055.0
842,1936,6.0,118,8.668552036199095,884,4889524.0
877,845,5.0,117,8.935483870967742,186,387342.0
698,731,4.0,99,7.507317073170731,410,459020.0
724,440,4.5,86,8.276785714285714,112,86784.0
42,357,5.5,92,7.947826086956522,345,325016.0
304,942,5.14,121,8.317815577439571,1117,2044564.0
490,889,5.8,102,7.884267631103074,553,1468301.0
614,588,6.0,90,8.042780748663102,374,7587500.0
809,447,4.5,108,9.176923076923076,130,102223.0
445,124,0.0,120,9.276478679504814,727,117401.0
515,249,6.0,90,9.184501845018447,542,0.0
521,664,8.22,163,7.955555555555558,270,2530063.0
803,446,3.33,102,7.423728813559323,59,137294.0
525,441,0.0,85,7.905109489051095,137,226933.0
371,397,5.44,91,7.733333333333332,90,674609.0
455,140,4.67,116,8.440677966101697,59,1088390.0
338,332,0.0,91,8.246200607902736,329,0.0
374,381,7.25,114,8.276595744680849,94,100391.0
55,368,7.18,102,7.6555555555555586,90,248215.0
728,203,4.0,95,7.917647058823531,85,915475.0
216,855,5.66,124,8.72,500,6268514.0
542,232,6.5,106,9.415094339622641,53,161014.0
40,308,7.25,132,8.669902912621357,206,1943736.0
426,539,4.67,109,8.382857142857143,525,4218513.0
704,489,0.0,104,8.974789915966387,238,966278.0
638,534,5.0,72,6.636363636363638,11,55804.0
815,424,5.0,89,9.05952380952381,84,91430.0
178,272,5.5,98,7.833333333333332,84,63073.0
176,268,6.0,113,7.6097560975609735,41,66075.0
810,480,7.5,118,7.278688524590164,61,101694.0
58,436,6.16,85,8.408866995073891,203,497626.0
812,213,5.25,102,8.492537313432836,67,201594.0
409,608,5.5,116,8.06092715231788,755,3487587.0
16,541,7.25,114,8.72682119205298,604,3487587.0
576,791,5.33,118,8.473394495412844,545,4472312.0
650,303,6.0,85,7.666666666666668,48,36737.0
376,63,8.4,100,9.352941176470589,102,79130.0
637,284,6.75,106,8.957446808510639,94,58340.0
535,436,3.0,108,7.986301369863014,73,0.0
414,598,4.5,103,8.005361930294907,373,564800.0
452,358,4.5,77,8.26056338028169,284,96462.0
701,672,7.0,94,9.183864915572231,533,375312.0
591,611,6.4,110,9.881427072402936,953,540558.0
626,208,3.0,92,9.255813953488373,43,102512.0
382,947,7.55,106,9.215101193565127,3854,7896586.0
29,531,6.5,113,8.403278688524589,305,1520015.0
884,602,6.0,109,8.444444444444445,63,219078.0
343,329,7.0,90,8.439024390243903,82,2683233.0
620,281,7.63,116,8.805309734513273,113,6576583.0
356,255,6.0,82,8.866071428571429,224,258879.0
802,111,7.33,126,9.568181818181818,220,142065.0
740,322,0.0,71,5.243902439024391,82,43627.0
203,1262,7.35,143,8.295994328252393,2821,20367686.0
32,432,7.0,95,8.51792828685259,251,3510600.0
771,736,7.0,79,9.384236453201972,1421,14593159.0
825,344,6.0,75,7.958333333333332,24,65922.0
156,348,6.0,93,7.867149758454106,414,1804446.0
765,936,6.44,114,9.287037037037038,432,1437648.0
334,480,0.0,95,8.811563169164883,467,7587500.0
471,1912,5.92,139,8.795154185022026,9080,29332237.0
566,1357,5.29,123,8.64006139677667,1303,11416716.0
540,223,6.0,82,8.928571428571429,56,147023.0
355,375,6.38,89,8.894080996884735,321,8833391.0
3,1290,6.63,125,8.337789203084833,1945,4565911.0
872,889,5.0,76,7.5,146,18942522.0
130,776,6.57,125,8.25512528473804,439,2481676.0
582,837,5.8,110,8.625824693685203,1061,1260679.0
342,382,6.64,111,8.869565217391305,184,180519.0
774,1148,5.71,132,7.795144157814871,659,7858350.0
880,816,5.86,116,8.60625,160,443134.0
321,907,7.16,133,8.38107869142352,1131,1307301.0
222,661,6.0,97,8.435855263157897,608,2035104.0
328,518,7.25,86,8.227513227513228,378,6093136.0
