,title,director,producer,importer,distributor,distributor_group,release_date,release_season,release,form,nation,screen,rev_nationwide,aud_nationwide,rev_seoul,rev_seoul.1,genre,rate,type,expert_rating,starring_actors,running_times,audience_rating,rating_audiences,realease_year,director_power,director_movie_num,sequel,original,actor_power
30,채피,닐 블롬캠프,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),B,3/12/2015,spring,개봉영화,장편,미국,536,4620348654.0,573657,1430685654,167768,액션,15세이상관람가,일반영화,5.78,"휴 잭맨,샬토 코플리,시고니 위버",120,7.703703704,216,2015,1781389.0,1 [1],1,0,80127868
31,헬머니,신한솔,"(주)전망좋은 영화사,TCO(주)더콘텐츠온",,(주)넥스트엔터테인먼트월드(NEW),C,3/5/2015,spring,개봉영화,장편,한국,422,4096141972.0,519983,799976772,98593,코미디,청소년관람불가,일반영화,4.13,"김수미,정만식,김정태",108,7.56462585,147,2015,519983.0,1 [1],0,0,13195110
32,도라에몽 : 스탠 바이 미,"야마자키 타카시,야기 류이치",,(주)넥스트엔터테인먼트월드(NEW),(주)넥스트엔터테인먼트월드(NEW),C,2/12/2015,winter,개봉영화,장편,일본,432,3681140429.0,503516,681756129,88689,애니메이션,전체관람가,일반영화,7.0,"미즈타,와사비,오오하라 메구미,카카즈 유미",95,8.517928287,251,2015,3510600.0,"4 [3, 1]",1,1,3290420
33,위험한 상견례 2,김진영,"(주)전망좋은 영화사,TCO(주)더콘텐츠온,(주)마음에드는영화사",,"롯데쇼핑㈜롯데엔터테인먼트,(주)마인스 엔터테인먼트",A,4/29/2015,spring,개봉영화,장편,한국,429,3575384754.0,472693,738570754,93940,멜로/로맨스,15세이상관람가,일반영화,4.0,"진세연,홍종현,신정근",119,8.396039604,202,2015,810861.0,1 [1],0,1,5980430
34,순수의 시대,안상훈,"(주)화인웍스,(주)키메이커",,씨제이이앤엠(주),A,3/5/2015,spring,개봉영화,장편,한국,546,3702353828.0,465492,1047948228,125716,사극,청소년관람불가,일반영화,4.57,"신하균,장혁,강한나",113,6.721153846,208,2015,465492.0,1 [1],0,0,53815421
35,무뢰한,오승욱,(주)사나이픽처스,,CGV아트하우스,A,5/27/2015,spring,개봉영화,장편,한국,482,3253854931.0,413577,1111717431,136411,멜로/로맨스,청소년관람불가,일반영화,7.21,"전도연,김남길,박성웅",118,7.502283105,219,2015,413577.0,1 [1],0,0,125923099
36,내 심장을 쏴라,문제용,(주)주피터필름,,"(주)리틀빅픽쳐스,(주)이수C&E",D,1/28/2015,winter,개봉영화,장편,한국,452,2856859132.0,387409,602511932,79237,드라마,15세이상관람가,일반영화,4.55,"이민기,여진구",102,8.256544502999999,191,2015,387409.0,1 [1],1,0,39814933
37,그레이의 50가지 그림자,샘 테일러-존슨,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),B,2/26/2015,winter,개봉영화,장편,미국,512,2918598796.0,364415,1201564996,145292,드라마,청소년관람불가,일반영화,3.07,"제이미 도넌,다코타 존슨,루크 그림즈",125,5.57518797,266,2015,364415.0,1 [1],1,0,4014493
38,홈,팀 존슨,,씨제이이앤엠(주),씨제이이앤엠(주),A,5/21/2015,spring,개봉영화,장편,미국,532,2691338791.0,360445,649663691,83379,애니메이션,전체관람가,일반영화,6.56,"짐 파슨스,리아나,제니퍼 로페즈",94,8.260869565,207,2015,360445.0,1 [1],0,0,4035768
39,경성학교: 사라진 소녀들,이해영,"청년필름(주),비밀의화원",,롯데쇼핑㈜롯데엔터테인먼트,A,6/18/2015,summer,개봉영화,장편,한국,489,2710740700.0,351208,715075900,88741,미스터리,15세이상관람가,일반영화,6.75,"박보영,엄지원,박소담",99,6.721088435,294,2015,11416716.0,3 [3],0,0,88969407
40,아메리칸 스나이퍼,클린트 이스트우드,,워너브러더스 코리아(주),워너브러더스 코리아(주),B,1/14/2015,winter,개봉영화,장편,미국,308,2800001438.0,344766,1052863738,126890,액션,청소년관람불가,일반영화,7.25,"브래들리 쿠퍼,시에나 밀러,제이크 맥더맨",132,8.669902913,206,2015,1943736.0,3 [3],1,0,12791205
