title,director,producer,importer,distributor,distributor_group,release_date,release_season,release,form,nation,screen,rev_nationwide,aud_nationwide,rev_seoul,rev_seoul,genre,rate,type,expert_rating,starring_actors,running_times,audience_rating,rating_audiences,realease_year,director_power,director_movie_num,sequel,original
살인의뢰,손용호,(주)미인픽쳐스,,씨네그루(주)다우기술,B,3/12/2015,spring,개봉영화,장편,한국,646,6986456737,855980,1716336937,201830,범죄,청소년관람불가,일반영화,4.33,"김상경(태수), 김성균(승현), 박성웅(강천)",102,6.614678899,327,2015,5429882,2 [2],1,0
기술자들,김홍선,(주)트리니티엔터테인먼트,,롯데쇼핑㈜롯데엔터테인먼트,A,12/24/2014,winter,개봉영화,장편,한국,641,6241817635,786257,1295768435,156201,범죄,15세이상관람가,일반영화,4.75,"김우빈(지혁), 김영철(조사장), 고창석(구인)",116,7.925486876,1181,2014,6153654,3 [3],0,0
신데렐라,케네스 브래너,,월트디즈니컴퍼니코리아(주),월트디즈니컴퍼니코리아(주),B,3/19/2015,spring,개봉영화,장편,미국,531,5499767900,716386,1654573800,205943,멜로/로맨스,전체관람가,일반영화,6.5,"릴리 제임스, 리차드 매든, 케이트 블란쳇",113,8.403278689,305,2015,1520015,2 [2],1,0
채피,닐 블롬캠프,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),B,3/12/2015,spring,개봉영화,장편,미국,536,4620348654,573657,1430685654,167768,액션,15세이상관람가,일반영화,5.78,"휴 잭맨(빈센트), 샬토 코플리(채피), 시고니 위버(미셸 브래들리)",120,7.703703704,216,2015,1781389,1 [1],1,0
헬머니,신한솔,"(주)전망좋은 영화사,TCO(주)더콘텐츠온",,(주)넥스트엔터테인먼트월드(NEW),C,3/5/2015,spring,개봉영화,장편,한국,422,4096141972,519983,799976772,98593,코미디,청소년관람불가,일반영화,4.13,"김수미(헬머니), 정만식(승현), 김정태(주현)",108,7.56462585,147,2015,519983,1 [1],0,0
도라에몽 : 스탠 바이 미,"야마자키 타카시,야기 류이치",,(주)넥스트엔터테인먼트월드(NEW),(주)넥스트엔터테인먼트월드(NEW),C,2/12/2015,winter,개봉영화,장편,일본,432,3681140429,503516,681756129,88689,애니메이션,전체관람가,일반영화,7,"미즈타, 와사비, 오오하라 메구미, 카카즈 유미",95,8.517928287,251,2015,3510600,"4 [3, 1]",1,1
위험한 상견례 2,김진영,"(주)전망좋은 영화사,TCO(주)더콘텐츠온,(주)마음에드는영화사",,"롯데쇼핑㈜롯데엔터테인먼트,(주)마인스 엔터테인먼트",A,4/29/2015,spring,개봉영화,장편,한국,429,3575384754,472693,738570754,93940,멜로/로맨스,15세이상관람가,일반영화,4,"진세연, 홍종현, 신정근",119,8.396039604,202,2015,810861,1 [1],0,1
순수의 시대,안상훈,"(주)화인웍스,(주)키메이커",,씨제이이앤엠(주),A,3/5/2015,spring,개봉영화,장편,한국,546,3702353828,465492,1047948228,125716,사극,청소년관람불가,일반영화,4.57,"신하균(김민재), 장혁(이방원), 강한나(가희)",113,6.721153846,208,2015,465492,1 [1],0,0
무뢰한,오승욱,(주)사나이픽처스,,CGV아트하우스,A,5/27/2015,spring,개봉영화,장편,한국,482,3253854931,413577,1111717431,136411,멜로/로맨스,청소년관람불가,일반영화,7.21,"전도연(김혜경), 김남길(정재곤), 박성웅(박준길)",118,7.502283105,219,2015,413577,1 [1],0,0
내 심장을 쏴라,문제용,(주)주피터필름,,"(주)리틀빅픽쳐스,(주)이수C&E",D,1/28/2015,winter,개봉영화,장편,한국,452,2856859132,387409,602511932,79237,드라마,15세이상관람가,일반영화,4.55,"이민기(류승민), 여진구(이수명)",102,8.256544503,191,2015,387409,1 [1],1,0
그레이의 50가지 그림자,샘 테일러-존슨,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),B,2/26/2015,winter,개봉영화,장편,미국,512,2918598796,364415,1201564996,145292,드라마,청소년관람불가,일반영화,3.07,"제이미 도넌(크리스찬 그레이), 다코타 존슨(아나스타샤 스틸), 루크 그림즈(엘리엇 그레이)",125,5.57518797,266,2015,364415,1 [1],1,0
