,title,director,distributor,distributor_group,release_date,release_season,release,form,nation,screen,rev_nationwide,rev_seoul,rev_seoul.1,genre,rate,type,expert_rating,starring_actors,running_times,audience_rating,rating_audiences,realease_year,director_power,sequel,original,actor_power,director_count,director_movie_count,actor_movie_count,before_news,after_news,holiday,dist_cat
175,러덜리스,윌리엄 H. 머시,그린나래미디어(주),D,20150709,summer,개봉영화,장편,미국,117,602152720.0,328229620,40262,코미디,12세이상관람가,독립/예술영화,6.15,"빌리 크루덥,안톤 옐친",105,8.741935483999999,62,2015,0,0,0,1624068,1,0,2,24,46,0,C
398,임금님의 사건수첩,문현성,씨제이이앤엠(주),A,20170426,spring,개봉영화,장편,한국,1054,12648793723.0,3034042823,380247,코미디,12세이상관람가,일반영화,5.63,"이선균,안재홍",114,8.079252003999999,1123,2017,0,0,1,9219802,1,0,9,341,625,0,A
370,극장판 파워레인저: 닌자포스 VS 트레인포스 닌자 인 원더랜드,나카자와 쇼지로,(주)넥스트엔터테인먼트월드(NEW),C,20161103,autumn,개봉영화,장편,일본,406,497324800.0,98695300,11896,액션,전체관람가,일반영화,0.0,"니시카와 슌스케,마츠모토 가쿠,나카무라 카이토",60,8.42,100,2016,0,1,1,0,1,0,0,0,16,0,A
694,그린치,스콧 모시어,유니버설픽쳐스인터내셔널 코리아(유),B,20181219,winter,개봉영화,장편,미국,724,3675369950.0,853173200,106538,애니메이션,전체관람가,일반영화,5.0,"베네딕트 컴버배치,퍼렐 윌리엄스",89,8.592783505,1164,2018,0,0,1,7198676,1,0,4,31,244,0,B
615,유전,아리 애스터,(주)팝엔터테인먼트,D,20180607,summer,개봉영화,장편,미국,422,1536786325.0,528139825,57537,공포,15세이상관람가,일반영화,7.13,"토니 콜렛,밀리 샤피로,가브리엘 번",127,7.54,150,2018,0,0,0,486482,1,0,3,81,220,0,C
308,미씽: 사라진 여자,이언희,메가박스중앙(주)플러스엠,A,20161130,autumn,개봉영화,장편,한국,790,8881616256.0,2457671256,307997,미스터리,15세이상관람가,일반영화,6.72,"엄지원,공효진",100,8.590727418,1251,2016,0,0,0,1944902,1,0,2,439,533,0,A
4,조선명탐정 : 사라진 놉의 딸,김석윤,(주)쇼박스,C,20150211,winter,개봉영화,장편,한국,811,30456879428.0,6908501928,845522,사극,12세이상관람가,일반영화,5.85,"김명민,오달수,이연희",125,8.172131148,610,2015,0,1,0,58897340,1,0,15,985,621,0,A
432,발레리나,"에릭 섬머,에릭 와린",판씨네마(주),D,20170209,winter,개봉영화,장편,프랑스,434,1509668400.0,370927500,46384,애니메이션,전체관람가,일반영화,0.0,"엘르 패닝,데인 드한,매디 지글러",89,8.943722944,231,2017,0,0,0,4360050,2,0,7,25,55,0,C
198,주토피아,"바이론 하워드,리치 무어",월트디즈니컴퍼니코리아(주),B,20160217,winter,개봉영화,장편,미국,661,37077444042.0,12142771642,1465960,애니메이션,전체관람가,일반영화,7.2,"지니퍼 굿윈,제이슨 베이트먼,샤키라",108,9.311522047999999,703,2016,0,0,0,27189,2,0,2,22,260,0,B
116,뷰티 인사이드,백,(주)넥스트엔터테인먼트월드(NEW),C,20150820,summer,개봉영화,장편,한국,648,16145401531.0,5024222431,611117,판타지,12세이상관람가,일반영화,5.47,"한효주,김대명,도지한",127,8.199134199,693,2015,0,1,0,36265070,1,0,8,574,666,0,A
286,부산행,연상호,(주)넥스트엔터테인먼트월드(NEW),C,20160720,summer,개봉영화,장편,한국,1788,93175877048.0,23020827248,2754686,액션,15세이상관람가,일반영화,7.1,"공유,정유미,마동석",118,8.546636279,11847,2016,21864,0,1,33789421,1,1,17,2559,2453,0,A
502,47 미터,요하네스 로버츠,씨네그루(주)키다리이엔티,B,20170719,summer,개봉영화,장편,영국,733,4686022657.0,1043910157,125764,스릴러,15세이상관람가,일반영화,4.0,"맨디 무어,클레어 홀트",89,7.56928839,267,2017,0,0,0,0,1,0,0,24,172,0,B
204,정글북,존 파브로,월트디즈니컴퍼니코리아(주),B,20160609,summer,개봉영화,장편,미국,924,19496155566.0,5811702246,639497,어드벤처,12세이상관람가,일반영화,7.02,"닐 세티,빌 머레이,스칼렛 요한슨",106,8.672590567,1463,2016,151833,1,0,16778310,1,1,8,36,115,0,B
431,어느날,이윤기,"오퍼스픽쳐스(유),CGV아트하우스",D,20170405,spring,개봉영화,장편,한국,532,1827370582.0,566199082,69068,멜로/로맨스,15세이상관람가,일반영화,6.0,"김남길,천우희",114,8.589655172,290,2017,0,0,0,21431284,1,0,10,1345,1111,0,C
174,쓰리 썸머 나잇,김상진,"(주)리틀빅픽쳐스,(주)인벤트스톤",D,20150715,summer,개봉영화,장편,한국,297,616132846.0,185973246,22302,코미디,청소년관람불가,일반영화,0.0,"김동욱,임원희,손호준",106,7.7241379310000005,58,2015,0,0,0,13010343,1,0,4,1410,245,0,C
543,노 게임 노 라이프 -제로-,이시즈카 아츠코,(주)박수엔터테인먼트,D,20171019,autumn,개봉영화,장편,일본,121,738618300.0,201840300,24227,애니메이션,12세이상관람가,독립/예술영화,0.0,"마츠오카 요시츠구,카야노 아이,히카사 요코",107,8.0,1,2017,0,0,1,0,1,0,0,0,1,0,C
830,칠곡 가시나들,김재환,"(주)인디플러그,(주)더 피플",D,20190227,winter,개봉영화,장편,한국,138,334601400.0,108432500,12980,다큐멘터리,전체관람가,독립/예술영화,6.6,"박금분,곽두조,강금연",100,9.283018868,53,2019,5605,0,0,0,1,1,0,33,81,0,C
71,19곰 테드 2,세스 맥팔레인,유니버설픽쳐스인터내셔널 코리아(유),B,20150625,summer,개봉영화,장편,미국,297,961888700.0,378111600,45161,코미디,청소년관람불가,일반영화,5.0,"마크 월버그,아만다 사이프리드,세스 맥팔레인",115,8.293233082999999,133,2015,283947,0,1,7802884,1,2,11,19,106,0,B
213,동주,이준익,메가박스중앙(주)플러스엠,A,20160217,winter,개봉영화,장편,한국,499,8863736089.0,2961031289,376200,드라마,12세이상관람가,일반영화,7.5,"강하늘,박정민,김인우",110,9.38358209,670,2016,0,1,0,26573939,1,0,11,647,524,0,A
202,데드풀,팀 밀러,이십세기폭스코리아(주),B,20160217,winter,개봉영화,장편,미국,1036,27595618651.0,9150924002,1062535,액션,청소년관람불가,일반영화,6.89,라이언 레이놀즈,106,8.609405362999999,2573,2016,0,1,1,3195667,1,0,5,202,631,0,B
873,감쪽같은 그녀,허인무,메가박스중앙(주)플러스엠,A,20191204,winter,개봉영화,장편,한국,761,3377533790.0,658294480,83166,드라마,전체관람가,일반영화,5.0,"나문희,김수안",104,9.047619048,126,2019,0,0,0,33279150,1,0,9,106,393,0,A
851,말레피센트 2,요아킴 뢰닝,월트디즈니컴퍼니코리아 유한책임회사,B,20191017,autumn,개봉영화,장편,미국,1108,12191395690.0,3153886600,352835,어드벤처,12세이상관람가,일반영화,5.67,"안젤리나 졸리,엘르 패닝,미셸 파이퍼",119,8.996296296,270,2019,3045449,1,1,4151621,1,1,7,78,647,0,B
119,대호,박훈정,(주)넥스트엔터테인먼트월드(NEW),C,20151216,winter,개봉영화,장편,한국,892,12104808332.0,2802652706,352415,사극,12세이상관람가,일반영화,7.08,최민식,139,8.371273712999999,738,2015,4682492,0,0,28985936,1,1,5,444,522,0,A
177,보루토 - 나루토 더 무비,야마시타 히로유키,와이드 릴리즈(주),D,20151210,winter,개봉영화,장편,일본,219,475552400.0,134933800,17676,애니메이션,12세이상관람가,일반영화,0.0,"산페이 유코,키쿠치 코코로,타케우치 준코",95,9.707792207999999,154,2015,0,1,1,30117,1,0,1,2,10,0,C
721,베일리 어게인,라세 할스트롬,(주)홈초이스,C,20181122,autumn,개봉영화,장편,미국,189,796864900.0,314266200,35522,어드벤처,전체관람가,독립/예술영화,5.4,"조시 게드,데니스 퀘이드,K.J. 아파",100,9.442553191,235,2018,10,0,0,882882,1,1,2,57,196,0,C
284,파라노말 액티비티: 더 고스트 디멘션,그레고리 플로킨,(주)박수엔터테인먼트,D,20160421,spring,개봉영화,장편,미국,353,454055200.0,129982200,15254,미스터리,15세이상관람가,일반영화,3.0,"크리스 J. 머레이,브릿 쇼,아이비 조지",88,6.55,40,2016,0,0,1,0,1,0,0,11,23,0,C
