,aud_nationwide,log_aud
512,401541,12.903064924216382
575,2253717,14.62809141112957
797,172212,12.056481554958932
378,5316325,15.486292833139155
66,149181,11.912915612798125
532,155368,11.953551775505288
839,4743184,15.372219198119481
763,1437648,14.178519002875724
52,262943,12.47969255763253
377,7817446,15.871868460711127
662,3772620,15.143280278263367
871,513375,13.14876185125886
886,181400,12.108459816663173
239,289645,12.57641131416276
246,214003,12.273745312597315
868,591043,13.289644051778724
425,351276,12.76932751824296
552,62454,11.042185564743523
28,786257,13.575038989977825
796,177340,12.085824072933994
265,94926,11.46085291967712
601,310695,12.646567002557733
799,142065,11.86403997832831
244,234539,12.36537716434092
103,6246849,15.6475877345812
276,68815,11.139177023413632
393,2125953,14.56973073039601
110,3239371,14.990889733119245
76,107441,11.584697138674278
159,122574,11.716470208215707
458,72495,11.191272872947296
235,308180,12.638439306835844
464,56907,10.949173635394834
411,629322,13.352398328382742
846,2409062,14.69474801808608
112,2803234,14.846284308646087
632,86841,11.371834139356599
848,2146766,14.579473081633775
529,175367,12.0746361998283
513,383517,12.85713922735977
329,331877,12.712519697325533
262,115704,11.658790484753569
223,652453,13.388494384933312
915,42914,10.666953392005027
894,133373,11.800904993177655
856,1140876,13.947306946339008
510,415255,12.936648068342244
606,229005,12.341499116359152
167,100026,11.513185431176085
863,672130,13.418207053176738
241,256035,12.453069432866545
699,395408,12.887673422189748
743,34897,10.46015614461037
154,161245,11.990680226425333
876,321726,12.681455530601655
24,1101678,13.912345029990167
294,4662534,15.355069635132821
845,2464978,14.71769344046981
443,124112,11.728939662730653
659,5293435,15.481977931479829
776,429719,12.970886785681055
150,185960,12.13328687580452
41,326887,12.697369824408552
346,125800,11.742448623248475
94,52816,10.874569454092974
519,333082,12.716143984895195
217,1061412,13.87511065513452
710,186191,12.1345283075334
381,3628949,15.104453632638204
23,1110214,13.920063347499168
268,85166,11.3523575721385
388,2447246,14.71047386863465
923,31888,10.369985042452576
352,95542,11.467321220365207
416,459421,13.03772227999038
292,5446239,15.510435836673395
200,3984812,15.198000692180159
173,79840,11.287779910985346
100,13395400,16.410421922403753
25,955175,13.769649848748655
700,375312,12.835512959032405
769,765595,13.54840858827406
489,1721757,14.358855839029578
551,63258,11.054976880805004
354,93005,11.440408534131052
597,506182,13.13465156739336
242,236971,12.375693049761127
924,31866,10.369294889650456
73,116119,11.662370806320569
891,140396,11.852222280139511
118,1593694,14.281565150016643
114,2625686,14.780852753199587
520,323628,12.687349986999285
5,3828994,15.158112663469431
475,5636259,15.544731105522544
608,217803,12.291346263490816
696,474137,13.069251588452088
69,136134,11.821394973752195
14,1872677,14.44287951594092
916,40985,10.620961425087133
792,197134,12.191638979532573
369,65145,11.084370833637033
78,92598,11.436022822128887
479,4012889,15.205021988761844
672,1967721,14.492386578251578
54,256475,12.454786472955911
467,49479,10.809303616116262
266,92821,11.438428186277315
728,58185,10.971382868542175
514,380581,12.849454311420994
537,118985,11.686752713728476
870,553879,13.224701530321797
503,535084,13.19017902289926
563,11202637,16.231659754980733
166,100523,11.518141836019185
641,49682,10.813397973445998
331,318977,12.672874278854149
668,2524086,14.74138957496293
247,203775,12.224771722962654
373,55355,10.921522268293566
911,58645,10.979257598955606
472,7257973,15.797611146715164
499,821419,13.618788611476418
879,277319,12.532923747107331
565,5398994,15.501723197882896
780,357902,12.788014484891619
307,1157156,13.961475828547545
501,770801,13.555185512874903
234,313164,12.654482293963651
666,2949944,14.897296745084974
430,255180,12.449724457475734
857,1114941,13.924312046678116
191,49558,10.810898979803689
151,184469,12.125236706665275
435,177483,12.086630108663034
256,144827,11.883295205639884
712,170878,12.048705130565624
618,150215,11.919822880170019
811,92043,11.430011138142232
541,97017,11.482641499861634
569,3417629,15.044457593758848
383,3045449,14.929158903099744
145,257716,12.459613482411964
864,662874,13.404340205858245
819,57509,10.959696736276324
533,154966,11.950961017000882
215,1100120,13.910929822727713
705,267785,12.497939698721266
833,13369087,16.408455659536276
617,151708,11.92971289960864
196,8677032,15.976190092679396
781,345521,12.752808701818864
495,1028384,13.84349919610426
17,1712142,14.353255776169405
718,114536,11.648644463040164
27,855980,13.660002290364945
277,65887,11.095696432441821
395,1821000,14.414896358709743
228,476665,13.074569217058373
320,611097,13.32301098169079
147,224657,12.322330073594427
877,305504,12.62971815079776
494,1305145,14.08182470367766
449,102170,11.534393371585471
663,3747952,15.136720115428133
106,5129409,15.450501005832017
350,103852,11.550722087664795
523,258478,12.462565862925887
389,2420729,14.699579292438733
448,108730,11.596623023991794
93,55892,10.931176536200338
259,134029,11.805811473428516
554,55784,10.929242368900843
822,51065,10.8408546100122
170,87426,11.378548000241908
254,148512,11.908421042040903
602,305582,12.629973434016238
252,169855,12.04270041089463
306,1399771,14.151819209777653
547,79446,11.282832824567812
737,44141,10.69514433474214
880,248320,12.422473515976991
428,276379,12.529528391144115
186,53233,10.882433783774625
269,82210,11.317032228146179
162,112121,11.627333924254293
413,518886,13.159439484841542
717,137775,11.833377198751435
874,387342,12.867063302690706
98,45166,10.71809987037725
6,3247558,14.993413887259633
742,37241,10.525165583876873
789,224160,12.320115361570833
611,213980,12.273637831692598
229,446664,13.00956191309191
264,103542,11.547732606475634
368,66314,11.102156315270157
646,40882,10.618445147359925
798,164372,12.009887430797045
783,293258,12.588808046621025
829,41525,10.634050934481495
403,1085087,13.897170726073902
677,1258317,14.04528567178046
610,214949,12.278156069668894
189,51207,10.843631520432444
332,288016,12.570771313130484
303,2384782,14.684618273514767
260,133736,11.803622986382466
144,260518,12.470427235677086
627,99952,11.512445349733353
283,55330,10.921070535892156
790,202756,12.219758564634738
11,2192172,14.600403391124942
754,2397792,14.690058871858433
594,528007,13.176864820176275
531,166252,12.021259988520928
469,47668,10.772015592210696
127,806520,13.600483974752011
681,1011580,13.827024022922163
57,219678,12.299918116808861
33,472693,13.066201408125035
237,297356,12.602685353172292
852,1245532,14.035073305847304
282,55765,10.928901711428637
586,990104,13.805565267098405
362,69586,11.150318676663964
243,234746,12.366259357521715
603,286042,12.563893932166975
92,56547,10.942827429739163
210,1278894,14.061506199878625
337,192668,12.168723779377684
301,2594028,14.768722437940594
85,78070,11.265361139114336
190,50196,10.823690621230199
39,351208,12.76913391952694
500,814587,13.610436515316346
623,111541,11.622147515296936
507,465265,13.050362414715568
634,67602,11.12139284739222
516,347790,12.759354128332555
104,6126488,15.628132223665727
747,9577981,16.07497737617005
233,356976,12.78542383161119
676,1543800,14.24975746749789
105,5440520,15.509385202499152
341,142577,11.86763748363107
253,169257,12.039173548855748
408,675966,13.423898057902234
422,383336,12.856667168168864
208,1426873,14.170995894600738
905,87029,11.373996675426842
713,170743,12.047914780985082
82,83334,11.330611908144276
497,888386,13.697161612210973
850,1609737,14.291581369579651
583,1183959,13.984374465448134
722,93000,11.440354772135393
87,76803,11.248998980872843
64,151833,11.930536511621947
270,82148,11.316277777459984
605,229346,12.342987059280247
274,74977,11.224936678819942
902,93085,11.441268333205993
733,48462,10.788535264670351
826,42727,10.662586317888774
153,161382,11.991529504435134
613,191880,12.164625455616
724,83474,11.332290485105474
410,646195,13.378856594800045
517,341614,12.741436723663304
44,305100,12.62839487070476
625,108344,11.593066629335205
390,2310054,14.652781458848127
220,820800,13.618034753398645
140,332180,12.71343226965299
349,109137,11.600359252731865
357,80754,11.299162775461767
133,470990,13.06259214135066
261,120352,11.698176061270065
278,60977,11.018252022874208
79,91164,11.42041536129122
900,101913,11.531874787128642
115,2625572,14.780809335031972
756,1949372,14.483017827388228
774,563114,13.241237373302676
380,3653238,15.111124455585045
862,728345,13.498530116022062
184,55396,10.922262667962608
731,55919,10.93165949405824
358,79812,11.28742914807242
36,387409,12.867236261486935
339,151360,11.927416384285705
775,466475,13.05295970726545
420,427764,12.966326920616858
149,214284,12.275057516985125
9,2330813,14.661727691719628
45,298298,12.605848265820624
95,51884,10.856765736460565
835,8020208,15.897474914668482
920,37282,10.526265915429189
548,78440,11.270089280310282
560,47088,10.759773470473254
298,2718158,14.815465002982345
290,6965706,15.756509524021736
415,475309,13.071720397832046
313,971194,13.78628152134407
421,412843,12.930822654391186
657,5447826,15.510727187975455
122,984265,13.799650448720335
779,410131,12.92423189984246
757,1901684,14.458250367380233
361,69881,11.15454907439174
336,212599,12.26716304121006
135,428855,12.968874145438859
787,262233,12.476988700515838
709,189948,12.154505629473741
651,35919,10.489021682384953
367,66562,11.105889123120578
888,167333,12.0277411179719
837,5247794,15.47331835578686
619,140849,11.855443673527805
8,2801949,14.845825804428651
97,46079,10.738112593745406
896,117019,11.670091593757947
348,117362,11.673018454253116
509,446379,13.008923645931928
883,199240,12.202265407187221
703,277206,12.532516191085277
746,13918759,16.448748056597395
21,1472006,14.202136654349609
482,3279296,15.00313932317678
892,138118,11.835863671236913
405,836140,13.636551342161127
912,56787,10.947062705274329
806,102223,11.53491198035571
478,4018035,15.206303535120473
590,554521,13.225859957012153
491,1386611,14.142373198532765
46,289534,12.576028012967935
364,68897,11.1403679146895
296,3100113,14.946949120403936
49,268255,12.49969329964822
487,1934192,14.475200226179517
224,634953,13.361306259387494
750,3389035,15.036055778066105
219,848148,13.650810427847636
872,501934,13.126223915926802
761,1506942,14.225592989807598
913,56087,10.934659335602202
