,영화명,개봉일,매출액,매출액점유율,누적매출액,관객수,누적관객수,스크린수,상영횟수,대표국적,국적,제작사,배급사,등급,장르,감독,배우,main_actors,개봉일_int,director_involved,actor_involved,전국관객수
5609,비정규직 특수요원,2017-03-16,1150732700,0.001,1150732700,149719,149719,497,11132,한국,한국,"(주)스톰픽쳐스코리아,컴퍼니에이이엔티(주)","(주)이수C&E,(주)스톰픽쳐스코리아",15세이상관람가,"코미디,액션",김덕수,"강예원,한채아,조재윤,김민교,김성은,남성진,동현배,남궁민,신영훈,심은주,유연수,윤석진,채환,최효정,한승환,한용환,이예림,이정민,이정민,김동철,김용진,김용훈,박성훈,현봉식,주예지,신세휘,곽자형,류성현,최정현","강예원, 한채아, 조재윤",2017,True,True,149719
5610,레고 배트맨 무비,2017-02-09,1175424305,0.001,1175424305,148760,148760,427,5949,미국,미국,,워너브러더스 코리아(주),전체관람가,"애니메이션,액션,코미디",크리스 맥케이,"윌 아넷,로자리오 도슨,랄프 파인즈,마이클 세라","윌 아넷, 로자리오 도슨, 랄프 파인즈",2017,True,True,148760
5611,극장판 또봇: 로봇군단의 습격,2017-04-27,1089135300,0.001,1089135300,141592,141592,231,3854,한국,한국,레트로봇 주식회사,씨제이이앤엠(주),전체관람가,애니메이션,"이달,고동우","하룡이,신경선,이현,박연미,이혜림,이호승,임은경,박지연,박지훈,신준하,정재준,안효민,원지수,윤민영,이경진,최빛나라,최은지,김신영,김신영,김영선","하룡이, 신경선, 이현",2017,True,True,141592
5612,시간위의 집,2017-04-05,1020724600,0.001,1020724600,128975,128975,454,10971,한국,한국,"리드미컬그린(주),자이온 이엔티(주),브릿지웍스 엔터테인먼트(주),라이브(주)","(주)리틀빅픽쳐스,(주)페퍼민트앤컴퍼니",15세이상관람가,"미스터리,스릴러",임대웅,"김윤진,옥택연,조재윤,이한위,박준면,백도빈,유인영,서민수,정용욱,이동규,이재우,고우림,이양희,박상훈,김현","김윤진, 옥택연, 조재윤",2017,True,True,124601
5613,명탐정 코난: 에피소드 원-작아진 명탐정,2017-02-08,999362100,0.001,999362100,128472,128472,215,4172,일본,일본,,씨제이이앤엠(주),12세이상관람가,애니메이션,야마모토 야스이치로,,,2017,True,False,128472
5614,마이펫 오지,2017-02-16,913514950,0.001,913514950,124318,124318,393,5325,스페인,"스페인,캐나다",,롯데쇼핑㈜롯데엔터테인먼트,전체관람가,"애니메이션,어드벤처",알베르토 로드리게즈,,,2017,True,False,124112
5615,짱구는 못말려 극장판: 폭풍수면! 꿈꾸는 세계 대돌격,2017-01-25,905611600,0.001,905611600,119197,119197,334,4442,일본,일본,,(주)넥스트엔터테인먼트월드(NEW),전체관람가,애니메이션,타카하시 와타루,"박영남,김환진,강희선,여민정,장경희,정혜옥,송하림,김연우,박영화,장미,윤은서,이기성,장예나,김민주,현경수","박영남, 김환진, 강희선",2017,True,True,119197
5616,극장판 소드 아트 온라인 -오디널 스케일-,2017-02-23,897598000,0.001,897598000,117401,117401,124,3786,일본,일본,,(주)박수엔터테인먼트,12세이상관람가,"애니메이션,SF,액션",이토 토모히코,"마츠오카 요시츠구,토마츠 하루카,이토 카나에","마츠오카 요시츠구, 토마츠 하루카, 이토 카나에",2017,True,True,117401
5617,"서서평, 천천히 평온하게",2017-04-26,835150900,0.001,835150900,115731,115731,234,4225,한국,한국,재단법인 온누리선교재단(CGNTV),커넥트픽쳐스(주),전체관람가,다큐멘터리,"홍주연,홍현정","윤안나,안은새,강다연,도세진,민주홍,박사라,이상운,진미혜,최용수,최진","윤안나, 안은새, 강다연",2017,True,True,115561
5618,베이블레이드 버스트 갓 : 갓 발키리의 탄생,2017-06-01,826226000,0.001,826226000,109192,109192,198,2676,일본,일본,,씨제이이앤엠(주),전체관람가,애니메이션,야마구치 켄타로,"김현지,한신,김보영,이호산,김영은","김현지, 한신, 김보영",2017,True,True,108730
5619,루시드 드림,2017-02-22,759481000,0.001,759481000,102170,102170,461,8534,한국,한국,(주)로드픽쳐스,(주)넥스트엔터테인먼트월드(NEW),15세이상관람가,"SF,스릴러",김준성,"고수,설경구,박유천,강혜정,박인환,천호진,정성호,신중혁,조성미,우영택,이석,이석,이승호,홍의정,황비긴,황인준,김유선,김택규,전석호,최대훈,전신환,이시아,김강훈,신유람","고수, 설경구, 박유천",2017,True,True,102170
5620,딥워터 호라이즌,2017-01-25,775791543,0.001,775791543,100051,100051,433,7024,미국,미국,,메가박스중앙(주)플러스엠,12세이상관람가,"액션,드라마",피터 버그,"마크 월버그,딜런 오브라이언,케이트 허드슨,커트 러셀,지나 로드리게즈,존 말코비치,에단 서플리,조 크레스트,제임스 더몬트,크리스 애쉬워스","마크 월버그, 딜런 오브라이언, 케이트 허드슨",2017,True,True,100021
5621,슈퍼 빼꼼: 스파이 대작전,2017-05-03,708419900,0.001,708419900,98937,98937,358,3306,한국,한국,(합)알지애니메이션스튜디오,메가박스중앙(주)플러스엠,전체관람가,"애니메이션,코미디",임아론,"김태균,최정현,최낙윤,남도형,윤용식,김성연,박상호,장현주","김태균, 최정현, 최낙윤",2017,True,True,96462
5622,사일런스,2017-02-28,700818300,0.001,700818300,94750,94750,342,5853,미국,"미국,대만,멕시코",,씨네그루(주)키다리이엔티,15세이상관람가,드라마,마틴 스코세이지,"앤드류 가필드,리암 니슨,아담 드라이버,시아란 힌즈,아사노 타다노부,고마츠 나나,츠카모토 신야,카세 료,사부,이세이 오가타","앤드류 가필드, 리암 니슨, 아담 드라이버",2017,True,True,94750
5623,파도가 지나간 자리,2017-03-08,638371200,0.001,638371200,82717,82717,276,5751,미국,"미국,뉴질랜드,영국",,CGV아트하우스,15세이상관람가,"드라마,멜로/로맨스",데릭 시엔프랜스,"마이클 패스벤더,알리시아 비칸데르,레이첼 와이즈,에밀리 바클레이,리온 포드","마이클 패스벤더, 알리시아 비칸데르, 레이첼 와이즈",2017,True,True,82177
5624,너와 100번째 사랑,2017-05-25,632544500,0.001,632544500,80415,80415,140,3888,일본,일본,,(주)디스테이션,12세이상관람가,"드라마,멜로/로맨스",츠키카와 쇼,"사카구치 켄타로,미와,류세이 료","사카구치 켄타로, 미와, 류세이 료",2017,True,True,78930
5625,패트리어트 데이,2017-04-06,593983618,0.001,593983618,74827,74827,375,6326,미국,미국,,(주)이수C&E,15세이상관람가,"드라마,스릴러",피터 버그,"마크 월버그,존 굿맨,케빈 베이컨,J.K. 시몬스,미셸 모나한","마크 월버그, 존 굿맨, 케빈 베이컨",2017,True,True,66074
5626,파워레인져스: 더 비기닝,2017-04-20,576103561,0.001,576103561,73675,73675,479,7860,미국,미국,,(주)넥스트엔터테인먼트월드(NEW),12세이상관람가,"액션,어드벤처,판타지,SF",딘 이스라엘리트,"데이커 몽고메리,나오미 스콧,RJ 사일러,베키 지,루디 린,빌 헤이더,브라이언 크랜스톤,엘리자베스 뱅크스,데이빗 덴맨,안잘리 자이,캐롤라인 케이브","데이커 몽고메리, 나오미 스콧, RJ 사일러",2017,True,True,72495
5627,바다 탐험대 옥토넛 시즌4: 더 파이널,2017-06-01,478083000,0.001,478083000,73306,73306,167,2831,영국,영국,,와이드 릴리즈(주),전체관람가,"애니메이션,어드벤처",다라 오코넬,"하성용,정재헌,엄상현,윤승희,김정은","하성용, 정재헌, 엄상현",2017,True,True,72926
5628,오두막,2017-04-20,559079300,0.001,559079300,72849,72849,396,5486,미국,미국,,판씨네마(주),12세이상관람가,드라마,스튜어트 하젤딘,"샘 워싱턴,옥타비아 스펜서,라다 미첼,라이언 로빈스,그레이엄 그린,데릭 해밀턴,에밀리 홈즈","샘 워싱턴, 옥타비아 스펜서, 라다 미첼",2017,True,True,72849
5629,더 서클,2017-06-22,536591400,0.001,536591400,65910,65910,169,4909,미국,미국,,씨네그루(주)키다리이엔티,12세이상관람가,"드라마,SF,스릴러",제임스 폰솔트,"엠마 왓슨,톰 행크스",,2017,True,False,65910
5630,극장판 쿠로코의 농구 라스트 게임,2017-04-27,460086500,0.001,460086500,62033,62033,96,3065,일본,일본,,(주)박수엔터테인먼트,12세이상관람가,애니메이션,타다 슌스케,오노 켄쇼,,2017,True,False,62033
5631,바다 탐험대 옥토넛 시즌4: 바다 괴물 대소동,2017-01-25,404982500,0.001,404982500,60944,60944,145,2646,영국,영국,,와이드 릴리즈(주),전체관람가,"애니메이션,어드벤처",다라 오코넬,"하성용,정재헌,엄상현,윤승희,김정은,김율","하성용, 정재헌, 엄상현",2017,True,True,60935
5632,꼬마참새 리차드: 아프리카 원정대,2017-06-15,434251400,0.001,434251400,58384,58384,319,2471,독일,"독일,벨기에,룩셈부르크,노르웨이",,씨네그루(주)키다리이엔티,전체관람가,애니메이션,"토비 젠켈,레자 메마리","김서영,구민선,변영희,사문영,임채헌,황창영,이현","김서영, 구민선, 변영희",2017,True,True,58384
5633,나의 붉은고래,2017-06-15,440118000,0.001,440118000,57169,57169,390,5596,중국,중국,,(주)영화사 빅,전체관람가,"애니메이션,판타지","양선,장춘",,,2017,True,False,56108
5634,밤의 해변에서 혼자,2017-03-23,438124100,0.001,438124100,56907,56907,133,4272,한국,한국,(주)영화제작전원사,"(주)영화제작전원사 ,(주)콘텐츠판다",청소년관람불가,드라마,홍상수,"김민희,정재영,서영화,권해효,송선미,문성근,안재홍,박예주,박홍열,신선,공민정,안선영,강태우","김민희, 정재영, 서영화",2017,True,True,56907
5635,맨체스터 바이 더 씨,2017-02-15,446621000,0.001,446621000,55658,55658,109,2922,미국,미국,,THE 픽쳐스,15세이상관람가,드라마,케네스 로너건,"케이시 애플렉,미쉘 윌리엄스,카일 챈들러,테이트 도노반,조쉬 해밀톤,매튜 브로데릭,그레첸 몰,톰 켐프,카라 헤이워드","케이시 애플렉, 미쉘 윌리엄스, 카일 챈들러",2017,True,True,53779
5636,옥자,2017-06-29,372557400,0.0,372557400,49479,49479,96,684,미국,미국,"플랜 비 엔터테인먼트,(주)루이스 픽쳐스",(주)넥스트엔터테인먼트월드(NEW),12세이상관람가,"어드벤처,액션,드라마",봉준호,"틸다 스윈튼,제이크 질렌할,폴 다노,안서현,변희봉,스티븐 연,릴리 콜린스,셜리 헨더슨,다니엘 헨셜,데본 보스틱,최우식,지안카를로 에스포지토,켈리 맥도날드,윤제문,최희서,이정은,이봉련,박근록,윤경호,안성봉,한이진,곽진석","틸다 스윈튼, 제이크 질렌할, 폴 다노",2017,True,True,49479
5637,미스 슬로운,2017-03-29,381394300,0.0,381394300,48051,48051,104,3066,미국,"미국,프랑스",,(주)메인타이틀픽쳐스,15세이상관람가,"드라마,스릴러",존 매든,"제시카 차스테인,구구 바샤-로,알리슨 필,마크 스트롱,제이크 레이시,마이클 스털버그,더글라스 스미스,존 리스고,샘 워터스톤","제시카 차스테인, 구구 바샤-로, 알리슨 필",2017,True,True,48051
5638,매기스 플랜,2017-01-25,382361800,0.0,382361800,47668,47668,94,2215,미국,미국,,오드,15세이상관람가,"코미디,멜로/로맨스",레베카 밀러,"에단 호크,줄리안 무어,그레타 거윅,트래비스 핌멜,빌 헤이더,마야 루돌프","에단 호크, 줄리안 무어, 그레타 거윅",2017,True,True,47668
5639,"그래, 가족",2017-02-15,350293300,0.0,350293300,46623,46623,361,5294,한국,한국,"(주)청우필름,(주)26컴퍼니,(주)데이드림",월트디즈니컴퍼니코리아 유한책임회사,12세이상관람가,코미디,마대윤,"이요원,정만식,이솜,정준원,윤혜리,임지아,박준영,안성일,윤경호,정애화,김영재,박성연,최현종,박혁민","이요원, 정만식, 이솜",2017,False,False,46623
5640,심야식당 2,2017-06-08,358005400,0.0,358005400,45593,45593,235,3757,일본,일본,,(주)디스테이션,12세이상관람가,드라마,마츠오카 조지,"코바야시 카오루,오다기리 죠",,2017,True,False,45379
5641,리틀 프린세스 소피아: 엘레나와 비밀의 아발로 왕국,2017-04-13,317454000,0.0,317454000,45484,45484,164,2208,미국,미국,,월트디즈니컴퍼니코리아 유한책임회사,전체관람가,"애니메이션,어드벤처,가족,판타지,뮤지컬",제이미 미첼,"아리엘 윈터,아이미 카레로,제인 폰다,사라 라미레즈,다시 로즈 번즈,타일러 머나,트래비스 윌링엄,바바라 디릭슨,제나 오르테가,크리스티앙 란스,김미랑,이재현,안경진,윤소라,서지연,연정흠,박조호,홍수정,여민정,이장원","아리엘 윈터, 아이미 카레로, 제인 폰다",2017,True,False,45484
5642,레이디버그,2017-02-22,310291500,0.0,310291500,41041,41041,172,2158,한국,"한국,프랑스,일본",(주)삼지애니메이션,(주)삼지애니메이션,전체관람가,"애니메이션,액션,어드벤처",장성,"여민정,남도형,홍시호,이민규","여민정, 남도형, 홍시호",2017,False,True,41041
5643,스노든,2017-02-09,325020562,0.0,325020562,40040,40040,278,2976,프랑스,"프랑스,독일,미국",,(주)리틀빅픽쳐스,15세이상관람가,"스릴러,드라마",올리버 스톤,"조셉 고든 레빗,쉐일린 우들리,재커리 퀸토,니콜라스 케이지,스콧 이스트우드,티모시 올리펀트,리스 이판,조엘리 리처드슨,멜리사 레오,톰 윌킨슨","조셉 고든 레빗, 쉐일린 우들리, 재커리 퀸토",2017,False,True,36485
5644,흑집사 -북 오브 더 아틀란틱-,2017-04-13,285103000,0.0,285103000,37954,37954,94,1910,일본,일본,,(주)박수엔터테인먼트,15세이상관람가,"애니메이션,판타지,드라마,액션",아베 노리유키,"오노 다이스케,사카모토 마아야",,2017,False,False,37954
5645,킹 오브 프리즘 - 프라이드 더 히어로,2017-06-10,305724000,0.0,305724000,36272,36272,92,1987,일본,일본,,"동우에이앤이(주),(주)박수엔터테인먼트",15세이상관람가,애니메이션,히시다 마사카즈,"남도형,엄상현,이원찬,정주원,이정민,한신,황창영,김현욱,탁원정,이경태,심승한,사성웅,이규창","남도형, 엄상현, 이원찬",2017,True,True,36272
5646,반지의 제왕 : 반지원정대 (확장판),2017-01-11,470027900,0.001,470027900,35758,35758,74,1112,뉴질랜드,"뉴질랜드,미국",,(주)디스테이션,12세이상관람가,"판타지,어드벤처,액션",피터 잭슨,"일라이저 우드,이안 맥켈런,리브 타일러,비고 모텐슨,숀 애스틴,케이트 블란쳇,존 라이스 데이비스,빌리 보이드,도미니크 모나한,올랜도 블룸,크리스토퍼 리,휴고 위빙,숀 빈,이안 홈,앤디 서키스","일라이저 우드, 이안 맥켈런, 리브 타일러",2017,True,True,35758
5647,다크 하우스,2017-06-22,286638100,0.0,286638100,35270,35270,278,2995,미국,미국,,"(주)스톰픽쳐스코리아,(주)디스테이션",청소년관람불가,"공포(호러),스릴러",대런 린 보우즈만,"제시카 론디스,조 앤더슨,린 샤예","제시카 론디스, 조 앤더슨, 린 샤예",2017,False,False,35270
5648,꼬마돼지 베이브의 대모험,2017-06-15,245394500,0.0,245394500,35147,35147,312,2100,독일,독일,,(주)박수엔터테인먼트,전체관람가,"애니메이션,어드벤처",테레사 스트로젝,,,2017,False,False,35147
5649,키코리키: 황금모자의 비밀,2017-01-25,248074100,0.0,248074100,35111,35111,211,1936,러시아,러시아,,(주)영화사 빅,전체관람가,애니메이션,데니스 체르노프,,,2017,False,False,35111
5650,파운더,2017-04-20,275304900,0.0,275304900,34593,34593,288,3536,미국,미국,,CGV아트하우스,15세이상관람가,드라마,존 리 행콕,마이클 키튼,,2017,False,False,34517
5651,7번째 내가 죽던 날,2017-05-31,261751400,0.0,261751400,34497,34497,230,2583,미국,미국,,씨네그루(주)키다리이엔티,15세이상관람가,"드라마,미스터리",라이 루소 영,"조이 도이치,할스톤 세이지,엘레나 캠푸리스,로건 밀러","조이 도이치, 할스톤 세이지, 엘레나 캠푸리스",2017,False,False,34179
5652,더 플랜,2017-04-20,263526895,0.0,263526895,34225,34225,156,2916,한국,한국,프로젝트 부,(주)엣나인필름,15세이상관람가,다큐멘터리,최진성,김어준,,2017,True,False,34225
5653,반지의 제왕 : 왕의 귀환 (확장판),2017-01-25,370268000,0.0,370268000,30349,30349,56,869,뉴질랜드,"뉴질랜드,미국",,(주)디스테이션,12세이상관람가,"판타지,어드벤처,액션",피터 잭슨,"일라이저 우드,이안 맥켈런,리브 타일러,비고 모텐슨,숀 애스틴,케이트 블란쳇,존 라이스 데이비스,빌리 보이드,도미니크 모나한,올랜도 블룸,크리스토퍼 리,휴고 위빙,숀 빈,이안 홈,앤디 서키스","일라이저 우드, 이안 맥켈런, 리브 타일러",2017,True,True,30349
5654,"나의 사랑, 그리스",2017-04-20,241875000,0.0,241875000,30181,30181,123,1801,그리스,그리스,,(주)팝엔터테인먼트,15세이상관람가,"드라마,멜로/로맨스",크리스토퍼 파파칼리아티스,"J.K. 시몬스,크리스토퍼 파파칼리아티스,안드레아 오스바트","J.K. 시몬스, 크리스토퍼 파파칼리아티스, 안드레아 오스바트",2017,False,True,30181
5655,너브,2017-01-11,239275800,0.0,239275800,29441,29441,151,2437,미국,미국,,(주)박수엔터테인먼트,15세이상관람가,"어드벤처,스릴러","헨리 유스트,아리엘 슐만","엠마 로버츠,줄리엣 루이스",,2017,False,False,29441
5656,걸 온 더 트레인,2017-03-09,222516500,0.0,222516500,29190,29190,331,4012,미국,미국,,씨제이이앤엠(주),청소년관람불가,"드라마,스릴러,미스터리",테이트 테일러,"에밀리 블런트,해일리 베넷,루크 에반스,레베카 퍼거슨,로라 프레폰,에드가 라미레즈,앨리슨 제니,저스틴 세럭스,리사 쿠드로","에밀리 블런트, 해일리 베넷, 루크 에반스",2017,False,True,27840
5657,데스노트: 더 뉴 월드,2017-03-29,220886363,0.0,220886363,28723,28723,309,3372,일본,일본,,(주)디스테이션,15세이상관람가,"범죄,드라마,스릴러",사토 신스케,"히가시데 마사히로,이케마츠 소스케,토다 에리카,스다 마사키,카와에이 리나","히가시데 마사히로, 이케마츠 소스케, 토다 에리카",2017,True,False,28723
5658,극장판 암살교실 : 365일의 시간,2017-03-23,210398500,0.0,210398500,28364,28364,98,1529,일본,일본,,(주)박수엔터테인먼트,12세이상관람가,애니메이션,키시 세이지,,,2017,False,False,28364
5659,스페이스 비트윈 어스,2017-03-16,215291361,0.0,215291361,28085,28085,370,4978,미국,미국,,씨네그루(주)키다리이엔티,12세이상관람가,"어드벤처,드라마,멜로/로맨스,SF",피터 첼섬,"게리 올드만,에이사 버터필드,칼라 구기노,브릿 로버트슨,B.D. 웡,자넷 몽고메리","게리 올드만, 에이사 버터필드, 칼라 구기노",2017,False,True,27847
5660,반지의 제왕 : 두개의 탑 (확장판),2017-01-18,350183800,0.0,350183800,27440,27440,58,683,뉴질랜드,"뉴질랜드,미국",,(주)디스테이션,12세이상관람가,"판타지,어드벤처,액션",피터 잭슨,"일라이저 우드,이안 맥켈런,리브 타일러,비고 모텐슨,숀 애스틴,케이트 블란쳇,존 라이스 데이비스,빌리 보이드,도미니크 모나한,올랜도 블룸,크리스토퍼 리,휴고 위빙,숀 빈,이안 홈,앤디 서키스","일라이저 우드, 이안 맥켈런, 리브 타일러",2017,True,True,27440
5661,마리안느와 마가렛,2017-04-20,192410400,0.0,192410400,27422,27422,64,1245,한국,한국,(주)기린제작사,(주)팝엔터테인먼트,전체관람가,다큐멘터리,윤세영,"마리안느 스퇴거,마가렛 피사렉,박정환","마리안느 스퇴거, 마가렛 피사렉, 박정환",2017,False,False,27039
5662,지니어스,2017-04-13,209372437,0.0,209372437,27167,27167,172,2309,영국,"영국,미국",,(주)라이크 콘텐츠,12세이상관람가,드라마,마이클 그랜다지,"콜린 퍼스,주드 로,니콜 키드먼,로라 린니,가이 피어스,도미닉 웨스트,바네사 커비,마크 아놀드","콜린 퍼스, 주드 로, 니콜 키드먼",2017,False,True,27167
5663,재키,2017-01-25,209985243,0.0,209985243,26788,26788,97,1628,칠레,"칠레,프랑스,미국",,그린나래미디어(주),15세이상관람가,드라마,파블로 라라인,"나탈리 포트만,피터 사스가드,그레타 거윅,빌리 크루덥,존 캐롤 린치,존 허트,맥스 카셀라,리차드 E. 그랜트,베스 그랜트,코리 존슨","나탈리 포트만, 피터 사스가드, 그레타 거윅",2017,False,False,26758
5664,아기돼지 3형제와 매직램프,2017-03-23,208444600,0.0,208444600,26670,26670,135,1388,중국,중국,,(주)팝엔터테인먼트,전체관람가,애니메이션,유위,,,2017,False,False,26670
5665,로스트 인 파리,2017-05-18,206811038,0.0,206811038,26004,26004,85,1614,프랑스,"프랑스,벨기에",,그린나래미디어(주),12세이상관람가,"멜로/로맨스,어드벤처","도미니크 아벨,피오나 고든","피오나 고든,도미니크 아벨",,2017,False,False,26004
5666,슈퍼 버드,2017-04-06,183154100,0.0,183154100,25964,25964,288,1858,멕시코,멕시코,,와이드 릴리즈(주),전체관람가,애니메이션,"리카르도 아나이즈,마이크 컨켈,라울 가르시아","에드워드 제임스 올모스,치치 마린,케이트 델 카스틸로","에드워드 제임스 올모스, 치치 마린, 케이트 델 카스틸로",2017,False,False,24799
5667,골드,2017-03-22,195316900,0.0,195316900,25612,25612,200,3102,미국,미국,,CGV아트하우스,15세이상관람가,"드라마,어드벤처",스티븐 개건,"매튜 매커너히,브라이스 달라스 하워드,에드가 라미레즈","매튜 매커너히, 브라이스 달라스 하워드, 에드가 라미레즈",2017,False,False,25595
5668,아우토반,2017-03-22,196841500,0.0,196841500,24983,24983,153,3489,영국,"영국,독일",,와이드 릴리즈(주),15세이상관람가,"액션,스릴러",에란 크리비,"니콜라스 홀트,펠리시티 존스,안소니 홉킨스,벤 킹슬리","니콜라스 홀트, 펠리시티 존스, 안소니 홉킨스",2017,False,True,23306
5669,언더더씨,2017-06-22,188582000,0.0,188582000,24603,24603,163,1056,미국,미국,,(주)팝엔터테인먼트,전체관람가,애니메이션,에반 트라멜,"김연우,황창영,김경희,이현","김연우, 황창영, 김경희",2017,False,False,24603
5670,언프렌드,2017-02-09,187802900,0.0,187802900,23688,23688,179,1749,독일,독일,,(주)크리픽쳐스,15세이상관람가,스릴러,시몬 베호벤,"알리시아 데브넘 캐리,리슬 알러스,윌리엄 모즐리,코너 파올로","알리시아 데브넘 캐리, 리슬 알러스, 윌리엄 모즐리",2017,False,False,23450
5671,파워배틀 와치카: 와치가면의 역습,2017-06-01,164805000,0.0,164805000,23294,23294,246,1728,한국,한국,(주)삼지애니메이션,(주)삼지애니메이션,전체관람가,애니메이션,"이영준,김래경","엄상현,전태열,정혜원","엄상현, 전태열, 정혜원",2017,True,True,21893
5672,지랄발광 17세,2017-06-28,147909600,0.0,147909600,20000,20000,81,1118,미국,미국,,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,15세이상관람가,"코미디,드라마",켈리 프레몬,"헤일리 스테인펠드,우디 해럴슨,카이라 세드윅,블레이크 제너,헤일리 루 리차드슨","헤일리 스테인펠드, 우디 해럴슨, 카이라 세드윅",2017,True,True,20000
5673,극장판 어드벤처 타임: 비밀의 아일랜드,2017-04-13,163679600,0.0,163679600,19986,19986,125,1009,미국,미국,,(주)팝엔터테인먼트,전체관람가,애니메이션,엘리자베스 이토,,,2017,False,False,19986
5674,슬립리스: 크리미널 나이트,2017-03-08,146025800,0.0,146025800,18740,18740,158,2787,미국,미국,,(주)미디어로그,15세이상관람가,"액션,범죄,스릴러",바란 보 오다르,"제이미 폭스,미셸 모나한,데이빗 하버,더못 멀로니,가브리엘 유니온,스쿳 맥네이리,티.아이.,살라 베이커,스티브 콜터,릭 레잇츠","제이미 폭스, 미셸 모나한, 데이빗 하버",2017,False,True,18740
5675,오즈의 마법사 2,2017-05-03,143173700,0.0,143173700,18535,18535,142,908,멕시코,멕시코,,㈜코리아스크린,전체관람가,"애니메이션,판타지,어드벤처",알버토 마르,,,2017,False,False,17956
5676,인카네이트,2017-05-25,142090200,0.0,142090200,18028,18028,229,2095,미국,미국,,판씨네마(주),15세이상관람가,스릴러,브래드 페이튼,"아론 에크하트,데이비드 매주즈",,2017,True,False,18028
5677,매직키드 보보,2017-03-01,124421200,0.0,124421200,16643,16643,219,1362,말레이시아,말레이시아,,(주)박수엔터테인먼트,전체관람가,애니메이션,니잠 라작,,,2017,False,False,15968
5678,링스,2017-04-06,136520300,0.0,136520300,16336,16336,123,1709,미국,미국,,(주)다자인소프트,15세이상관람가,공포(호러),하비에르 구티에레즈,"빈센트 도노프리오,자니 갈렉키,에이미 티가든,리지에 브로체레,알렉스 로,데이비드 밀러","빈센트 도노프리오, 자니 갈렉키, 에이미 티가든",2017,False,True,16199
5679,십계: 구원의 길,2017-04-13,104079500,0.0,104079500,15974,15974,97,1537,브라질,브라질,,씨네그루(주)키다리이엔티,전체관람가,드라마,알렉상드르 아반치니,"길례르미 윈터,세르지오 마로네,카밀라 로드리게즈,지젤 이티에","길례르미 윈터, 세르지오 마로네, 카밀라 로드리게즈",2017,False,False,15974
5680,로즈,2017-04-12,113253541,0.0,113253541,14955,14955,125,1659,아일랜드,아일랜드,,(주)박수엔터테인먼트,15세이상관람가,"멜로/로맨스,드라마",짐 쉐리단,"루니 마라,테오 제임스,에릭 바나,바네사 레드그레이브,잭 레이너,수잔 린치,폴린 맥린","루니 마라, 테오 제임스, 에릭 바나",2017,False,True,14955
5681,콜로설,2017-04-20,114967100,0.0,114967100,14687,14687,305,2964,캐나다,"캐나다,스페인",,(주)드림팩트엔터테인먼트,12세이상관람가,"액션,코미디,SF",나초 비갈론도,"앤 해서웨이,댄 스티븐스",,2017,False,False,14687
5682,개구리왕국 2,2017-03-23,99741700,0.0,99741700,14236,14236,171,819,중국,중국,,예지림엔터테인먼트,전체관람가,애니메이션,펭 페이,"사문영,이경태,임주현,홍진욱,윤세웅,이현","사문영, 이경태, 임주현",2017,False,True,14236
5683,랜드 오브 마인,2017-04-06,96337400,0.0,96337400,12846,12846,97,1474,덴마크,"덴마크,독일",,"(주)싸이더스,아이 엠",15세이상관람가,"드라마,전쟁",마틴 잔드블리엣,"미켈 보엘 폴스라르,루이스 호프만,조엘 바스만","미켈 보엘 폴스라르, 루이스 호프만, 조엘 바스만",2017,False,False,12026
5684,런던 프라이드,2017-04-27,97783200,0.0,97783200,12670,12670,37,820,영국,영국,,(주)영화사 진진,15세이상관람가,"코미디,드라마",매튜 워처스,"빌 나이,이멜다 스턴톤,도미닉 웨스트,패디 콘시딘,앤드류 스캇,조지 맥케이,조셉 길건","빌 나이, 이멜다 스턴톤, 도미닉 웨스트",2017,False,False,12670
5685,용순,2017-06-08,89451600,0.0,89451600,12139,12139,126,2337,한국,한국,(주)아토,롯데쇼핑㈜롯데엔터테인먼트,15세이상관람가,드라마,신준,"이수경,최덕문,박근록,김동영,장햇살,최여진,김한나,박운아,박지연,유리,윤혜인,윤혜인,최은화,이수정,이예진,이나라,김영재,김응수,박지연,김자영,한사명","이수경, 최덕문, 박근록",2017,False,False,11837
5686,쿵푸 요가,2017-03-29,91563500,0.0,91563500,12048,12048,108,1291,중국,"중국,인도",,브릿지웍스 엔터테인먼트(주),12세이상관람가,"액션,어드벤처,코미디",당계례,"성룡,레이",,2017,False,False,12048
5687,아뉴스 데이,2017-03-30,83570100,0.0,83570100,11611,11611,40,700,프랑스,프랑스,,찬란,15세이상관람가,드라마,앤 폰테인,루 드 라쥬,,2017,False,False,11314
5688,키즈모노가타리 III : 냉혈편,2017-05-18,88623000,0.0,88623000,11302,11302,81,1055,일본,일본,,(주)박수엔터테인먼트,15세이상관람가,"애니메이션,드라마,액션,판타지",신보 아키유키,"카미야 히로시,사카모토 마아야,호리에 유이,사쿠라이 타카히로","카미야 히로시, 사카모토 마아야, 호리에 유이",2017,False,True,11302
5689,세일즈맨,2017-05-11,84774800,0.0,84774800,11203,11203,55,873,이란,"이란,프랑스",,찬란,15세이상관람가,드라마,아쉬가르 파라디,"샤하브 호세이니,타라네 앨리두스티",,2017,False,False,10436
