,영화명,개봉일,매출액,매출액점유율,누적매출액,관객수,누적관객수,스크린수,상영횟수,대표국적,국적,제작사,배급사,등급,장르,감독,배우,main_actors,개봉일_int,director_involved,actor_involved,전국관객수
54,서약,2012-03-14,1810275500,0.003,1810275500,239483,239483,314,14635,미국,"미국,프랑스,브라질",,한국소니픽쳐스릴리징브에나비스타영화㈜,15세이상관람가,"드라마,멜로/로맨스",마이클 수치,"레이첼 맥아덤즈,채닝 테이텀",,2012,False,False,239483
55,오싹한 연애,2011-12-01,1721163500,0.003,22010977000,231358,3009356,243,7444,한국,한국,상상필름(주),씨제이이앤엠(주),12세이상관람가,"공포(호러),멜로/로맨스,코미디",황인호,"손예진,이민기,신동훈,김혜숙,조아라,박재우,태리,최우진,이현진,이미도,송지인,황승언,김현숙","손예진, 이민기, 신동훈",2011,False,True,231358
56,코알라 키드 : 영웅의 탄생,2012-01-12,1434535500,0.002,1439227500,205579,206344,234,6761,한국,"한국,미국","㈜디지아트프로덕션,더 애니메이션 픽쳐 컴퍼니",롯데쇼핑㈜롯데엔터테인먼트,전체관람가,애니메이션,이경호,"태민,써니,윤다훈,최정현","태민, 써니, 윤다훈",2012,True,False,205579
57,언더월드 4: 어웨이크닝,2012-02-22,1861948000,0.003,1861948000,200038,200038,343,13363,미국,미국,,한국소니픽쳐스릴리징브에나비스타영화㈜,청소년관람불가,"액션,판타지,SF,공포(호러)","만스 말린드,비욘 스테인","케이트 베킨세일,테오 제임스,인디아 아이슬리,마이클 엘리","케이트 베킨세일, 테오 제임스, 인디아 아이슬리",2012,False,True,200038
58,해피 피트 2,2012-02-02,1463939000,0.002,1463939000,185744,185744,315,7802,호주,호주,,워너브러더스 코리아(주),전체관람가,"애니메이션,코미디,가족",조지 밀러,"일라이저 우드,핑크,로빈 윌리엄스,엘리자베스 데일리,브래드 피트,맷 데이먼","일라이저 우드, 핑크, 로빈 윌리엄스",2012,True,True,185420
59,라이온 킹,2019-07-17,1827751500,0.003,3162261000,170840,296375,244,6378,미국,미국,월트디즈니,브에나비스타인터내셔널코리아/월트디즈니,"연소자관람가,전체관람가","애니메이션,어드벤처,가족,뮤지컬,드라마","로저 알러스,롭 민코프","매튜 브로데릭,모이라 켈리,조나단 테일러 토마스,장광","매튜 브로데릭, 모이라 켈리, 조나단 테일러 토마스",2019,False,False,4743184
60,세이프 하우스,2012-02-29,1223151500,0.002,1223151500,163729,163729,292,10800,미국,"미국,남아프리카공화국",,유니버설픽쳐스인터내셔널 코리아(유),15세이상관람가,"액션,스릴러",다니엘 에스피노사,"덴젤 워싱턴,라이언 레이놀즈",,2012,True,False,163729
61,다크아워,2012-01-05,1319649000,0.002,1319649000,162604,162604,324,10423,미국,미국,,이십세기폭스코리아(주),12세이상관람가,"SF,액션",크리스 고락,"에밀 허쉬,올리비아 썰비",,2012,False,False,162604
62,미녀와 야수,2014-06-18,1495523500,0.002,1495523500,145235,145235,221,4612,미국,미국,월트디즈니,"워너브러더스 코리아(주),한국소니픽쳐스릴리징브에나비스타영화㈜","연소자관람가,전체관람가","애니메이션,드라마,가족","게리 트러스데일,커크 와이즈","페이지 오하라,로비 벤슨",,2014,False,False,292115
63,철의 여인,2012-02-23,1079070500,0.002,1079070500,144338,144338,162,5514,영국,영국,,필라멘트픽쳐스,12세이상관람가,드라마,필리다 로이드,"메릴 스트립,짐 브로드벤트",,2012,False,False,144338
