,N_movie_code,title,comeout_date,expert_rating,starring_actors,running_times,directors,audience_rating,rating_audiences
82,118395,와일드,-,7.25,"리즈 위더스푼, 로라 던, 토머스 새도스키",119분,장 마크 발레,8.906976744186046,43
83,109642,더 이퀄라이저,-,6.25,"덴젤 워싱턴, 콜로이 모레츠, 마튼 초카스",131분,안톤 후쿠아,8.136363636363637,22
84,118367,세인트 빈센트,2014,6.19,"빌 머레이(세인트 빈센트 반 누이스), 나오미 왓츠(다카), 멜리사 맥카시(매기)",102분,데오도르 멜피,8.275862068965518,29
85,118957,모데카이,2015,4.65,"조니 뎁(찰리 모데카이), 기네스 팰트로(조한나), 이완 맥그리거(마트랜드)",106분,데이빗 코엡,8.225563909774436,133
86,118361,엑스 마키나,2015,7.05,"도널 글리슨(칼렙), 알리시아 비칸데르(에이바), 오스카 아이삭(네이든)",108분,알렉스 가랜드,7.290322580645161,124
87,118347,타임 패러독스,2014,6.00,"에단 호크, 노아 테일러(Mr.로버트슨), 사라 스누크",97분,"마이클 스피어리그, 피터 스피어리그",7.672131147540983,61
88,118994,피치 퍼펙트: 언프리티 걸즈,2015,5.75,"안나 켄드릭(베카), 헤일리 스테인펠드(에밀리), 레벨 윌슨(팻 에이미)",114분,엘리자베스 뱅크스,8.37704918032787,61
89,123284,위자,-,2.0,"올리비아 쿡, 다렌 카가소프, 아나 코토",89분,스틸즈 화이트,6.859375,64
90,127364,기생수 파트2,Parasyte: Part 2,7.17,"소메타니 쇼타(이즈미 신이치), 아베 사다오(오른쪽이), 후카츠 에리(타미야 료코)",118분,야마자키 다카시,7.8,55
91,113230,위아영,2014,6.86,"벤 스틸러(조쉬), 나오미 왓츠(코넬리아), 아만다 사이프리드(다비)",97분,노아 바움백,7.875,48
92,125443,드래곤 블레이드: 천장웅사,Dragon Blade,4.33,"성룡(후오안), 존 쿠삭(루시우스), 애드리언 브로디(티베리우스)",133분,이인항,8.89655172413793,29
93,117786,나이트 크롤러,2014,7.31,제이크 질렌할(루이스 블룸),117분,댄 길로이,7.9655172413793105,29
94,135342,더 라스트: 나루토 더 무비,2014,-,"타케우치 준코(우즈마키 나루토 목소리), 나카무라 치에(하루노 사쿠라 목소리), 모리쿠보 쇼타로(나라 시카마루 목소리)",114분,코바야시 츠네오,8.976525821596244,213
95,133381,바다 탐험대 옥토넛 스페셜,2013,-,"하성용, 정재헌, 엄상현",70분,니키 팰런,7.529411764705882,68
96,124290,엘리노어 릭비: 그남자 그여자,2014,6.45,"제임스 맥어보이(코너 러들로), 제시카 차스테인(엘레노어 릭비)",122분,네드 벤슨,7.4423076923076925,52
97,109169,송 원,2014,5.56,"앤 해서웨이(프래니), 자니 플린(제임스), 메리 스틴버겐(프래니 엄마)",88분,케이트 베커 플로이랜드,6.148148148148148,27
98,124288,한 번 더 해피엔딩,-,4.94,"휴 그랜트, 마리사 토메이, 앨리슨 제니",106분,마크 로렌스,8.047619047619047,21
99,128265,약장수,2014,5.38,"김인권(일범), 박철민(철중), 이주실(옥님)",104분,조치언,8.73469387755102,49
100,115977,베테랑,2015,7.50,"황정민(서도철), 유아인(조태오), 유해진(최상무)",123분,류승완,9.25904317386231,3428
101,121048,암살,2015,6.57,"전지현(안옥윤), 이정재(염석진), 하정우(하와이 피스톨)",139분,최동훈,9.101088201603666,3492
102,121788,내부자들,2015,6.63,"이병헌(안상구), 조승우(우장훈), 백윤식(이강희)",130분,우민호,9.09490639965172,2297
103,121922,사도,-,7.54,"송강호, 유아인, 문근영",125분,이준익,8.389521640091116,1756
104,95541,미션 임파서블: 로그네이션,2015,7.54,"톰 크루즈(에단 헌트), 제레미 레너(윌리엄 브랜트), 사이먼 페그(벤지 던)",131분,크리스토퍼 맥쿼리,8.909564570152586,2687
105,120157,검은 사제들,2015,6.23,"김윤석(김신부), 강동원(최부제)",108분,장재현,8.584792396198099,1999
106,100647,히말라야,2015,5.63,"황정민(엄홍길), 정우(박무택)",124분,이석훈,8.94204081632653,1225
107,115622,인사이드 아웃,2015,7.88,"에이미 포엘러(조이/기쁨 목소리), 필리스 스미스(슬픔/새드니스 목소리), 민디 캘링(까칠/디스거스트 목소리)",102분,피트 닥터,9.113006396588487,938
108,129049,마션,2015,7.91,"맷 데이먼(마크 와트니), 제시카 차스테인(멜리사 루이스), 세바스찬 스탠(크리스 벡)",144분,리들리 스콧,8.774937343358395,1995
109,118917,인턴,2015,6.25,"앤 해서웨이(줄스 오스틴), 로버트 드 니로(벤 휘태커)",121분,낸시 마이어스,9.043558850787766,1079
