,N_movie_code,title,comeout_date,expert_rating,starring_actors,running_times,directors
110,69956,터미네이터 제니시스,2015,5.81,"아놀드 슈왈제네거(터미네이터), 제이슨 클락(존 코너), 에밀리아 클라크(사라 코너)",125분,앨런 테일러
111,144330,앤트맨과 와스프,2018,6.13,"폴 러드(스캇 랭 / 앤트맨), 에반젤린 릴리(호프 반 다인 / 와스프), 마이클 더글라스(행크 핌 박사)",118분,페이튼 리드
112,100072,스타워즈: 깨어난 포스,2015,7.55,"데이지 리들리(레이), 존 보예가(핀), 오스카 아이삭(포 다메론)",135분,J.J. 에이브럼스
113,129408,메이즈 러너: 스코치 트라이얼,2015,6.56,"딜런 오브라이언(토마스), 토마스 생스터(뉴트), 카야 스코델라리오(트리사)",132분,웨스 볼
114,124201,탐정 : 더 비기닝,2015,5.90,"권상우(강대만), 성동일(노태수)",120분,김정훈
115,191634,미니언즈2,2020,-,"피에르 꼬팽(미니언즈 목소리), 스티브 카렐(그루 목소리)",-,카일 발다
116,129050,뷰티 인사이드,2015,5.47,"한효주(홍이수), 김대명(우진1), 도지한(우진18)",127분,백종열
117,99701,007 스펙터,2015,5.69,"다니엘 크레이그(제임스 본드), 레아 세이두(매들린 스완), 크리스토프 왈츠(오버하우서)",148분,샘 멘데스
118,134982,더 폰,2015,5.20,"손현주(고동호), 엄지원(조연수), 배성우(도재현)",114분,김봉주
119,127496,대호,The Tiger,7.08,최민식(천만덕),139분,박훈정
120,129051,성난 변호사,2015,6.65,"이선균(변호성), 김고은(진선민), 임원희(박사무장)",117분,허종호
121,134960,그놈이다,2015,6.67,"주원(장우), 유해진(민약국), 이유영(시은)",109분,윤준형
122,129406,미쓰 와이프,2015,6.17,"엄정화(연우), 송승헌(성환)",125분,강효진
123,122596,몬스터 호텔 2,2015,6.00,"아담 샌들러(드락 목소리), 셀레나 고메즈(마비스 목소리), 케빈 제임스(프랑켄슈타인 목소리)",89분,젠디 타타코브스키
124,122984,손님,2015,6.66,"류승룡(우룡), 이성민(촌장), 천우희(미숙)",107분,김광태
