,audience_rating,rating_audiences
417,9.454810495626822,343
418,8.794642857142858,560
419,8.977353992848629,839
420,8.644,750
421,8.327044025157234,159
422,8.617391304347827,460
423,8.393939393939394,561
424,7.361739130434783,575
425,8.030211480362539,662
426,8.382857142857143,525
427,8.513994910941475,393
428,8.647058823529411,34
429,8.811145510835914,646
430,4.455172413793103,435
431,8.589655172413794,290
432,8.943722943722944,231
433,7.874659400544959,367
434,9.198776758409785,327
435,8.374468085106383,235
436,7.563775510204081,392
437,7.102189781021898,137
438,8.748837209302325,215
439,-,-
440,-,-
441,9.046511627906977,129
442,8.642105263157895,190
443,8.472527472527473,91
444,8.816964285714286,224
445,9.276478679504814,727
446,7.516129032258065,248
447,9.441176470588236,68
448,-,-
449,8.137362637362637,182
450,8.810344827586206,232
451,9.318181818181818,22
452,8.26056338028169,284
453,8.89090909090909,110
454,9.20253164556962,79
455,8.440677966101696,59
456,8.26984126984127,63
457,8.492537313432836,67
458,8.221518987341772,158
459,9.025316455696203,158
460,-,-
461,9.663636363636364,110
462,8.287234042553191,188
463,8.74074074074074,27
464,7.726495726495727,234
465,7.761904761904762,42
466,8.859649122807017,57
467,8.766742338251987,5286
468,9.2,5
469,7.911764705882353,102
470,9.330724070450097,5110
471,8.795154185022026,9080
472,8.94364680545585,2786
473,9.320817490494296,2104
474,7.542178323545115,3746
475,9.095669036845507,1547
476,8.748452264581298,3069
477,9.030628945522562,4277
478,8.346560846560847,1512
479,8.811791383219955,2205
480,8.154387611450023,2131
481,8.793984962406014,3325
482,9.257869249394673,826
483,8.561823802163833,1294
484,8.194319880418535,669
485,8.210034013605442,1176
486,9.273395394414504,2041
487,7.72676282051282,1248
488,8.01030303030303,1650
489,8.909090909090908,77
490,7.884267631103074,553
491,8.524390243902438,738
492,8.4784,625
493,6.778050778050778,1221
494,7.543103448275862,696
495,8.150684931506849,657
496,7.827302631578948,608
497,7.609907120743034,323
498,8.071090047393366,422
499,8.642105263157895,285
500,9.330445544554456,808
501,9.276190476190477,945
502,7.569288389513108,267
503,8.01736111111111,288
504,8.035911602209945,362
505,8.725,360
506,8.224669603524228,454
507,8.538461538461538,65
508,9.121951219512194,410
509,8.2986301369863,365
510,9.00152207001522,657
511,8.689473684210526,190
512,8.115,200
513,9.169934640522875,459
514,8.624223602484472,322
515,9.18450184501845,542
516,7.2898550724637685,276
517,8.306167400881057,454
518,9.14655172413793,116
519,8.703389830508474,118
520,6.714285714285714,182
521,7.955555555555556,270
522,8.88,100
523,9.649484536082474,291
524,7.375,216
525,7.905109489051095,137
526,8.56637168141593,226
527,8.53896103896104,154
528,9.168,125
529,8.40379403794038,369
530,9.153846153846153,65
531,8.8125,112
532,8.0,147
533,8.821138211382113,123
534,-,-
535,7.986301369863014,73
536,9.77710843373494,166
537,8.176991150442477,113
538,-,-
539,8.317073170731707,328
540,8.928571428571429,56
541,7.4393939393939394,132
542,9.415094339622641,53
543,8.0,1
544,8.905405405405405,74
545,9.88888888888889,36
546,9.404761904761905,42
547,-,-
548,7.8,45
549,8.866666666666667,60
550,-,-
551,-,-
552,8.55,100
553,8.6,5
554,8.418604651162791,43
555,8.12280701754386,57
556,-,-
557,7.894736842105263,76
558,8.376811594202898,69
559,8.368421052631579,38
560,7.153846153846154,26
561,7.304347826086956,69
562,-,-
563,9.198528235482323,6251
564,8.635820234669028,4517
565,8.201442841287458,1802
566,8.64006139677667,1303
567,9.184284617353468,3907
568,9.160084033613446,2380
569,9.222732491389207,1742
570,7.644761904761904,1050
571,9.146086956521739,1150
572,9.029113924050632,790
573,8.192719486081371,934
574,8.50989010989011,910
575,8.930516953863258,1799
576,8.473394495412844,545
577,9.052009456264775,846
578,6.530805687203792,422
579,8.916932907348242,939
580,7.919184290030212,1324
581,8.142,500
582,8.625824693685203,1061
583,7.064593301435407,836
584,7.7657657657657655,222
585,8.246355685131196,686
586,6.505415162454874,554
587,9.0,8
