,aud_nationwide,log_aud
842,3657536,15.112300254616766
471,8539495,15.960212430526838
732,49574,10.811221781727165
771,676161,13.424186492348634
397,1675798,14.331800027700769
375,54144,10.899402442965895
39,351208,12.76913391952694
341,142577,11.86763748363107
808,101293,11.525772586170962
340,146548,11.895108298826536
62,170235,12.04493511440335
329,331877,12.712519697325533
276,68815,11.139177023413632
559,50783,10.835316931890924
461,62033,11.035421780492664
630,94179,11.452952505775578
880,248320,12.422473515976991
804,104408,11.556061579847364
230,445009,13.005849785662964
511,407727,12.918353111780114
782,323098,12.685710961759384
220,820800,13.618034753398645
110,3239371,14.990889733119246
472,7257973,15.797611146715164
425,351276,12.76932751824296
460,65910,11.096045454046765
679,1167150,13.970075437713184
193,46781,10.753232416566384
747,9577981,16.07497737617005
208,1426873,14.170995894600738
837,5247794,15.47331835578686
649,36737,10.511539700563102
242,236971,12.375693049761127
674,1599290,14.285070338723841
458,72495,11.191272872947296
731,55919,10.93165949405824
363,69529,11.149499210708607
612,198013,12.196087964087033
67,142375,11.866219700749486
198,4703245,15.363763253978146
335,215159,12.279132568672345
676,1543800,14.24975746749789
283,55330,10.921070535892156
226,485083,13.092075289298485
357,80754,11.299162775461769
263,111902,11.625378767241278
912,56787,10.947062705274329
161,113404,11.638711943022303
564,5519169,15.52373786344221
142,319072,12.67317206162852
760,1624364,14.300626912519641
577,1504866,14.224214415656276
210,1278894,14.061506199878623
249,189047,12.149750940375394
791,197612,12.194060791196929
347,119964,11.69494697675518
417,448826,13.014390563776429
414,501286,13.12493207547283
777,428009,12.966899502380233
881,219078,12.29718310977072
766,1022790,13.838044745268855
675,1593386,14.281371869646552
498,863567,13.66882676475744
8,2801949,14.84582580442865
294,4662534,15.355069635132821
331,318977,12.672874278854149
30,573657,13.259786935715375
619,140849,11.855443673527805
93,55892,10.931176536200338
186,53233,10.882433783774625
508,448381,13.013398596401029
753,2516128,14.738231769912224
88,75598,11.233185106791227
240,278914,12.538658769559042
392,2128572,14.570961890316713
909,61784,11.031399710249099
7,3044134,14.928727018019785
775,466475,13.05295970726545
179,61046,11.019382957326796
252,169855,12.04270041089463
507,465265,13.050362414715568
454,82177,11.316630736538654
726,69834,11.153876276170031
553,62082,11.036211370833003
861,817547,13.614063672455664
670,2285143,14.64193916240916
204,2292929,14.645340597557777
334,219047,12.297041597644949
227,477848,13.077047969271732
758,1826714,14.418029282329128
626,101173,11.5245872018195
107,4968687,15.418666178059116
352,95542,11.467321220365207
660,4971261,15.419184088224748
652,35870,10.487656570526328
671,2087474,14.55146528053976
118,1593694,14.281565150016643
904,88055,11.385716898229187
757,1901684,14.458250367380233
908,63784,11.063257654182332
725,77794,11.261819586369898
188,51711,10.853425803822503
514,380581,12.849454311420994
476,4945484,15.413985394892418
182,56515,10.942261368624832
234,313164,12.654482293963651
592,540410,13.20008338970822
370,63800,11.06350846933288
645,46487,10.746927982596027
386,2570874,14.759756476879055
125,825517,13.623765135709924
611,213980,12.273637831692598
517,341614,12.741436723663304
849,1804112,14.405579061934766
646,40882,10.618445147359925
170,87426,11.378548000241908
686,723414,13.491736951367884
379,5137993,15.452173094253215
12,2191793,14.600230488284273
835,8020208,15.897474914668482
113,2744413,14.825077766706475
551,63258,11.054976880805004
632,86841,11.3718341393566
27,855980,13.660002290364945
541,97017,11.482641499861634
433,189620,12.152777348471949
187,52197,10.862780300954826
624,108959,11.598726943661342
162,112121,11.627333924254293
544,87841,11.383283641013714
680,1072006,13.885042217612147
267,90577,11.413955596667712
426,350129,12.766056936988404
673,1813594,14.410821069832974
348,117362,11.673018454253116
20,1512340,14.229168678167524
822,51065,10.8408546100122
34,465492,13.050850189729884
238,294320,12.592422889778655
207,1724927,14.36069528871155
151,184469,12.125236706665277
119,1584168,14.27556990633854
522,318737,12.672121590309345
404,930866,13.743870614643393
165,106030,11.571477351919846
456,72926,11.197200507360453
247,203775,12.224771722962654
906,73305,11.202384098372365
155,160148,11.983853666667097
323,551897,13.22111671364547
277,65887,11.095696432441821
302,2517805,14.738898048172993
787,262233,12.476988700515838
840,4573902,15.335877227887151
35,413577,12.93259899134577
