,영화명,감독,제작사,수입사,배급사,개봉일,영화유형,영화형태,국적,전국스크린수,전국매출액,전국관객수,서울매출액,서울관객수,장르,등급,영화구분
47,다이노 타임,"최윤석,존 카프카",주식회사 토이온,,씨제이이앤엠(주),2015-04-30,개봉영화,장편,한국,430,2099627100,283292,405724600,52818,애니메이션,전체관람가,일반영화
48,인서전트,로베르트 슈벤트케,,(유)조이앤컨텐츠그룹,롯데쇼핑㈜롯데엔터테인먼트,2015-03-25,개봉영화,장편,미국,480,2158449889,282662,650066489,81654,SF,15세이상관람가,일반영화
49,소수의견,김성제,(주)하리마오픽쳐스,,(주)시네마서비스,2015-06-24,개봉영화,장편,한국,398,2015282936,268255,692212236,90111,드라마,15세이상관람가,일반영화
50,백 투 더 비기닝,딘 이스라엘리트,,롯데쇼핑㈜롯데엔터테인먼트,롯데쇼핑㈜롯데엔터테인먼트,2015-02-26,개봉영화,장편,미국,423,2016298400,266389,586021800,74127,SF,15세이상관람가,일반영화
51,투모로우랜드,브래드 버드,월트 디즈니 픽쳐스,월트디즈니컴퍼니코리아(주),월트디즈니컴퍼니코리아(주),2015-05-27,개봉영화,장편,미국,435,2082869000,265744,682335600,83016,액션,12세이상관람가,일반영화
52,개를 훔치는 완벽한 방법,김성호,(주)삼거리픽쳐스,,"(주)리틀빅픽쳐스,(주)대명문화공장",2014-12-31,개봉영화,장편,한국,205,2018597565,262943,667976565,84221,드라마,전체관람가,독립/예술영화
53,명탐정 코난 : 코난 실종사건 - 사상 최악의 이틀,야마모토 야스이치로,,씨제이이앤엠(주),씨제이이앤엠(주),2015-02-12,개봉영화,장편,일본,187,1885543600,257381,356320500,48679,애니메이션,12세이상관람가,일반영화
54,언브로큰,안젤리나 졸리,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2015-01-07,개봉영화,장편,미국,401,1997947292,256475,605776392,75489,액션,15세이상관람가,일반영화
55,소셜포비아,홍석재,한국영화아카데미,,CGV아트하우스,2015-03-12,개봉영화,장편,한국,368,1950635763,248215,551485163,67072,스릴러,15세이상관람가,독립/예술영화
56,극장판 포켓몬스터 XY : 파괴의 포켓몬과 디안시,유야마 쿠니히코,,(주)포켓몬코리아,롯데쇼핑㈜롯데엔터테인먼트,2015-01-14,개봉영화,장편,일본,360,1653084000,233347,385135900,52427,애니메이션,전체관람가,일반영화
57,언프렌디드: 친구삭제,레오 가브리아제,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2015-05-07,개봉영화,장편,미국,386,1643911941,219678,347479141,45233,공포(호러),15세이상관람가,일반영화
58,노아의 방주: 남겨진 녀석들,토비 젠켈,,(주)스마일이엔티,씨네그루(주)다우기술,2015-04-30,개봉영화,장편,독일,436,1586417300,219621,362928700,48437,애니메이션,전체관람가,일반영화
59,연애의 맛,김아론,(주)청우필름,,"(주)와우픽쳐스,(주)쇼박스",2015-05-07,개봉영화,장편,한국,398,1706805153,212154,382376253,45698,멜로/로맨스,청소년관람불가,일반영화
60,버드맨,알레한드로 곤잘레스 이냐리투,,이십세기폭스코리아(주),이십세기폭스코리아(주),2015-03-05,개봉영화,장편,미국,380,1653103800,204742,855370200,103328,코미디,청소년관람불가,일반영화
