,영화명,감독,제작사,수입사,배급사,개봉일,영화유형,영화형태,국적,전국스크린수,전국매출액,전국관객수,서울매출액,서울관객수,장르,등급,영화구분
443,마이펫 오지,알베르토 로드리게즈,,㈜코리아스크린,롯데쇼핑㈜롯데엔터테인먼트,2017-02-16,개봉영화,장편,스페인,393,911866950,124112,227644200,29374,애니메이션,전체관람가,독립/예술영화
444,짱구는 못말려 극장판: 폭풍수면! 꿈꾸는 세계 대돌격,타카하시 와타루,,대원미디어(주),(주)넥스트엔터테인먼트월드(NEW),2017-01-25,개봉영화,장편,일본,334,905611600,119197,147031700,18053,애니메이션,전체관람가,일반영화
445,극장판 소드 아트 온라인 -오디널 스케일-,이토 토모히코,,(주)애니플러스,(주)박수엔터테인먼트,2017-02-23,개봉영화,장편,일본,124,897598000,117401,277569000,35430,애니메이션,12세이상관람가,일반영화
446,여교사,김태용,(주)외유내강,,필라멘트픽쳐스,2017-01-04,개봉영화,장편,한국,393,947192460,116851,299247560,36539,드라마,청소년관람불가,독립/예술영화
447,"서서평, 천천히 평온하게","홍주연,홍현정",재단법인 온누리선교재단(CGNTV),,커넥트픽쳐스(주),2017-04-26,개봉영화,장편,한국,234,833960900,115561,421385600,55651,다큐멘터리,전체관람가,독립/예술영화
448,베이블레이드 버스트 갓 : 갓 발키리의 탄생,야마구치 켄타로,,(주)영실업,씨제이이앤엠(주),2017-06-01,개봉영화,장편,일본,198,822068000,108730,146349000,19055,애니메이션,전체관람가,일반영화
449,루시드 드림,김준성,(주)로드픽쳐스,,(주)넥스트엔터테인먼트월드(NEW),2017-02-22,개봉영화,장편,한국,461,759481000,102170,225006500,29168,SF,15세이상관람가,일반영화
450,딥워터 호라이즌,피터 버그,,(주)우성엔터테인먼트,메가박스중앙(주)플러스엠,2017-01-25,개봉영화,장편,미국,433,775611543,100021,236676643,30009,액션,12세이상관람가,일반영화
451,라이언,가스 데이비스,,(주)우성엔터테인먼트,(주)이수C&E,2017-02-01,개봉영화,장편,호주,205,736334100,98660,268044000,35523,드라마,12세이상관람가,독립/예술영화
452,슈퍼 빼꼼: 스파이 대작전,임아론,(합)알지애니메이션스튜디오,,메가박스중앙(주)플러스엠,2017-05-03,개봉영화,장편,한국,358,689079900,96462,115854000,15029,애니메이션,전체관람가,일반영화
453,사일런스,마틴 스코세이지,,(주)메인타이틀픽쳐스,씨네그루(주)키다리이엔티,2017-02-28,개봉영화,장편,미국,342,700818300,94750,298799600,38435,드라마,15세이상관람가,독립/예술영화
454,파도가 지나간 자리,데릭 시엔프랜스,,그린나래미디어(주),CGV아트하우스,2017-03-08,개봉영화,장편,미국,276,634595200,82177,263656600,33216,드라마,15세이상관람가,독립/예술영화
455,너와 100번째 사랑,츠키카와 쇼,,(주)엔케이컨텐츠,(주)디스테이션,2017-05-25,개봉영화,장편,일본,140,620733200,78930,193154900,23328,드라마,12세이상관람가,독립/예술영화
456,바다 탐험대 옥토넛 시즌4: 더 파이널,다라 오코넬,,(주)얼리버드픽쳐스,와이드 릴리즈(주),2017-06-01,개봉영화,장편,영국,167,475425000,72926,117097000,17370,애니메이션,전체관람가,독립/예술영화
457,오두막,스튜어트 하젤딘,,판씨네마(주),판씨네마(주),2017-04-20,개봉영화,장편,미국,396,559079300,72849,281508200,35423,드라마,12세이상관람가,독립/예술영화
458,파워레인져스: 더 비기닝,딘 이스라엘리트,,(주)넥스트엔터테인먼트월드(NEW),(주)넥스트엔터테인먼트월드(NEW),2017-04-20,개봉영화,장편,미국,479,570203561,72495,181869261,22185,액션,12세이상관람가,일반영화
459,패트리어트 데이,피터 버그,,"(주)비트윈에프앤아이,(주)미니엄쇼",(주)이수C&E,2017-04-06,개봉영화,장편,미국,375,521471618,66074,173633018,21365,드라마,15세이상관람가,일반영화
460,더 서클,제임스 폰솔트,,(주)메인타이틀픽쳐스,씨네그루(주)키다리이엔티,2017-06-22,개봉영화,장편,미국,169,536591400,65910,204755100,24662,드라마,12세이상관람가,독립/예술영화
461,극장판 쿠로코의 농구 라스트 게임,타다 슌스케,,(주)애니플러스,(주)박수엔터테인먼트,2017-04-27,개봉영화,장편,일본,96,460086500,62033,211241000,27602,애니메이션,12세이상관람가,일반영화
462,바다 탐험대 옥토넛 시즌4: 바다 괴물 대소동,다라 오코넬,,(주)얼리버드픽쳐스,와이드 릴리즈(주),2017-01-25,개봉영화,장편,영국,145,404919500,60935,109442000,16138,애니메이션,전체관람가,독립/예술영화
463,꼬마참새 리차드: 아프리카 원정대,"토비 젠켈,레자 메마리",,(주)우성엔터테인먼트,씨네그루(주)키다리이엔티,2017-06-15,개봉영화,장편,독일,319,434251400,58384,84275800,10613,애니메이션,전체관람가,독립/예술영화
464,밤의 해변에서 혼자,홍상수,(주)영화제작전원사,,"(주)영화제작전원사 ,(주)콘텐츠판다",2017-03-23,개봉영화,장편,한국,133,438124100,56907,274602900,34539,드라마,청소년관람불가,독립/예술영화
465,나의 붉은고래,"양선,장춘",,(주)영화사 빅,(주)영화사 빅,2017-06-15,개봉영화,장편,중국,390,433137000,56108,135818200,16581,애니메이션,전체관람가,독립/예술영화
466,맨체스터 바이 더 씨,케네스 로너건,,(주)아이아스플러스,THE 픽쳐스,2017-02-15,개봉영화,장편,미국,109,431623800,53779,254824600,30655,드라마,15세이상관람가,독립/예술영화
467,옥자,봉준호,"플랜 비 엔터테인먼트,(주)루이스 픽쳐스",,(주)넥스트엔터테인먼트월드(NEW),2017-06-29,개봉영화,장편,미국,111,372557400,49479,235482900,29163,어드벤처,12세이상관람가,일반영화
468,미스 슬로운,존 매든,,(주)메인타이틀픽쳐스,(주)메인타이틀픽쳐스,2017-03-29,개봉영화,장편,미국,104,381394300,48051,199557400,24714,드라마,15세이상관람가,독립/예술영화
469,매기스 플랜,레베카 밀러,,오드,오드,2017-01-25,개봉영화,장편,미국,94,382361800,47668,258221100,31084,코미디,15세이상관람가,독립/예술영화
470,택시운전사,장훈,더램프(주),,(주)쇼박스,2017-08-02,개봉영화,장편,한국,1906,95282655549,12099614,22185947699,2729766,드라마,15세이상관람가,일반영화
471,신과함께-죄와 벌,김용화,"리얼라이즈픽쳐스(주),(주)덱스터스튜디오",,롯데쇼핑㈜롯데엔터테인먼트,2017-12-20,개봉영화,장편,한국,1912,68350496432,8539495,16324526082,1984373,판타지,12세이상관람가,일반영화
472,스파이더맨: 홈 커밍,존 왓츠,,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,2017-07-05,개봉영화,장편,미국,1965,59120173820,7257973,16753103620,1969107,액션,12세이상관람가,일반영화
473,범죄도시,강윤성,"(주)홍필름,(주)비에이엔터테인먼트",,"메가박스중앙(주)플러스엠,(주)키위미디어그룹",2017-10-03,개봉영화,장편,한국,1315,56077813249,6851297,14046905449,1670254,범죄,청소년관람불가,일반영화
474,군함도,류승완,"(주)외유내강,(주)필름케이",,씨제이이앤엠(주),2017-07-26,개봉영화,장편,한국,2027,50510565168,6592151,11091878868,1398649,액션,15세이상관람가,일반영화
475,청년경찰,김주환,"(주)무비락,(주)도서관옆스튜디오,베리굿스튜디오(주)",,롯데쇼핑㈜롯데엔터테인먼트,2017-08-09,개봉영화,장편,한국,1102,44241099316,5636259,9885607016,1207318,액션,15세이상관람가,일반영화
476,킹스맨: 골든 서클,매튜 본,,이십세기폭스코리아(주),이십세기폭스코리아(주),2017-09-27,개봉영화,장편,미국,1687,40987484736,4945484,12306638886,1419759,액션,청소년관람불가,일반영화
477,토르: 라그나로크,타이카 와이티티,,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2017-10-25,개봉영화,장편,미국,1640,39227691395,4853778,12078816595,1417791,액션,12세이상관람가,일반영화
478,꾼,장창원,(주)영화사두둥,,(주)쇼박스,2017-11-22,개봉영화,장편,한국,1314,31312029795,4018035,7524164445,931841,범죄,15세이상관람가,일반영화
479,강철비,양우석,"(주)와이웍스엔터테인먼트,(주)모팩",,(주)넥스트엔터테인먼트월드(NEW),2017-12-14,개봉영화,장편,한국,1426,31983233566,4012889,7836617016,954933,액션,15세이상관람가,일반영화
480,남한산성,황동혁,(주)싸이런픽쳐스,,씨제이이앤엠(주),2017-10-03,개봉영화,장편,한국,1229,31067321992,3829891,7375553392,889444,사극,15세이상관람가,일반영화
481,슈퍼배드 3,"피에르 꼬팽,카일 발다",,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2017-07-26,개봉영화,장편,미국,1057,24216987019,3324861,5558252919,723552,애니메이션,전체관람가,일반영화
482,아이 캔 스피크,김현석,"주식회사 영화사 시선,(주)명필름",,"롯데쇼핑㈜롯데엔터테인먼트,(주)리틀빅픽쳐스",2017-09-21,개봉영화,장편,한국,1140,25526451186,3279296,6406642486,796298,코미디,12세이상관람가,일반영화
483,덩케르크,크리스토퍼 놀란,,워너브러더스 코리아(주),워너브러더스 코리아(주),2017-07-20,개봉영화,장편,미국,1252,24550541348,2788732,9437670298,986967,액션,12세이상관람가,일반영화
484,살인자의 기억법,원신연,"(주)쇼박스,(주)더블유픽처스,(주)그린피쉬,영화사 이창",,(주)쇼박스,2017-09-06,개봉영화,장편,한국,1064,21361479492,2656694,5389419142,643595,범죄,15세이상관람가,일반영화
485,혹성탈출: 종의 전쟁,맷 리브스,,이십세기폭스코리아(주),이십세기폭스코리아(주),2017-08-15,개봉영화,장편,미국,1017,16851234778,2050909,4721118278,538479,액션,12세이상관람가,일반영화
486,1987,장준환,(주)우정필름,,씨제이이앤엠(주),2017-12-27,개봉영화,장편,한국,1299,15254004037,1942077,3826119887,473352,드라마,15세이상관람가,일반영화
487,애나벨 : 인형의 주인,데이비드 F. 샌드버그,,워너브러더스 코리아(주),워너브러더스 코리아(주),2017-08-10,개봉영화,장편,미국,1006,15526858738,1934192,3970570338,472569,공포(호러),15세이상관람가,일반영화
488,저스티스 리그,잭 스나이더,,워너브러더스 코리아(주),워너브러더스 코리아(주),2017-11-15,개봉영화,장편,미국,1308,14629677795,1786383,4549730995,524158,액션,12세이상관람가,일반영화
489,킬러의 보디가드,패트릭 휴즈,,(유)조이앤시네마,"(주)제이앤씨미디어그룹,TCO(주)더콘텐츠온",2017-08-30,개봉영화,장편,미국,482,14020395800,1721757,4048575300,488376,액션,15세이상관람가,일반영화
490,부라더,장유정,"(주)홍필름,(주)수필름",,메가박스중앙(주)플러스엠,2017-11-02,개봉영화,장편,한국,889,11590908298,1468301,2357877298,287039,코미디,12세이상관람가,일반영화
491,기억의 밤,장항준,(주)비에이엔터테인먼트,,"메가박스중앙(주)플러스엠,주식회사 키위컴퍼니",2017-11-29,개봉영화,장편,한국,751,10646654660,1386611,2885227160,362625,미스터리,15세이상관람가,일반영화
492,해피 데스데이,크리스토퍼 랜던,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2017-11-08,개봉영화,장편,미국,714,11003095402,1382480,3024232752,365202,공포(호러),15세이상관람가,일반영화
493,브이아이피,박훈정,"(주)영화사 금월,(주)페퍼민트앤컴퍼니",,워너브러더스 코리아(주),2017-08-23,개봉영화,장편,한국,996,10956621835,1373316,2863320535,345963,범죄,청소년관람불가,일반영화
494,장산범,허정,(주)드림캡쳐,,(주)넥스트엔터테인먼트월드(NEW),2017-08-17,개봉영화,장편,한국,711,10332117083,1305145,2153814083,257679,미스터리,15세이상관람가,일반영화
495,지오스톰,"딘 데블린,대니 캐넌",,워너브러더스 코리아(주),워너브러더스 코리아(주),2017-10-19,개봉영화,장편,미국,854,8480864614,1028384,2098804714,238747,액션,12세이상관람가,일반영화
496,스타워즈: 라스트 제다이,라이언 존슨,,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2017-12-14,개봉영화,장편,미국,1107,8535886061,946547,3253329661,325647,액션,12세이상관람가,일반영화
497,그것,안드레스 무시에티,,워너브러더스 코리아(주),워너브러더스 코리아(주),2017-09-06,개봉영화,장편,미국,837,7331422607,888386,1958970207,224114,공포(호러),15세이상관람가,일반영화
498,오리엔트 특급 살인,케네스 브래너,,이십세기폭스코리아(주),이십세기폭스코리아(주),2017-11-29,개봉영화,장편,미국,707,6636205163,863567,2593685463,323592,드라마,12세이상관람가,일반영화
499,베이비 드라이버,에드가 라이트,,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,2017-09-14,개봉영화,장편,영국,778,6688509214,821419,2396693714,284626,액션,15세이상관람가,일반영화
500,위대한 쇼맨,마이클 그레이시,,이십세기폭스코리아(주),이십세기폭스코리아(주),2017-12-20,개봉영화,장편,미국,702,6657039200,814587,2679793600,319709,드라마,12세이상관람가,일반영화
501,뽀로로 극장판 공룡섬 대모험,"김현호,윤제완",(주)오콘,,(주)넥스트엔터테인먼트월드(NEW),2017-12-07,개봉영화,장편,한국,803,5826048600,770801,1029801100,129546,애니메이션,전체관람가,일반영화
502,47 미터,요하네스 로버츠,,(주)비엠컬쳐스,씨네그루(주)키다리이엔티,2017-07-19,개봉영화,장편,영국,733,4686022657,590036,1043910157,125764,스릴러,15세이상관람가,일반영화
503,메리와 마녀의 꽃,요네바야시 히로마사,,씨제이이앤엠(주),CGV아트하우스,2017-12-07,개봉영화,장편,일본,751,4062304239,535084,1100013439,137829,애니메이션,전체관람가,일반영화
504,발레리안: 천 개 행성의 도시,뤽 베송,,판씨네마(주),판씨네마(주),2017-08-30,개봉영화,장편,프랑스,629,4047756408,511931,1318056208,157111,액션,12세이상관람가,일반영화
505,카3: 새로운 도전,브라이언 피,,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2017-07-13,개봉영화,장편,미국,800,3599544501,487916,854573801,108150,애니메이션,전체관람가,일반영화
506,침묵,정지우,(주)용필름,,씨제이이앤엠(주),2017-11-02,개봉영화,장편,한국,634,3873542364,487897,1140873764,139002,드라마,15세이상관람가,일반영화
507,너의 췌장을 먹고 싶어,츠키카와 쇼,,(주)미디어캐슬,(주)넥스트엔터테인먼트월드(NEW),2017-10-25,개봉영화,장편,일본,218,3703660800,465265,1046559800,128333,드라마,12세이상관람가,독립/예술영화
508,명탐정 코난:진홍의 연가,시즈노 코분,,씨제이이앤엠(주),씨제이이앤엠(주),2017-08-02,개봉영화,장편,일본,582,3255598200,448381,770592800,102460,애니메이션,12세이상관람가,일반영화
509,반드시 잡는다,김홍선,"(주)에이디사공육,씨네주 유한회사",,(주)넥스트엔터테인먼트월드(NEW),2017-11-29,개봉영화,장편,한국,565,3324033772,446379,794998472,102380,스릴러,15세이상관람가,일반영화
510,극장판 포켓몬스터 너로 정했다!,유야마 쿠니히코,,(주)포켓몬코리아,(주)이수C&E,2017-12-21,개봉영화,장편,일본,626,3117529700,415255,591147400,76058,애니메이션,전체관람가,일반영화
511,넛잡 2,캘런 브런커,"(주)레드로버,툰박스 엔터테인먼트",,롯데쇼핑㈜롯데엔터테인먼트,2017-10-03,개봉영화,장편,한국,526,3038945100,407727,513530500,66475,애니메이션,전체관람가,일반영화
512,아메리칸 메이드,더그 라이만,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2017-09-14,개봉영화,장편,미국,691,3175539145,401541,932267045,114257,범죄,15세이상관람가,일반영화
513,러빙 빈센트,"도로타 코비엘라,휴 웰치맨",,(주)퍼스트런,판씨네마(주),2017-11-09,개봉영화,장편,영국,272,3051639861,383517,1584998261,194304,애니메이션,15세이상관람가,독립/예술영화
514,대장 김창수,이원태,"(주)비에이엔터테인먼트,(주)무비스퀘어",,"씨네그루(주)키다리이엔티,주식회사 키위컴퍼니",2017-10-19,개봉영화,장편,한국,748,2871905115,380581,740794715,93920,드라마,12세이상관람가,일반영화
515,플립,롭 라이너,,(주)팝엔터테인먼트,(주)팝엔터테인먼트,2017-07-12,개봉영화,장편,미국,249,2818791900,354601,1025482700,123030,드라마,12세이상관람가,일반영화
516,7호실,이용승,(주)명필름,,롯데쇼핑㈜롯데엔터테인먼트,2017-11-15,개봉영화,장편,한국,629,2677284639,347790,784052239,98086,코미디,15세이상관람가,일반영화
517,몬스터 패밀리,호거 태프,,(주)우성엔터테인먼트,씨네그루(주)키다리이엔티,2017-12-21,개봉영화,장편,독일,617,2531182700,341614,474831200,60474,애니메이션,전체관람가,일반영화
518,내 사랑,에이슬링 월쉬,,오드,오드,2017-07-12,개봉영화,장편,아일랜드,233,2434007625,333347,1181010825,158355,드라마,12세이상관람가,독립/예술영화
519,극장판 짱구는 못말려 : 습격!! 외계인 덩덩이,하시모토 마사카즈,,씨제이이앤엠(주),씨제이이앤엠(주),2017-07-20,개봉영화,장편,일본,547,2417712700,333082,369416200,47946,애니메이션,전체관람가,일반영화
520,희생부활자,곽경택,"(주)영화사 신세계,(주)바른손이앤에이",,(주)쇼박스,2017-10-12,개봉영화,장편,한국,781,2515479835,323628,524639435,64620,미스터리,15세이상관람가,일반영화
521,블레이드 러너 2049,드니 빌뇌브,,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,2017-10-12,개봉영화,장편,미국,664,2760845365,321018,1162877565,128723,SF,15세이상관람가,일반영화
522,빅풋 주니어,"제레미 드그루손,벤 스타센",,"(주)퍼스트런,유니콘미디어(주)",(주)이수C&E,2017-08-09,개봉영화,장편,벨기에,437,2245548900,318737,451385400,60164,애니메이션,전체관람가,독립/예술영화
523,공범자들,최승호,한국탐사저널리즘센터,,(주)엣나인필름,2017-08-17,개봉영화,장편,한국,228,2017678800,258478,745661900,92054,다큐멘터리,15세이상관람가,독립/예술영화
524,미옥,이안규,(주)영화사 소중한,,씨네그루(주)키다리이엔티,2017-11-09,개봉영화,장편,한국,635,1897705564,238587,520190864,63596,범죄,청소년관람불가,일반영화
525,딥,줄리오 소토 거피드,,(주)영화사 빅,(주)이수C&E,2017-10-03,개봉영화,장편,스페인,441,1746940500,226933,349568900,43492,애니메이션,전체관람가,독립/예술영화
526,극장판 요괴워치: 하늘을 나는 고래와 더블세계다냥!,"우시로 신지,요코이 타케시",,씨제이이앤엠(주),씨제이이앤엠(주),2017-09-27,개봉영화,장편,일본,486,1581375300,215203,302166700,39494,애니메이션,전체관람가,일반영화
527,어쌔신: 더 비기닝,마이클 쿠에스타,,(주)우성엔터테인먼트,(주)이수C&E,2017-12-07,개봉영화,장편,미국,528,1575027000,203045,427713600,53797,액션,15세이상관람가,일반영화
528,채비,조영준,(주)26컴퍼니,,오퍼스픽쳐스(유),2017-11-09,개봉영화,장편,한국,480,1249977864,175889,320185164,43533,드라마,12세이상관람가,일반영화
529,"나는 내일, 어제의 너와 만난다",미키 타카히로,,(주)엔케이컨텐츠,(주)디스테이션,2017-10-12,개봉영화,장편,일본,206,1343600900,175367,450954600,58106,멜로/로맨스,12세이상관람가,독립/예술영화
530,예수는 역사다,존 건,,(재)CBS,(재)CBS,2017-07-13,개봉영화,장편,미국,217,1229743400,170796,336647800,42982,드라마,전체관람가,독립/예술영화
531,극장판 도라에몽: 진구의 남극 꽁꽁 대모험,다카하시 아츠시,,대원미디어(주),(주)넥스트엔터테인먼트월드(NEW),2017-08-10,개봉영화,장편,일본,351,1175560900,166252,194738200,26136,애니메이션,전체관람가,일반영화
532,아토믹 블론드,데이빗 레이치,,(주)메인타이틀픽쳐스,씨네그루(주)키다리이엔티,2017-08-30,개봉영화,장편,미국,471,1177725658,155368,486321658,62007,액션,청소년관람불가,일반영화
533,레고 닌자고 무비,찰리 빈,,워너브러더스 코리아(주),워너브러더스 코리아(주),2017-09-28,개봉영화,장편,미국,459,1149394400,154966,292991400,37758,애니메이션,전체관람가,일반영화
534,극장판 에그엔젤 코코밍: 푸르밍과 두근두근 코코밍 세계,닛타 노리오,,씨제이이앤엠(주),씨제이이앤엠(주),2017-09-07,개봉영화,장편,일본,232,1055895200,137052,230840900,29255,애니메이션,전체관람가,일반영화
535,로마의 휴일,이덕희,(주)전망좋은 영화사,,메가박스중앙(주)플러스엠,2017-08-30,개봉영화,장편,한국,436,993321176,134827,217460976,28160,코미디,15세이상관람가,일반영화
536,저수지 게임,최진성,프로젝트 부,,(주)스마일이엔티,2017-09-07,개봉영화,장편,한국,289,984605100,125402,390376200,47721,다큐멘터리,15세이상관람가,독립/예술영화
537,파리로 가는 길,엘레노어 코폴라,,(주)티캐스트,(주)티캐스트,2017-08-03,개봉영화,장편,미국,79,931810300,118985,615973800,76126,드라마,12세이상관람가,독립/예술영화
538,직쏘,"피터 스피어이그,마이클 스피어리그",,㈜코리아스크린,㈜코리아스크린,2017-11-02,개봉영화,장편,미국,175,966956500,110834,270275200,30685,공포(호러),청소년관람불가,일반영화
539,더 테이블,김종관,볼미디어(주),,(주)엣나인필름,2017-08-24,개봉영화,장편,한국,272,830762100,103054,473573400,56654,드라마,12세이상관람가,독립/예술영화
540,김광석,이상호,(주)씨네포트,,(주)비엠컬쳐스,2017-08-30,개봉영화,장편,한국,223,772483500,98231,346699400,41838,다큐멘터리,15세이상관람가,독립/예술영화
541,다크타워: 희망의 탑,니콜라이 아르셀,,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,2017-08-23,개봉영화,장편,미국,497,761759275,97017,261769275,31833,액션,15세이상관람가,일반영화
542,인비저블 게스트,오리올 파울로,,(주)더블앤조이픽쳐스,(주)더블앤조이픽쳐스,2017-09-21,개봉영화,장편,스페인,232,758162200,94281,367271800,44659,범죄,15세이상관람가,독립/예술영화
543,노 게임 노 라이프 -제로-,이시즈카 아츠코,,(주)애니플러스,(주)박수엔터테인먼트,2017-10-19,개봉영화,장편,일본,121,738618300,90643,201840300,24227,애니메이션,12세이상관람가,독립/예술영화
544,몬스터 콜,후안 안토니오 바요나,,롯데쇼핑㈜롯데엔터테인먼트,롯데쇼핑㈜롯데엔터테인먼트,2017-09-14,개봉영화,장편,스페인,349,686273900,87841,299085800,36865,판타지,12세이상관람가,독립/예술영화
545,킹 오브 프리즘 - 프라이드 더 히어로,히시다 마사카즈,,동우에이앤이(주),"동우에이앤이(주),(주)박수엔터테인먼트",2017-06-10,개봉영화,장편,일본,92,676167500,82863,520124000,61867,애니메이션,15세이상관람가,일반영화
546,원더,스티븐 크보스키,,"CGV아트하우스,그린나래미디어(주)",CGV아트하우스,2017-12-27,개봉영화,장편,미국,183,632389700,81680,266568600,34246,드라마,전체관람가,독립/예술영화
547,드래곤 스펠: 마법 꽃의 비밀,마누크 데포얀,,㈜코리아스크린,㈜코리아스크린,2017-08-15,개봉영화,장편,독일,164,582071200,79446,113863100,15015,애니메이션,전체관람가,독립/예술영화
548,오즈: 신기한 마법가루,블라디미르 토로프킨,,(주)스마일이엔티,(주)스마일이엔티,2017-07-20,개봉영화,장편,러시아,343,565456600,78440,136995800,18133,애니메이션,전체관람가,독립/예술영화
549,극장판 파워레인저: 애니멀포스 VS 닌자포스 미래에서 온 메시지,타케모토 노보루,,대원미디어(주),(주)넥스트엔터테인먼트월드(NEW),2017-11-09,개봉영화,장편,일본,370,501257700,65895,113064100,13908,액션,전체관람가,일반영화
550,뷰티풀 투모로우,장재혁,(주)글러브엔터테인먼트,,씨제이 씨지브이(CJ CGV)(주),2017-10-26,개봉영화,장편,한국,47,552273700,63279,321810000,36802,드라마,12세이상관람가,일반영화
551,지랄발광 17세,켈리 프레몬,,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,2017-06-28,개봉영화,장편,미국,90,508342200,63258,184188200,22377,코미디,15세이상관람가,독립/예술영화
552,리틀 프린세스 소피아 : 신비한 섬,제이미 미첼,,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2017-09-28,개봉영화,장편,미국,135,441475500,62454,109518000,14532,애니메이션,전체관람가,일반영화
553,더 크리스마스,티모시 렉카트,,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,2017-12-21,개봉영화,장편,미국,158,461785500,62082,101184400,12861,애니메이션,전체관람가,일반영화
554,래빗 스쿨,우테 폰 뮌쇼폴,,예지림엔터테인먼트,예지림엔터테인먼트,2017-11-23,개봉영화,장편,독일,314,401768900,55784,82198100,10411,애니메이션,전체관람가,독립/예술영화
555,위시 어폰,존 R. 레오네티,,(주)우성엔터테인먼트,(주)이수C&E,2017-07-20,개봉영화,장편,미국,279,434148000,55110,82609500,9910,공포(호러),15세이상관람가,일반영화
556,극장판 숲의 요정 페어리루 ~크리스마스의 기적: 마법의 날개~,고로 사쿠라,,SMG 홀딩스,"(주)이수C&E,(주)에이원엔터테인먼트",2017-12-14,개봉영화,장편,일본,207,424665700,54988,92383400,11757,애니메이션,전체관람가,일반영화
557,튤립 피버,저스틴 채드윅,,주식회사 더쿱,(주)팝엔터테인먼트,2017-12-14,개봉영화,장편,영국,359,417768549,52144,179688049,22177,드라마,청소년관람불가,독립/예술영화
558,매혹당한 사람들,소피아 코폴라,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2017-09-06,개봉영화,장편,미국,395,393548500,51867,187653600,23621,스릴러,15세이상관람가,독립/예술영화
559,윈드 리버,테일러 쉐리던,,(주)유로커뮤니케이션,(주)유로커뮤니케이션,2017-09-14,개봉영화,장편,미국,330,391358700,50783,159742100,20211,액션,15세이상관람가,독립/예술영화
560,잃어버린 도시 Z,제임스 그레이,,(주)메인타이틀픽쳐스,(주)영화사 빅,2017-09-21,개봉영화,장편,미국,398,362053440,47088,107823340,13303,액션,12세이상관람가,독립/예술영화
561,마더!,대런 아로노프스키,,롯데쇼핑㈜롯데엔터테인먼트,롯데쇼핑㈜롯데엔터테인먼트,2017-10-19,개봉영화,장편,미국,398,366642382,46469,177160582,22015,드라마,청소년관람불가,일반영화
562,내가 죽기 전에 가장 듣고 싶은 말,마크 펠링톤,,(주)메인타이틀픽쳐스,"(주)메인타이틀픽쳐스,주식회사 키위컴퍼니",2017-07-19,개봉영화,장편,미국,154,328678600,44839,142556300,19450,코미디,12세이상관람가,독립/예술영화
563,어벤져스: 인피니티 워,"안소니 루소,조 루소",,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2018-04-25,개봉영화,장편,미국,2553,99825092869,11202637,28565594669,3002036,액션,12세이상관람가,일반영화
564,쥬라기 월드: 폴른 킹덤,후안 안토니오 바요나,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2018-06-06,개봉영화,장편,미국,1972,48575547937,5519169,12201124637,1305218,액션,12세이상관람가,일반영화
565,블랙 팬서,라이언 쿠글러,,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2018-02-14,개봉영화,장편,미국,1620,45883143457,5398994,13105688057,1468761,액션,12세이상관람가,일반영화
566,독전,이해영,(주)용필름,,(주)넥스트엔터테인먼트월드(NEW),2018-05-22,개봉영화,장편,한국,1357,43314002813,5043771,10604697413,1195391,범죄,15세이상관람가,일반영화
567,데드풀 2,데이빗 레이치,,이십세기폭스코리아(주),이십세기폭스코리아(주),2018-05-16,개봉영화,장편,미국,1576,34174783339,3783341,10750085639,1144469,액션,청소년관람불가,일반영화
568,코코,리 언크리치,,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2018-01-11,개봉영화,장편,미국,1177,27685479440,3510017,8547812240,1024250,애니메이션,전체관람가,일반영화
