,aud_nationwide,log_aud
115,2625572,14.78080934
756,1949372,14.48301783
774,563114,13.24123737
380,3653238,15.11112446
862,728345,13.49853012
184,55396,10.92226267
731,55919,10.93165949
358,79812,11.28742915
36,387409,12.86723626
339,151360,11.92741638
775,466475,13.05295971
420,427764,12.96632692
149,214284,12.27505752
9,2330813,14.66172769
45,298298,12.60584827
95,51884,10.85676574
835,8020208,15.89747491
920,37282,10.52626592
548,78440,11.27008928
560,47088,10.75977347
298,2718158,14.815465
290,6965706,15.75650952
415,475309,13.0717204
313,971194,13.78628152
421,412843,12.93082265
657,5447826,15.51072719
122,984265,13.79965045
779,410131,12.9242319
757,1901684,14.45825037
361,69881,11.15454907
336,212599,12.26716304
135,428855,12.96887415
787,262233,12.476988699999998
709,189948,12.15450563
651,35919,10.48902168
367,66562,11.10588912
888,167333,12.02774112
837,5247794,15.47331836
619,140849,11.85544367
8,2801949,14.8458258
97,46079,10.73811259
896,117019,11.67009159
348,117362,11.67301845
509,446379,13.00892365
883,199240,12.20226541
703,277206,12.53251619
746,13918759,16.44874806
21,1472006,14.20213665
482,3279296,15.00313932
892,138118,11.83586367
405,836140,13.63655134
912,56787,10.94706271
806,102223,11.53491198
478,4018035,15.20630354
590,554521,13.22585996
491,1386611,14.1423732
46,289534,12.57602801
364,68897,11.14036791
296,3100113,14.94694912
49,268255,12.4996933
487,1934192,14.47520023
224,634953,13.36130626
750,3389035,15.03605578
219,848148,13.65081043
872,501934,13.12622392
761,1506942,14.22559299
913,56087,10.93465934
647,37343,10.52790076
201,3586346,15.09264441
562,44839,10.71083358
622,118612,11.68361294
917,40647,10.61268031
63,154342,11.946926199999998
604,242164,12.39737046
245,229059,12.34173489
442,124601,11.73287191
810,92713,11.43726398
574,2299732,14.64830315
0,10494499,16.16636177
539,103054,11.5430084
767,862203,13.66724602
762,1475087,14.20422753
689,665364,13.40808954
187,52197,10.8627803
406,765259,13.54796962
148,223216,12.31589519
751,3361851,15.02800227
26,955149,13.76962263
461,62033,11.03542178
670,2285143,14.64193916
655,9224582,16.03738244
785,287141,12.56772866
59,212154,12.26506771
714,169677,12.04165191
326,510878,13.14388609
424,355913,12.7824416
720,107087,11.58139687
477,4853778,15.39526793
43,309729,12.643453
661,3888096,15.17343014
635,64405,11.07294655
528,175889,12.07760839
736,45764,10.73125303
483,2788732,14.84109757
218,918678,13.73069096
