,title,director,distributor,distributor_group,release_date,release_season,release,form,nation,screen,rev_nationwide,aud_nationwide,rev_seoul,rev_seoul.1,genre,rate,type,expert_rating,starring_actors,running_times,audience_rating,rating_audiences,realease_year,director_power,sequel,original,actor_power,director_count,director_movie_count,actor_movie_count,log_aud,before_news,after_news,holiday,dist_cat
28,기술자들,김홍선,롯데쇼핑㈜롯데엔터테인먼트,A,20141224,winter,개봉영화,장편,한국,641,6241817635,786257,1295768435,156201,범죄,15세이상관람가,일반영화,4.75,"김우빈,김영철,고창석",116,7.925486876,1181,2014,1646142,0,0,11457458,1,1,4,13.57503899,712,897,0,A
29,신데렐라,케네스 브래너,월트디즈니컴퍼니코리아(주),B,20150319,spring,개봉영화,장편,미국,531,5499767900,716386,1654573800,205943,멜로/로맨스,전체관람가,일반영화,6.5,"릴리 제임스,리차드 매든,케이트 블란쳇",113,8.403278689,305,2015,327591,1,0,10302428,1,1,5,13.48197441,144,322,0,B
30,채피,닐 블롬캠프,유니버설픽쳐스인터내셔널 코리아(유),B,20150312,spring,개봉영화,장편,미국,536,4620348654,573657,1430685654,167768,액션,15세이상관람가,일반영화,5.78,"휴 잭맨,샬토 코플리,시고니 위버",120,7.703703704,216,2015,1207732,1,0,12509432,1,1,8,13.25978694,78,312,0,B
31,헬머니,신한솔,(주)넥스트엔터테인먼트월드(NEW),C,20150305,spring,개봉영화,장편,한국,422,4096141972,519983,799976772,98593,코미디,청소년관람불가,일반영화,4.13,"김수미,정만식,김정태",108,7.56462585,147,2015,0,0,0,43034509,1,0,12,13.1615514,938,276,0,A
32,도라에몽 : 스탠 바이 미,"야마자키 타카시,야기 류이치",(주)넥스트엔터테인먼트월드(NEW),C,20150212,winter,개봉영화,장편,일본,432,3681140429,503516,681756129,88689,애니메이션,전체관람가,일반영화,7,"미즈타,와사비,오오하라 메구미,카카즈 유미",95,8.517928287,251,2015,0,1,1,331280,2,0,2,13.12937077,29,116,0,A
33,위험한 상견례 2,김진영,"롯데쇼핑㈜롯데엔터테인먼트,(주)마인스 엔터테인먼트",A,20150429,spring,개봉영화,장편,한국,429,3575384754,472693,738570754,93940,멜로/로맨스,15세이상관람가,일반영화,4,"진세연,홍종현,신정근",119,8.396039604,202,2015,338168,0,1,22214097,1,1,6,13.06620141,1940,895,0,A
34,순수의 시대,안상훈,씨제이이앤엠(주),A,20150305,spring,개봉영화,장편,한국,546,3702353828,465492,1047948228,125716,사극,청소년관람불가,일반영화,4.57,"신하균,장혁,강한나",113,6.721153846,208,2015,0,0,0,4296558,1,0,3,13.05085019,1633,744,0,A
35,무뢰한,오승욱,CGV아트하우스,A,20150527,spring,개봉영화,장편,한국,482,3253854931,413577,1111717431,136411,멜로/로맨스,청소년관람불가,일반영화,7.21,"전도연,김남길,박성웅",118,7.502283105,219,2015,0,0,0,23523340,1,0,10,12.93259899,1493,544,0,A
36,내 심장을 쏴라,문제용,"(주)리틀빅픽쳐스,(주)이수C&E",D,20150128,winter,개봉영화,장편,한국,452,2856859132,387409,602511932,79237,드라마,15세이상관람가,일반영화,4.55,"이민기,여진구",102,8.256544503,191,2015,0,1,0,4265101,1,0,3,12.86723626,993,409,0,C
37,그레이의 50가지 그림자,샘 테일러-존슨,유니버설픽쳐스인터내셔널 코리아(유),B,20150226,winter,개봉영화,장편,미국,512,2918598796,364415,1201564996,145292,드라마,청소년관람불가,일반영화,3.07,"제이미 도넌,다코타 존슨,루크 그림즈",125,5.57518797,266,2015,0,0,1,0,1,0,0,12.80604861,147,376,0,B
