,title,director,producer,importer,distributor,distributor_group,release_date,release_season,release,form,nation,screen,rev_nationwide,rev_seoul,rev_seoul.1,genre,rate,type,expert_rating,starring_actors,running_times,audience_rating,rating_audiences,realease_year,director_power,director_movie_num,sequel,original,actor_power
4,조선명탐정 : 사라진 놉의 딸,김석윤,청년필름(주),,(주)쇼박스,C,2/11/2015,winter,개봉영화,장편,한국,811,30456879428.0,6908501928,845522,사극,12세이상관람가,일반영화,5.85,"김명민,오달수,이연희",125,8.172131148,610,2015,10168360.0,2 [2],1,0,297483438
432,발레리나,"에릭 섬머,에릭 와린",,판씨네마(주),판씨네마(주),D,2/9/2017,winter,개봉영화,장편,프랑스,434,1509668400.0,370927500,46384,애니메이션,전체관람가,일반영화,0.0,"엘르 패닝,데인 드한,매디 지글러",89,8.943722944,231,2017,604097.0,"2 [1, 1]",0,0,12411319
198,주토피아,"바이론 하워드,리치 무어",,월트디즈니컴퍼니코리아(주),월트디즈니컴퍼니코리아(주),B,2/17/2016,winter,개봉영화,장편,미국,661,37077444042.0,12142771642,1465960,애니메이션,전체관람가,일반영화,7.2,"지니퍼 굿윈,제이슨 베이트먼,샤키라",108,9.311522047999999,703,2016,20567355.0,"3 [1, 2]",0,0,28279364
116,뷰티 인사이드,백,(주)용필름,,(주)넥스트엔터테인먼트월드(NEW),C,8/20/2015,summer,개봉영화,장편,한국,648,16145401531.0,5024222431,611117,판타지,12세이상관람가,일반영화,5.47,"한효주,김대명,도지한",127,8.199134199,693,2015,2053085.0,1 [1],1,0,220162448
286,부산행,연상호,(주)영화사레드피터,,(주)넥스트엔터테인먼트월드(NEW),C,7/20/2016,summer,개봉영화,장편,한국,1788,93175877048.0,23020827248,2754686,액션,15세이상관람가,일반영화,7.1,"공유,정유미,마동석",118,8.546636279,11847,2016,35729066.0,3 [3],1,0,424744528
502,47 미터,요하네스 로버츠,,(주)비엠컬쳐스,씨네그루(주)키다리이엔티,B,7/19/2017,summer,개봉영화,장편,영국,733,4686022657.0,1043910157,125764,스릴러,15세이상관람가,일반영화,4.0,"맨디 무어,클레어 홀트",89,7.56928839,267,2017,1682006.0,2 [2],0,0,1770108
204,정글북,존 파브로,,월트디즈니컴퍼니코리아(주),월트디즈니컴퍼니코리아(주),B,6/9/2016,summer,개봉영화,장편,미국,924,19496155566.0,5811702246,639497,어드벤처,12세이상관람가,일반영화,7.02,"닐 세티,빌 머레이,스칼렛 요한슨",106,8.672590567,1463,2016,4889524.0,3 [3],1,0,63521355
431,어느날,이윤기,(주)인벤트스톤,,"오퍼스픽쳐스(유),CGV아트하우스",D,4/5/2017,spring,개봉영화,장편,한국,532,1827370582.0,566199082,69068,멜로/로맨스,15세이상관람가,일반영화,6.0,"김남길,천우희",114,8.589655172,290,2017,232016.0,2 [2],0,0,137960006
174,쓰리 썸머 나잇,김상진,"더램프(주),㈜감독의집",,"(주)리틀빅픽쳐스,(주)인벤트스톤",D,7/15/2015,summer,개봉영화,장편,한국,297,616132846.0,185973246,22302,코미디,청소년관람불가,일반영화,0.0,"김동욱,임원희,손호준",106,7.7241379310000005,58,2015,77621.0,1 [1],0,0,25884227
543,노 게임 노 라이프 -제로-,이시즈카 아츠코,,(주)애니플러스,(주)박수엔터테인먼트,D,10/19/2017,autumn,개봉영화,장편,일본,121,738618300.0,201840300,24227,애니메이션,12세이상관람가,독립/예술영화,0.0,"마츠오카 요시츠구,카야노 아이,히카사 요코",107,8.0,1,2017,90643.0,1 [1],1,0,764747
911,몬스터 하우스,피터 레페니오티스,,(주)박수엔터테인먼트,(주)박수엔터테인먼트,D,10/3/2019,autumn,개봉영화,장편,기타,202,506405000.0,85113200,10181,애니메이션,전체관람가,일반영화,0.0,"베키 지,조쉬 펙,올리비아 홀트",85,9.0,1,2019,63784.0,1 [1],0,0,0
71,19곰 테드 2,세스 맥팔레인,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),B,6/25/2015,summer,개봉영화,장편,미국,297,961888700.0,378111600,45161,코미디,청소년관람불가,일반영화,5.0,"마크 월버그,아만다 사이프리드,세스 맥팔레인",115,8.293233082999999,133,2015,403465.0,1 [1],0,1,42722646
213,동주,이준익,(주) 루스이소니도스,,메가박스중앙(주)플러스엠,A,2/17/2016,winter,개봉영화,장편,한국,499,8863736089.0,2961031289,376200,드라마,12세이상관람가,일반영화,7.5,"강하늘,박정민,김인우",110,9.38358209,670,2016,5052135.0,4 [4],1,0,188638488
202,데드풀,팀 밀러,,이십세기폭스코리아(주),이십세기폭스코리아(주),B,2/17/2016,winter,개봉영화,장편,미국,1036,27595618651.0,9150924002,1062535,액션,청소년관람불가,일반영화,6.89,라이언 레이놀즈,106,8.609405362999999,2573,2016,9043454.0,2 [2],1,1,49550627
