영화명,감독,제작사,수입사,배급사,개봉일,영화유형,영화형태,국적,전국스크린수,전국매출액,전국관객수,서울매출액,서울관객수,장르,등급,영화구분
애프터 어스,M. 나이트 샤말란,,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),2013-05-30,개봉영화,장편,미국,484,3831840167,537918,1266901167,168880,SF,12세이상관람가,일반영화
사이코메트리,권호영,"(주)엠픽처스,(주)파워이엔티,㈜게이트픽쳐스",,씨제이이앤엠(주),2013-03-07,개봉영화,장편,한국,429,3964769129,531953,1133052129,145312,미스터리,청소년관람불가,일반영화
남자사용설명서,이원석,(주)영화사소풍,,(주)쇼박스,2013-02-14,개봉영화,장편,한국,372,3602049257,507257,1016134757,136010,코미디,15세이상관람가,일반영화
무서운 이야기 2,"김성호,김휘,정범식,민규동","(주)수필름,데이지엔터테인먼트",,롯데쇼핑㈜롯데엔터테인먼트,2013-06-05,개봉영화,옴니버스,한국,337,3375150500,492423,766126500,105139,미스터리,15세이상관람가,일반영화
더 웹툰: 예고살인,김용균,"(주)필마픽쳐스 ,(주)라인필름,씨제이이앤엠(주)",,씨제이이앤엠(주),2013-06-27,개봉영화,장편,한국,541,3538618570,482572,1061553570,139623,공포(호러),15세이상관람가,일반영화
클라우드 아틀라스,"릴리 워쇼스키,라나 워쇼스키,톰 티크베어",,블루미지,(주)넥스트엔터테인먼트월드(NEW),2013-01-09,개봉영화,장편,미국,382,3383430227,449071,1351448227,173379,SF,청소년관람불가,일반영화
스토커,박찬욱,,이십세기폭스코리아(주),이십세기폭스코리아(주),2013-02-28,개봉영화,장편,미국,329,2828301674,378729,1259351674,163582,드라마,청소년관람불가,일반영화
오즈 그레이트 앤드 파워풀,샘 레이미,,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),2013-03-07,개봉영화,장편,미국,425,2886185000,350563,1059535000,117879,판타지,전체관람가,일반영화
화이트 하우스 다운,롤랜드 에머리히,,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),2013-06-27,개봉영화,장편,미국,480,2431309000,337988,790057000,104761,액션,15세이상관람가,일반영화
미나문방구,정익환,(주)별의별,,롯데쇼핑㈜롯데엔터테인먼트,2013-05-16,개봉영화,장편,한국,385,2247017000,334323,569411500,81804,드라마,전체관람가,일반영화
차이니즈 조디악,성룡,,(유)조이앤컨텐츠그룹,롯데쇼핑㈜롯데엔터테인먼트,2013-02-27,개봉영화,장편,중국,300,2211711500,315305,591907500,80680,액션,12세이상관람가,일반영화
빌리와 용감한 녀석들 2,닉힐 아드바니,,㈜코리아스크린,(주)에스비에스콘텐츠허브,2013-02-21,개봉영화,장편,인도,289,2006325000,306837,384270500,55552,애니메이션,전체관람가,일반영화
눈의 여왕,"블라드 바르베,막심 스베쉬니코브",,(주)씨씨에스미디어,(주)넥스트엔터테인먼트월드(NEW),2013-02-07,개봉영화,장편,러시아,316,1823299000,274229,387655500,54916,애니메이션,전체관람가,일반영화
