영화명,감독,제작사,수입사,배급사,개봉일,영화유형,영화형태,국적,전국스크린수,전국매출액,전국관객수,서울매출액,서울관객수,장르,등급,영화구분
위대한 개츠비,바즈 루어만,,워너브러더스 코리아(주),워너브러더스 코리아(주),2013-05-16,개봉영화,장편,미국,562,10533896643,1438962,4730583143,618953,드라마,15세이상관람가,일반영화
다이하드: 굿 데이 투 다이,존 무어,,이십세기폭스코리아(주),이십세기폭스코리아(주),2013-02-06,개봉영화,장편,미국,459,10825703000,1438056,2967502000,373401,액션,15세이상관람가,일반영화
런닝맨,조동오,"(주)크리픽쳐스,이십세기폭스 인터내셔널 프로덕션",,이십세기폭스코리아(주),2013-04-04,개봉영화,장편,한국,567,10011200500,1416053,2410370500,324400,액션,15세이상관람가,일반영화
웜 바디스,조나단 레빈,,데이지엔터테인먼트,씨제이이앤엠(주),2013-03-14,개봉영화,장편,미국,477,8361708124,1169839,2687807624,357532,멜로/로맨스,15세이상관람가,일반영화
고령화 가족,송해성,(주)인벤트스톤,,씨제이이앤엠(주),2013-05-09,개봉영화,장편,한국,583,8159482153,1139250,2429592653,324221,드라마,15세이상관람가,일반영화
전국노래자랑,이종필,(주)인앤인픽쳐스,,롯데쇼핑㈜롯데엔터테인먼트,2013-05-01,개봉영화,장편,한국,581,6605528000,963026,1535496000,217306,코미디,12세이상관람가,일반영화
잭 더 자이언트 킬러,브라이언 싱어,,워너브러더스 코리아(주),워너브러더스 코리아(주),2013-02-28,개봉영화,장편,미국,507,7376481000,956154,2098720500,250941,판타지,12세이상관람가,일반영화
뽀로로 극장판 슈퍼썰매 대모험,박영균,"(주)오콘,중국오락문화투자유한회사",,씨제이이앤엠(주),2013-01-23,개봉영화,장편,한국,459,6819979500,929985,1575195500,201918,애니메이션,전체관람가,일반영화
크루즈 패밀리,"커크 드 미코,크리스 샌더스",,씨제이이앤엠(주),씨제이이앤엠(주),2013-05-16,개봉영화,장편,미국,525,6385690000,916876,1731187000,232811,애니메이션,전체관람가,일반영화
몬스터 호텔,젠디 타타코브스키,,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),2013-01-17,개봉영화,장편,미국,489,6080221500,884885,1313395000,178356,애니메이션,전체관람가,일반영화
남쪽으로 튀어,임순례,"(주)영화사거미,필름트레인",,롯데쇼핑㈜롯데엔터테인먼트,2013-02-06,개봉영화,장편,한국,428,5907297500,821918,1479390000,198233,코미디,15세이상관람가,일반영화
잭 리처,크리스토퍼 맥쿼리,파라마운트 픽쳐스,씨제이이앤엠(주),씨제이이앤엠(주),2013-01-17,개봉영화,장편,미국,431,5758577000,784031,1767476500,230355,액션,15세이상관람가,일반영화
더 임파서블,후안 안토니오 바요나,,롯데쇼핑㈜롯데엔터테인먼트,롯데쇼핑㈜롯데엔터테인먼트,2013-01-17,개봉영화,장편,스페인,408,4444581500,622572,1193576000,161126,액션,12세이상관람가,일반영화
