,전국스크린수,전국관객수,expert_rating,running_times,audience_rating,rating_audiences,director_power
226,572,485083,5.62,120,8.324675324675324,308,1359388.0
227,526,477848,6.16,116,8.732394366197184,355,3319476.0
228,609,476665,6.58,117,8.542372881355933,354,498831.0
229,489,446664,7.29,130,7.8130081300812995,246,1028253.0
230,557,445009,4.95,113,7.586956521739131,368,445009.0
231,559,425799,4.36,106,6.63903743315508,374,425799.0
232,176,405792,6.8,134,10.0,1,1239593.0
233,575,356976,7.17,103,7.333333333333332,291,356976.0
234,221,313164,8.96,118,8.706161137440759,422,313164.0
235,524,308180,5.0,93,8.296610169491526,236,903166.0
236,320,297726,7.94,129,8.788079470198676,151,338092.0
237,515,297356,6.5,103,8.482758620689655,203,1281521.0
238,409,294320,4.0,114,8.375,208,294320.0
239,380,289645,3.5,92,8.422360248447205,322,289645.0
240,523,278914,0.0,75,8.120155038759691,516,278914.0
241,841,256035,5.97,119,8.427209705372617,1154,259324.0
242,502,236971,6.96,102,6.494773519163762,287,236971.0
243,696,234746,5.05,93,5.9642857142857135,616,0.0
244,517,234539,5.0,112,7.897163120567376,282,253681.0
245,467,229059,5.5,113,9.085714285714284,175,229059.0
246,528,214003,6.75,106,8.947136563876652,227,559404.0
247,449,203775,6.0,115,7.878612716763008,173,232016.0
248,350,202538,0.0,104,8.905172413793101,232,904736.0
249,494,189047,5.75,93,8.285714285714286,168,2904212.0
250,120,175146,6.0,107,9.053571428571429,112,175146.0
251,405,171577,6.17,124,7.834355828220858,163,457940.0
252,474,169855,5.54,108,7.553719008264463,121,169855.0
253,460,169257,5.0,80,7.788732394366198,284,169257.0
254,470,148512,3.67,105,6.3444444444444414,90,148512.0
255,593,146338,5.25,109,8.108219178082193,730,16840678.0
256,380,144827,5.5,144,8.658227848101266,79,8062889.0
257,254,141025,0.0,89,0.0,0,141025.0
258,312,135874,0.0,112,6.350574712643678,174,135874.0
259,246,134029,6.97,119,8.899497487437184,199,996403.0
260,200,133736,0.0,48,9.111111111111107,18,133736.0
261,167,120352,8.5,167,8.166666666666666,6,778167.0
262,349,115704,0.0,68,8.469387755102039,196,907833.0
263,325,111902,5.0,84,7.244131455399061,213,3207232.0
264,393,103542,4.5,121,8.335766423357665,137,871786.0
265,317,94926,6.0,94,5.647058823529411,136,10301714.0
266,51,92821,0.0,115,9.6,5,320199.0
267,351,90577,4.0,111,8.395348837209303,86,101419.0
268,65,85166,7.34,124,8.533333333333333,105,114081.0
